General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.94600566,131.599981,-0.00027996,0.04405903,1.659662,0.04437,60.915371,-0.0002,70.0374,0,267.182,320.593,323.16,1054.912,0,0
Standard used,ASTM E 1354,1,20.94815373,133.811881,-0.0001403,0.04327182,1.320826,0.390465,60.915371,0,69.9892,0,267.182,320.452,323.023,1059.234,0,0
Date of test,13/06/2024,2,20.9503018,136.023781,-6.3E-07,0.04248461,0.98199,0.736559,60.915371,0.0002,69.941,0,267.182,320.311,322.886,1063.556,0,0
Time of test,13:29,3,20.95239249,133.390887,0.00021823,0.04505299,1.029527,1.16866,60.915371,-0.0008,70.0049,0,267.185,320.248,322.91,1060.982,0,0
Heat flux (kW/m²),50,4,20.9471043,130.672786,-4.424E-05,0.04364193,1.169434,1.395669,60.915371,-0.0018,70.0849,0,267.178,320.287,322.967,1060.02,0,0
Nominal duct flow rate (l/s),24,5,20.94926443,133.336033,-7.548E-05,0.0417263,1.135148,0.885883,60.915371,-0.003,70.1306,0,267.178,320.353,322.957,1060.017,0,0
Sampling interval (s),1,6,20.95092676,131.899142,0.00021852,0.04393365,1.003332,0.314596,60.915371,-0.0017,70.0756,0,267.187,320.292,322.91,1059.978,0,0
Separation (mm),25,7,20.94695741,131.310092,-1.935E-05,0.04352391,0.68549,0.104468,60.915371,-0.0016,70.0148,0,267.187,320.281,322.941,1059.969,0,0
Orientation,Horizontal,8,20.94779352,131.755049,-6.805E-05,0.04175729,0.594999,0.370066,60.915371,-0.0017,69.9397,0,267.186,320.342,322.965,1059.992,0,0
Edge frame?,Yes,9,20.95219666,134.550335,0.00023369,0.04344107,0.444194,1.151376,60.915371,-0.0004,69.9493,0,267.192,320.358,322.925,1060.082,0,0
Grid?,No,10,20.94770851,130.843884,-2.828E-05,0.04473795,0.752135,1.042605,60.915371,0.0003,70.0285,0,267.201,320.245,322.871,1060.282,0,0
Non-scrubbed?,Yes,11,20.94766635,129.377685,-7.781E-05,0.04208204,0.913977,1.013953,60.915371,-0.0004,70.1141,0,267.192,320.204,322.765,1060.499,0,0
Substrate used? {Y/N},No,12,20.95211885,131.24437,0.00023072,0.04336372,0.933754,0.479399,60.915371,0.0004,70.1115,0,267.192,320.136,322.707,1060.687,0,0
Substrate,none,13,20.95171408,138.43281,0.000132,0.04526712,0.804836,0.269477,60.915371,0,70.0724,0,267.198,320.009,322.568,1061.049,0,0
Additional specimen preparation details,kaowool blankets. Retainer frame. Al foil catch pan,14,20.94601428,137.706571,-8.513E-05,0.04266519,0.525387,-0.106619,60.915371,-0.0024,70.0166,0,267.189,319.813,322.317,1061.296,0,0
,,15,20.9507552,132.307559,8.87E-05,0.04212265,0.476146,0.124953,60.915371,-0.0003,69.9695,0,267.18,319.715,322.233,1061.627,0,0
