Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m)
0.0,-0.740606,-0.009401462168292116,0.02730950314904243,310.123,0.2094952836,0.00046646109999999997,6.8771e-06,0.0012805954672360034
1.0,-0.740606,-0.028190996724776894,0.027614917594274677,310.02,0.2095279974,0.0004842593,9.5136e-06,-0.0007981470434266203
2.0,-0.740606,-0.03225414772299234,0.027584125983305553,309.969,0.2095379207,0.00047295759999999997,1.13674e-05,0.001965216897540337
3.0,49.779792,-0.019993799167243562,0.02706846187087409,309.978,0.2095196429,0.0004474319,1.0941200000000001e-05,0.005238746545283377
4.0,60.350431,0.0030097838300202928,0.02704876813998772,309.983,0.20947496910000002,0.0004373369,1.0538e-05,0.0037470848228353267
5.0,60.416017,0.006399626963583095,0.027639060749026185,309.991,0.2094669104,0.00044359929999999997,1.08411e-05,-0.0035264886349093308
6.0,60.350793,-0.021684494941291717,0.02744015766620756,310.019,0.20951937399999998,0.0004593563,1.27315e-05,-0.00377231843149079
7.0,60.331853,-0.04041080357150266,0.02754379695974303,309.986,0.2095520397,0.0004763556,1.60278e-05,-0.0009477276107387407
8.0,60.331243,-0.04058764691363719,0.027497790680733117,309.99,0.20955641390000002,0.00045634220000000006,1.6931400000000002e-05,-0.0029574993498305757
9.0,60.251419,-0.027303142754221507,0.027342067936057254,310.001,0.20953337309999998,0.0004442237,1.46841e-05,0.008827323115289895
10.0,60.234589,0.0008200886560078355,0.02703760300140787,310.034,0.209478984,0.0004372906,1.18822e-05,0.01143803973881132
11.0,60.234055,0.003827856354023534,0.02717077604625627,310.006,0.2094724665,0.0004424673,9.9371e-06,0.00529682849129247
12.0,60.315037,-0.017248373140835868,0.02741058469986093,309.975,0.2095105848,0.0004640043,9.6255e-06,-0.004100499540967084
13.0,60.25119,-0.030977124596280253,0.02732271386063074,309.952,0.2095356451,0.00047548569999999996,1.07395e-05,0.0012034506515420829
14.0,60.234634,-0.028781469011847322,0.02726340431782903,309.988,0.2095350872,0.0004573137,1.09061e-05,0.013845914128322954
15.0,60.234287,-0.013075754854786263,0.02707485682212261,310.018,0.20950719450000002,0.0004421763,9.2994e-06,0.004393337023488806
16.0,60.234485,0.009056164091859446,0.027275242623142137,310.073,0.2094636251,0.0004383918,7.4474e-06,0.008605365288492166
17.0,60.234327,0.0008004525739196804,0.027402682022005607,310.11,0.2094792494,0.0004437209,7.393e-06,0.0007995164459790785
18.0,60.234126,-0.020199389955038685,0.027471651489665946,310.169,0.20951623130000002,0.0004663503,8.801599999999999e-06,0.005088572545819805
19.0,60.155092,-0.03186040496817719,0.027453578808868763,310.189,0.209537267,0.000474856,1.0704499999999999e-05,0.0046489399022775725
20.0,60.21762,-0.028218817731551434,0.027346605033121755,310.217,0.20953345599999998,0.0004600319,1.01774e-05,0.0
21.0,60.234618,-0.0019891929594996545,0.027031060310948693,310.191,0.2094860991,0.00043973819999999997,6.4136e-06,0.0024259457796473537
22.0,60.234931,0.020236571194758444,0.02788800631337232,310.184,0.2094429589,0.000437474,4.903e-06,0.0012832181474571674
23.0,60.23486,0.00627401600513882,0.027445283743240033,310.203,0.2094677736,0.00044970240000000004,5.1114e-06,0.003885819565294124
24.0,60.234528,-0.013917144020426096,0.027324262408444783,310.209,0.2095026596,0.00047376099999999995,7.4803e-06,0.00045716027555420816
25.0,60.215735,-0.02229153847481996,0.027105022262073775,310.21,0.20951941219999998,0.0004710125,1.06894e-05,0.0001318671430113355
26.0,60.151991,-0.009298145768098509,0.027255132792503675,310.221,0.2094962387,0.0004541455,1.10873e-05,0.004933497508761619
27.0,60.138562,0.013539392931482963,0.027234790626731228,310.243,0.20945119380000002,0.0004496551,1.02057e-05,-0.0021626157379285665
28.0,60.173268,0.03533445441918269,0.027629484282459132,310.282,0.2094075655,0.0004519698,1.01142e-05,0.005180252027764269
29.0,60.225768,0.021843629540393428,0.02733074881095314,310.311,0.2094300156,0.0004717988,9.784399999999999e-06,-0.006706130150280916
30.0,60.155841,0.007842648702004145,0.027281328579881664,310.313,0.2094509802,0.0005038266000000001,1.14787e-05,-0.0008704182279677559
31.0,60.153878,0.0033455601067836314,0.02719564116279649,310.286,0.2094612737,0.0004957596999999999,1.2862399999999999e-05,-0.0004484287308840312
32.0,60.221586,0.020262439066406436,0.027019670336370157,310.288,0.2094300608,0.0004815027,1.16519e-05,0.0033949650067787627
33.0,60.235272,0.04521340475699278,0.027141549004690332,310.325,0.2093825206,0.0004692197,1.02776e-05,0.005929131518626256
34.0,60.198694,0.052366552170768105,0.02714983287437232,310.337,0.2093680755,0.00047008929999999997,9.5167e-06,0.00609672260789244
35.0,60.227046,0.03282892287906944,0.027091150496274887,310.362,0.20940230910000002,0.000494558,1.02255e-05,0.007153199889231761
36.0,60.23553,0.015859768525575708,0.02714453800620424,310.356,0.2094332902,0.0005088219,1.2212699999999999e-05,0.0018557736586832442
