Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m)
0.0,62.434991,0.012711346870096833,0.02614115342717348,335.008,0.2094553926,0.0004767027,2.8241799999999998e-05,-0.002132233319467358
1.0,62.751459,-0.0026883901530714333,0.02555817887520665,335.013,0.2094833719,0.0004971891,3.01389e-05,0.0037200003668781613
2.0,62.361597,-0.007701211185660415,0.025994669790728855,335.085,0.2094945406,0.0004919545,3.17753e-05,0.009237998502469097
3.0,62.23128,-0.006952580322686794,0.02606629785069749,335.15,0.20949489459999998,0.00048420829999999996,3.06916e-05,0.004795709865369633
4.0,62.31307,0.011489481576916438,0.02543199910599948,335.286,0.2094558288,0.0004834199,2.84623e-05,-0.0016471707584663616
5.0,62.336149,0.01743637998185442,0.025674058533161702,335.366,0.2094409093,0.0004962719,2.72076e-05,-4.335510409971397e-05
6.0,62.336132,0.00016263986450524648,0.02596470906943336,335.429,0.20947414309999998,0.0005165415,2.71526e-05,0.006870637496663558
7.0,62.254102,-0.009007366130766805,0.025728214462765724,335.493,0.20949039160000002,0.0005300867000000001,2.93241e-05,0.0092931864261378
8.0,62.152617,-0.008321905587985493,0.025336328856561865,335.619,0.2094931806,0.0005105673000000001,2.96074e-05,0.01958964791049475
9.0,62.131344,0.001978650810794393,0.025506504267453548,335.734,0.20947535250000002,0.000491249,2.75047e-05,0.018972387405136744
10.0,62.21038,0.024817152182072384,0.025964498258896025,335.764,0.2094296812,0.0004784772,2.59097e-05,0.03561837526091871
11.0,62.152557,0.02595841985510432,0.025522992038655774,335.873,0.2094257,0.0004819907,2.54303e-05,0.043395906773834064
12.0,62.109312,0.007833446133680302,0.026084950784324684,335.965,0.20946216639999998,0.0004977345,2.5845e-05,0.08193237262837676
13.0,62.125948,-0.005612240453823804,0.02584974564082647,336.025,0.2094895958,0.0005006024,2.80882e-05,0.08592601614998521
14.0,62.131561,-0.005005363928511822,0.025856527242140347,336.145,0.2094925503,0.0004806011,2.788e-05,0.09613621766280236
15.0,62.101224,0.003787180054914409,0.02584313489538373,336.245,0.20947826200000003,0.0004615969,2.5957200000000003e-05,0.07130162916512309
16.0,62.046424,0.021199236886295422,0.02564621104116316,336.272,0.20944160060000003,0.00045836929999999997,2.4430300000000002e-05,0.17267283702674147
17.0,61.876358,0.015689919421545986,0.025588714576147756,336.299,0.2094520255,0.0004652113,2.45069e-05,0.15896176593270545
18.0,61.912786,-0.009749376189556493,0.02576669672269663,336.393,0.2095011847,0.000490498,2.66592e-05,0.23093736833853568
19.0,62.012235,-0.02423638752842117,0.025648913863534184,336.533,0.2095300318,0.0004978797,2.9964900000000002e-05,0.23589795424881208
20.0,62.032712,-0.02268678900366571,0.025720672991693717,336.597,0.2095288025,0.0004858283,3.0704600000000004e-05,0.3662075089455539
21.0,61.794887,-0.013828156940657355,0.025760978914069466,336.696,0.20951169709999998,0.0004768805,3.00178e-05,0.5308412150478826
22.0,61.733495,0.0021103311365686392,0.02575245755773873,336.823,0.2094766758,0.0004815383,2.8860600000000003e-05,0.487007662709997
23.0,61.656298,-0.00961388969826201,0.02603333010825773,336.894,0.20949762759999999,0.0005007567999999999,2.92674e-05,0.5096724305659975
24.0,61.710968,-0.022388604175390747,0.02570612980701717,336.938,0.2095186828,0.0005299939,3.14075e-05,0.507061892548477
25.0,61.810265,-0.028989158479099553,0.025533785465180692,336.988,0.20953209279999999,0.000531397,3.4332199999999996e-05,0.5422031033024962
26.0,61.756368,-0.025585182355851922,0.025723976171066202,337.056,0.2095259621,0.0005230833,3.44524e-05,0.727314994315727
