Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m)
0.0,52.275654,-0.01141092622050883,0.025703484713997696,337.907,0.2095086048,0.000496051,2.5947399999999998e-05,0.007677800271531147
1.0,52.439954,0.0011448463748260868,0.02565872700882833,337.828,0.2094852389,0.00048044580000000003,2.44875e-05,0.007948612765863903
2.0,52.632345,0.0192110160343044,0.025674941468711864,337.758,0.2094466881,0.0004787861,2.39224e-05,0.0044620419506155124
3.0,52.475794,0.018511526537837084,0.025682929446490563,337.741,0.2094447878,0.0004939721,2.4629299999999998e-05,0.0024574429860104246
4.0,52.582167,-0.0010488076368244407,0.02550689302353193,337.751,0.2094814034,0.0005173617,2.6979700000000002e-05,0.004235323431961723
5.0,52.481603,-0.014157885033295481,0.02548982215694573,337.756,0.2095061953,0.0005298093,3.03631e-05,0.011550290199811927
6.0,52.428531,-0.013091954762558533,0.025761158201996235,337.767,0.20950369819999998,0.0005266636999999999,3.19059e-05,0.028249994600461608
7.0,52.428585,0.008621825301060728,0.025803836912241668,337.769,0.2094570461,0.0005270694,3.12501e-05,0.06945614755308091
8.0,52.481055,0.03691323290613798,0.02589262513692752,337.772,0.20939482129999998,0.0005358421,3.0495000000000002e-05,0.09083496138775926
9.0,52.576514,0.040541595377126996,0.025990558357598056,337.77,0.20938375990000002,0.0005531977,3.0396400000000003e-05,0.09453546522229976
10.0,52.623822,0.02565939869855156,0.025472538071359803,337.775,0.2094113213,0.0005670035,3.11135e-05,0.10498380344015303
11.0,52.581343,0.018305664747357394,0.025357604612282463,337.77,0.209430324,0.0005514059,3.14754e-05,0.13003032210273718
12.0,52.514663,0.023116584322872797,0.025552188034915373,337.759,0.2094268795,0.0005220927000000001,2.98297e-05,0.22585267460857741
13.0,52.462504,0.03627992968289172,0.02545414142487268,337.801,0.209403026,0.0005023456,2.7112199999999998e-05,0.28390262458214566
14.0,52.428718,0.047006746990966464,0.025496271883356306,337.895,0.20938133239999998,0.0004971467,2.57588e-05,0.22433579517232452
15.0,52.428811,0.03345982280499064,0.025625270610835006,337.997,0.2094081307,0.0005106315000000001,2.65444e-05,0.2377942045416323
16.0,52.428719,0.010674921180972454,0.025578682903347784,338.092,0.2094547261,0.0005198873,2.89417e-05,0.3749914434595081
17.0,52.428674,0.0043226921176519745,0.025246892091199628,338.184,0.20947068389999998,0.0005061223,3.06808e-05,0.4344031649032492
18.0,52.328491,0.01090473992807572,0.02515711669088354,338.281,0.2094601848,0.00048758950000000003,3.01397e-05,0.32950497237531273
19.0,52.233157,0.02822955416267314,0.024861787513053464,338.613,0.20942310800000002,0.0004802092,2.9031299999999998e-05,0.3984836647078177
20.0,52.181156,0.03728929547942615,0.024614568574739697,339.442,0.20940071289999998,0.00048631220000000004,2.9114599999999997e-05,0.6341337154819262
21.0,52.081118,0.024562514538895054,0.024733963428778594,340.58,0.20942494150000002,0.0005055983,3.12278e-05,0.79053670237099
22.0,52.031663,0.007368766631744641,0.02411073177333082,341.823,0.20945891889999999,0.000519374,3.50813e-05,0.8406252189947491
23.0,51.983546,0.002545559306574528,0.023669509354676585,343.145,0.2094708676,0.0005097994,3.81558e-05,0.807885269658877
24.0,51.881904,0.010415523594919686,0.023764839547228075,344.411,0.2094550823,0.0004958839999999999,3.91028e-05,0.8235422617590663
25.0,51.731694,0.027386991809781817,0.023827223525249776,345.649,0.2094155854,0.0004940722,4.0155e-05,0.987215588082613
26.0,51.480545,0.02843976886909648,0.024266916797916257,346.909,0.20940271230000002,0.0005461203,4.22213e-05,1.1584752204378517
27.0,51.279964,-0.0070859740933973524,0.024332670052449646,348.122,0.2094432072,0.0007357379,4.5254300000000005e-05,1.1944038234014558
28.0,51.231934,-0.06609349025650248,0.0240197507107707,349.229,0.2094914086,0.0011502289,4.95068e-05,1.169720872536028
29.0,51.181031,-0.10050418423614736,0.02400811245925569,350.254,0.2094393948,0.00177138,5.31727e-05,0.9921226852320717
30.0,51.13277,-0.017194610982034227,0.023995786258192046,351.115,0.2091075051,0.0024325809,5.56826e-05,0.8538353762189232
31.0,51.078757,0.17372260843466608,0.02389412865202211,351.801,0.20853330650000002,0.0030517299,6.00718e-05,0.8297498415407214
32.0,50.832326,0.39915781146221285,0.024046668046149643,352.472,0.2078904882,0.0036364294,6.754539999999999e-05,0.7955931276388124
33.0,50.583702,0.6355038415931769,0.02422151601190175,353.068,0.20724079799999998,0.0041663436,7.69498e-05,0.7971778057954082
34.0,50.452143,0.8729053094734627,0.024046903724064768,353.576,0.2065894589,0.0045861185999999995,8.72232e-05,0.7593762039774551
35.0,50.400042,1.1175385744463688,0.024255858355357072,354.059,0.20598067180000001,0.0048791196,9.51129e-05,0.7707718295363977
36.0,50.380564,1.3479065149015963,0.024577859305467256,354.542,0.20544731209999997,0.005078252399999999,0.0001009414,0.8377476034082508
37.0,50.3319,1.5116150329802382,0.02429093432497053,355.008,0.2050082686,0.0051925734,0.0001064413,0.7754859144446632
38.0,50.281898,1.6375198870360557,0.02429984266961225,355.42,0.2047121769,0.0052163141,0.00011240740000000001,0.755610471332535
39.0,50.07983,1.7186499875551229,0.024396593737333758,355.795,0.2045491749,0.005164133,0.00011870810000000001,0.7536044847111909
40.0,49.882026,1.76703872791034,0.024292251306972282,356.08,0.20444469699999998,0.0050385745,0.0001230126,0.6405474828231693
41.0,49.831586,1.8047216246164288,0.02435353224074975,356.324,0.2044029693,0.0048682085,0.0001233101,0.5826892531240438
42.0,49.783529,1.8210722141515836,0.02459249318129093,356.514,0.20444228379999999,0.0046951565,0.00012138410000000001,0.5493567041201328
43.0,49.782146,1.7639697656359148,0.024186901777129368,356.689,0.2045379809,0.0045382191,0.00011973589999999999,0.5381810227594772
44.0,49.781659,1.699402817207075,0.024050764778065937,356.93,0.2046913561,0.0044143261,0.00011891870000000001,0.4994023166803626
45.0,49.680697,1.6516395728071152,0.02432395597605056,357.096,0.2048691337,0.0043016634,0.0001195941,0.4318092375699095
46.0,49.580337,1.568121555407965,0.023996726125487974,357.216,0.2050381303,0.0041768724,0.0001198143,0.39718442474322346
47.0,49.428969,1.535508919267387,0.024133125260851422,357.349,0.20515866630000001,0.0040638389,0.0001177682,0.34190722795982886
48.0,49.280455,1.5209478006599468,0.024257321444101827,357.428,0.205232214,0.0039642082,0.00011466230000000002,0.3617136756955096
49.0,49.28341,1.4793081633546736,0.024074936577638085,357.477,0.2053226464,0.0038699883,0.0001128061,0.3820703696643017
50.0,49.330301,1.4371539970686624,0.024256142068746763,357.485,0.2054624575,0.003789545,0.0001127405,0.36840781098199327
51.0,49.229942,1.377842904504137,0.02424594785413434,357.484,0.2056144557,0.0037080921,0.00011430839999999999,0.37924484113005724
52.0,49.134101,1.32561103152773,0.024201960211495743,357.52,0.205747649,0.0036196424,0.0001149264,0.39173622409523506
53.0,49.082495,1.2938445364205537,0.02434118507810302,357.595,0.2058547101,0.0035437642,0.0001127925,0.37352505764578603
54.0,48.98217,1.2776411512627905,0.024395280929499465,357.642,0.2059132039,0.0034776202,0.000109809,0.347018406156691
55.0,48.932378,1.262165837007204,0.024476336822878395,357.662,0.205970825,0.003420685,0.00010767189999999999,0.2986026794454778
56.0,48.909635,1.217341079896792,0.024446972662829216,357.727,0.20607861539999997,0.0033813573000000003,0.0001063035,0.2658724763645163
57.0,48.860719,1.1703887054858724,0.024348214675856246,357.765,0.2061865731,0.0033280054,0.0001054446,0.2838360812481645
58.0,48.781593,1.1487545622702955,0.02441697709971817,357.753,0.2062595649,0.003256167,0.0001026182,0.2937017862932401
59.0,48.72123,1.1418227807949326,0.024609473159740998,357.757,0.2063104667,0.0031951002000000003,9.705480000000001e-05,0.27702820930988337
60.0,48.622145,1.1245245354876086,0.02441313260784489,357.76,0.206338936,0.0031567096,9.19444e-05,0.24156485535244848
61.0,48.482461,1.1031511769983007,0.02435443925433451,357.741,0.2063868974,0.0031376503,8.865710000000001e-05,0.2394864593388154
62.0,48.430733,1.0716967519660094,0.024519772072208942,357.718,0.20647784949999998,0.0031280545999999997,8.82677e-05,0.2403401827393169
63.0,48.43064,1.035312382775958,0.02445523277042928,357.68,0.20656015400000002,0.0030989949,8.95924e-05,0.20207026093536004
64.0,48.430502,1.0186608176809444,0.0244623159430914,357.639,0.2066092338,0.0030487441,8.98076e-05,0.17979938173160426
65.0,48.380144,1.0197411158888727,0.02456154112827477,357.587,0.20662591419999998,0.0030042687000000003,8.83061e-05,0.17529829438203465
66.0,48.283154,1.026746957940019,0.02466776278230336,357.546,0.206626431,0.0029758047999999997,8.68531e-05,0.15857455061261283
67.0,48.182832,1.0052103471730616,0.024462536642158184,357.503,0.2066574797,0.0029693335,8.68179e-05,0.16011608287638576
68.0,48.13127,0.9736953705279954,0.024334555271045773,357.469,0.20671773229999998,0.0029679333000000004,8.781759999999999e-05,0.1525426062009878
69.0,48.080864,0.960075520912543,0.024463115518119742,357.479,0.2067658483,0.0029407953999999997,8.89097e-05,0.16786161291993137
70.0,48.032527,0.9552699522201453,0.024453035092244838,357.467,0.206785146,0.0028979853,8.79183e-05,0.19202046996261699
71.0,48.032618,0.961931025532532,0.024462658207580982,357.455,0.2067784078,0.002865088,8.56034e-05,0.15959164150199304
72.0,47.982167,0.9652220133193847,0.024387820380939517,357.46,0.20676919000000002,0.0028420437999999997,8.476569999999999e-05,0.14578055906589799
73.0,47.880414,0.9466180840462096,0.024307711732227736,357.446,0.2068065171,0.0028316631,8.5662e-05,0.19443157534460956
74.0,47.780584,0.9228892474506558,0.024478873825669815,357.439,0.2068765549,0.0028244086000000002,8.811589999999999e-05,0.2304048249989736
75.0,47.679539,0.9007347934818211,0.02445364142757072,357.421,0.2069295927,0.0027985861,9.03192e-05,0.21693336739793204
76.0,47.629164,0.8968420675706585,0.024632942678160352,357.403,0.2069598431,0.0027675919999999997,9.02769e-05,0.19963145764912485
77.0,47.628937,0.9033154598605263,0.02468771116687782,357.407,0.20695462750000002,0.0027460096,8.899960000000001e-05,0.17246883625250753
78.0,47.569085,0.916912938939244,0.024909906082958733,357.383,0.2069453866,0.002732156,8.85798e-05,0.15148141484034605
79.0,47.522032,0.903073152800474,0.024862817836345388,357.326,0.2069724634,0.0027306432,8.9849e-05,0.16778288692155083
80.0,47.481904,0.873015638392853,0.024617710507789235,357.281,0.2070208728,0.0027245297,9.233109999999999e-05,0.18483346076565113
81.0,47.359637,0.8699960011445923,0.02493809461039116,357.239,0.2070575691,0.0026997124,9.425070000000001e-05,0.14606337127631655
82.0,47.306013,0.8621112631801112,0.02476272455650318,357.199,0.2070674884,0.0026719498,9.37559e-05,0.1429834766850554
83.0,47.27915,0.8583329082360375,0.024369952651648145,357.185,0.2070485198,0.0026559283,9.26476e-05,0.14098475384294595
84.0,47.231375,0.8621275492390519,0.024415561975549404,357.179,0.2070434971,0.0026559759,9.266939999999999e-05,0.10273961052815954
85.0,47.23133,0.849852907624392,0.02466728874458793,357.199,0.2070881702,0.0026692948,9.403889999999999e-05,0.1284894778342169
86.0,47.180345,0.8267019093768635,0.024706981401848904,357.205,0.20714308930000003,0.0026681255999999997,9.61574e-05,0.15675497438877417
87.0,47.079424,0.8173138658006496,0.024656719184653095,357.193,0.2071654778,0.0026436802,9.655590000000001e-05,0.1263772331079904
88.0,47.028412,0.8270617918780411,0.024799173029572397,357.171,0.2071597312,0.0026206882,9.42585e-05,0.09836372547665889
89.0,46.928563,0.8404328583232453,0.024735141910140226,357.082,0.2071279367,0.0026095371,9.16733e-05,0.09541448014013508
90.0,46.831927,0.8431370875049321,0.024637408093700207,356.957,0.2071131926,0.0026162962000000002,9.07603e-05,0.10343923647711373
91.0,46.831696,0.824424824952699,0.02455842700890742,356.811,0.2071447676,0.0026376210999999997,9.19012e-05,0.11165619527250556
92.0,46.779815,0.8007321040062338,0.024303079368919317,356.666,0.2071774221,0.0026428951,9.47557e-05,0.09260623500331645
93.0,46.727432,0.8065632005767706,0.024525880314183197,356.491,0.2071852847,0.0026193589,9.6102e-05,0.0935113369027488
94.0,46.727762,0.8277895126008525,0.024909840201248874,356.284,0.2071733051,0.0025853472,9.54456e-05,0.10146750520195415
95.0,46.628511,0.8422244357843756,0.024840077392384002,356.223,0.2071417033,0.0025568605,9.50492e-05,0.10208232300089708
96.0,46.533203,0.8348799070798961,0.024647671779235374,356.257,0.2071457366,0.0025459046,9.534519999999999e-05,0.1140011755093571
97.0,46.533104,0.8118220926144968,0.024673451768524264,356.21,0.2071995309,0.0025455372999999997,9.660449999999999e-05,0.11649656288939199
98.0,46.479366,0.7877552438793453,0.02451917461105564,356.111,0.2072471524,0.0025211635999999996,9.85749e-05,0.1186069183065584
99.0,46.428936,0.7814110618272254,0.024508897405945022,356.089,0.2072706255,0.0024742158,9.8516e-05,0.12007780132218666
100.0,46.428163,0.789569649141373,0.024610793779679997,356.106,0.20726932879999999,0.0024307371999999997,9.61805e-05,0.1167467462275738
101.0,46.330535,0.801903399138236,0.024832939734115815,356.12,0.20726523270000002,0.0023975599,9.41047e-05,0.12031290082221206
102.0,46.22905,0.7878994759631383,0.02496958817435463,356.171,0.20730823369999998,0.0023903534,9.314350000000001e-05,0.1017562299947948
103.0,46.202382,0.7403052311431313,0.024642267196189505,356.165,0.20738804760000001,0.002411006,9.398929999999999e-05,0.08300970159648167
104.0,46.152936,0.7106653711941864,0.024529888995393427,356.118,0.2074441517,0.0024258136,9.55952e-05,0.08865332843422101
105.0,46.180818,0.7058934990273404,0.024578376016353546,356.096,0.2074595549,0.0024193924,9.545329999999999e-05,0.08252289215487955
106.0,46.178191,0.7175283956521746,0.024440648880189944,356.043,0.207426855,0.0024060445,9.51332e-05,0.06475718120138987
107.0,46.079233,0.7333904115307661,0.02439851486118525,356.018,0.2073874979,0.0024056901,9.608590000000001e-05,0.05508504662653716
108.0,45.979359,0.7338995642415429,0.02453522260380674,355.989,0.2073909576,0.0024250877,9.810299999999999e-05,0.056043478593773004
109.0,45.930141,0.7164130116019487,0.024443965316259152,355.933,0.2074194982,0.0024440906,0.00010155900000000001,0.058389680309363944
110.0,45.881265,0.7090116751369873,0.024474997026677284,355.916,0.2074388546,0.0024378649,0.000104119,0.05612306854418682
111.0,45.8814,0.7167354095566889,0.024553013915508935,355.898,0.20743132330000003,0.0024144433,0.0001040854,0.0552392742473415
112.0,45.880728,0.7356936487776843,0.024588045060289294,355.895,0.2073949446,0.0023949811,0.00010329390000000001,0.0502001763572692
113.0,45.781741,0.7545052736085697,0.024776657538050695,355.885,0.20736707729999998,0.0023868489000000003,0.0001030057,0.06078914160018168
114.0,45.732971,0.7447365354207197,0.02478120964233848,355.829,0.20738771379999998,0.0023936796,0.0001037401,0.05970096208248796
115.0,45.631941,0.729865430411669,0.02485222895477679,355.806,0.20742499179999999,0.0023955040999999997,0.00010525500000000001,0.03813959438515182
