Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m)
0.0,41.423215,0.013509116807847542,0.026641403210798987,333.773,0.2094806332,0.00044737819999999997,2.1442100000000003e-05,-0.0027393464593838813
1.0,41.423391,-0.004277861352320499,0.026105755995751875,334.084,0.2095130336,0.0004677774,2.23755e-05,0.017929374005130016
2.0,41.584752,-0.02226580706228861,0.026431895992277608,334.286,0.209546623,0.0004834854,2.39038e-05,0.013132899307994082
3.0,41.540522,-0.026711102533742755,0.0262956255577622,334.234,0.2095585474,0.0004694188,2.55976e-05,0.00413417380469178
4.0,41.522032,-0.016999421808541283,0.02622644688585087,334.34,0.20954209089999998,0.0004537885,2.4051099999999997e-05,0.007414138455823022
5.0,41.60432,0.005397240693627492,0.026438187434380662,334.509,0.20949783579999998,0.0004445065,2.1745599999999997e-05,0.0077327391349392574
6.0,41.541252,0.011170419725439747,0.026079224933489808,334.706,0.2094847234,0.00045034169999999996,2.03754e-05,0.0028161329550437848
7.0,41.522063,-0.007430957918696531,0.025635537324934662,334.898,0.2095209155,0.00046580030000000004,2.0871499999999998e-05,0.015518669028525313
8.0,41.522324,-0.023601478247149307,0.02614993412153483,335.096,0.2095506804,0.0004807037,2.34481e-05,0.0345512418763886
9.0,41.522284,-0.025775745886206593,0.0265199310054766,335.217,0.2095575613,0.0004646845,2.4326199999999998e-05,0.053922045082811766
10.0,41.521843,-0.01459145360421975,0.02623778228594221,335.257,0.2095380307,0.00045085890000000003,2.28903e-05,0.03333622690437762
11.0,41.521753,0.008515732286161863,0.026438400354101846,335.428,0.2094915593,0.0004440932,2.13362e-05,0.0860544687873862
12.0,41.442212,0.008994822419259677,0.026487567983148462,335.551,0.2094895921,0.0004484325,2.1606e-05,0.058640082096318796
13.0,41.423347,-0.011497502022449431,0.02575188577121914,335.688,0.2095279448,0.0004687338,2.3737699999999998e-05,0.05985446527345891
14.0,41.341779,-0.025755355820112895,0.025973389323036455,335.816,0.2095541841,0.0004816582,2.69381e-05,0.1299656300232193
15.0,41.404865,-0.018238708868532093,0.026645691241745838,335.783,0.2095406562,0.0004624843,2.87205e-05,0.2007794466109847
16.0,41.340194,-0.0010795710430981523,0.026391525388179373,335.822,0.2095088999,0.00044633890000000004,2.7721400000000002e-05,0.28668055270996884
17.0,41.322728,0.026185151322006515,0.026197005833224294,335.828,0.2094525156,0.0004431791,2.67577e-05,0.15996758122200053
18.0,41.405067,0.021502899664375207,0.02627926040304592,335.943,0.2094582457,0.0004636521,2.6696699999999998e-05,0.19375461267225647
19.0,41.303175,-0.004762393700303855,0.026107168613597007,336.261,0.209508473,0.0004865234,2.71617e-05,0.393743373086136
20.0,41.396913,-0.017569929279872318,0.025812572820806432,336.487,0.20953576000000002,0.00048464199999999997,2.88376e-05,0.2956664340925345
21.0,41.257219,-0.015671092433621588,0.025584025052365404,337.262,0.2095352936,0.00047000359999999997,2.8196699999999997e-05,0.14973436369807763
22.0,41.140764,5.633720144647842e-05,0.026186526923406225,338.374,0.2095040245,0.0004593992,2.70371e-05,0.2480606501809026
23.0,41.123198,0.019382213622653077,0.025476118507070714,339.923,0.20946219370000002,0.00045865950000000005,2.7468100000000002e-05,0.4618947996040914
24.0,41.042222,0.014365731091366674,0.024259923621852073,342.25,0.2094681917,0.0004707566,2.96886e-05,0.7823303718475213
25.0,40.943795,-0.003276837299205185,0.02416252053068079,344.255,0.20950044439999999,0.0005015022,3.38414e-05,0.806971373731511
26.0,40.842552,-0.012436289608640105,0.02474475391225177,345.746,0.2095189638,0.0005007353,3.92654e-05,0.8286271586125515
27.0,40.66167,-0.007698383746166891,0.02475468341771594,347.243,0.2095103878,0.0004882546,4.10847e-05,0.8263596787395314
28.0,40.54228,0.013936245255221403,0.024840880321841872,348.715,0.20946175920000001,0.000487685,4.30068e-05,1.0177598167753443
29.0,40.278021,0.02396978782601855,0.02420860849379322,350.306,0.2094237636,0.0005498089,4.6804e-05,0.7763679726053583
30.0,40.224169,0.007577138414362634,0.024534186990856428,351.278,0.2094132519,0.0007688391,5.30951e-05,0.60180704801538
31.0,40.060266,-0.004632010723545146,0.02485918376338228,351.669,0.20934512460000002,0.0012118816,6.0482599999999996e-05,0.571514508657044
32.0,40.024082,0.058422746110112105,0.025058647559351156,352.237,0.2090817568,0.0017973607999999999,6.61626e-05,0.6669737779997857
33.0,39.940837,0.17685436132040788,0.02470091712992997,352.921,0.2086626077,0.002524942,6.84214e-05,0.5379389128670232
34.0,39.598487,0.29315168697530414,0.02466500922301514,353.526,0.2082612734,0.0031923472000000004,7.22762e-05,0.7516527945302837
35.0,39.603975,0.47844338649306145,0.024744965752125515,354.293,0.2077058657,0.0038784894,7.61112e-05,0.5915515635657372
36.0,39.542523,0.7261216342659014,0.02459570513565669,354.942,0.20701806720000002,0.0044686293,8.30159e-05,0.5502970539576918
37.0,39.358883,0.9926995100598331,0.024375007027424678,355.453,0.2063059932,0.004899663,9.128499999999999e-05,0.6030829323486315
38.0,39.321477,1.265615428270758,0.024668973904126413,355.899,0.2056634858,0.0051591037,9.87378e-05,0.57342489041121
39.0,39.242021,1.4654938750348412,0.02448578961932672,356.422,0.20517238710000002,0.0052344554,0.0001016308,0.4288401450940368
40.0,39.061613,1.6200384681899656,0.024461611269868608,356.73,0.2048190357,0.0052265469,0.00010270670000000001,0.42319035514375763
41.0,38.929382,1.7192346106307543,0.02454979469800729,356.82,0.2046214986,0.0051563337,0.0001035576,0.3918302305280593
42.0,38.921959,1.7430589562145793,0.024470944683712255,356.988,0.20457412219999999,0.0050606316,0.00010431370000000001,0.40537963201783267
43.0,38.842436,1.7253749462716659,0.024371800857453784,357.011,0.2046176294,0.0049652221000000005,0.0001054719,0.4252474196776066
44.0,38.721184,1.7177515905083542,0.02456944733735234,357.015,0.2046903358,0.0048518706,0.00010437369999999999,0.3897385376535487
45.0,38.637873,1.6716509185951933,0.02408278516476987,357.314,0.2047419859,0.0047444678,9.96524e-05,0.472552159185027
46.0,38.540963,1.6766855155434601,0.024288617471938216,357.672,0.20478285289999998,0.0046572446,9.47014e-05,0.4898880411636933
47.0,38.443191,1.6771592874512709,0.02476237696321707,357.656,0.20487302759999998,0.0045762987,9.17572e-05,0.31410896310381553
48.0,38.341625,1.6086828999003493,0.02437282413627395,357.418,0.20498359310000003,0.0045078696000000005,9.0893e-05,0.28899744046097237
49.0,38.160238,1.5880391870840946,0.024675309649141514,357.23,0.2050984726,0.0043947208,9.10596e-05,0.3703014307101945
50.0,38.124572,1.5423831166679187,0.02466104532570461,357.25,0.2052274549,0.0042617170999999995,8.93351e-05,0.363966369404062
51.0,38.042043,1.4927057019473526,0.02451438864662486,357.542,0.2053487918,0.0041266332,8.48662e-05,0.2628458763384766
52.0,38.022081,1.4872017771007553,0.02484660905819439,357.609,0.20543197259999998,0.0040095608,8.07685e-05,0.3453440699756927
53.0,37.943668,1.3975191668362872,0.02420949291171639,357.972,0.2055654606,0.0039420489,7.75362e-05,0.35446192129308896
54.0,37.92566,1.3475881789596127,0.024385135873660233,358.389,0.2057106504,0.0039047144000000002,7.606980000000001e-05,0.32105715034276944
55.0,37.843104,1.3264338518006142,0.02481420341367574,358.515,0.20582003499999998,0.0038605885,7.67359e-05,0.27811019084264094
56.0,37.662184,1.3040376917557759,0.02468709058848124,358.559,0.20586940269999998,0.0037954318999999996,7.44553e-05,0.3248733061577647
57.0,37.62532,1.297719856414984,0.02457145485072194,358.699,0.2058855247,0.0037244696,7.159729999999999e-05,0.27122194201094163
