Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m)
0.0,41.138133,0.0013144823253613607,0.026046962952681763,318.642,0.2094995769,0.0004647506,1.57843e-05,0.042735642374481894
1.0,41.137914,0.018354489138429072,0.02650860323994135,318.674,0.20946554290000002,0.00046226169999999997,1.35259e-05,0.04036729586534887
2.0,41.137565,0.031828743853447826,0.02625659605835585,318.667,0.2094348198,0.0004742856,1.23271e-05,0.08183745400930918
3.0,41.136978,0.022501127019804234,0.026576391801992776,318.657,0.2094497514,0.0004988948,1.24333e-05,0.0917248241069689
4.0,41.137138,0.01303541743505543,0.026489681827393006,318.665,0.2094637707,0.0005213452,1.4730100000000001e-05,0.15344612940711902
5.0,41.13802,0.015443913318892603,0.02611260322708167,318.696,0.2094587427,0.0005162506,1.6546e-05,0.20535758353716455
6.0,41.059711,0.026590764225093034,0.026157571255610062,318.746,0.2094417776,0.0004872603,1.54969e-05,0.2784432875569388
7.0,41.04045,0.04908299116531123,0.026385020635989503,318.783,0.2093994949,0.000469923,1.39429e-05,0.2549134631058373
8.0,41.202028,0.0521599738901349,0.026322942539574658,318.807,0.2093942909,0.0004646431,1.28775e-05,0.2684769720547193
9.0,41.159544,0.026503087293522874,0.026215298674936466,318.847,0.2094457664,0.0004735939,1.3130399999999999e-05,0.3114043584780492
10.0,41.060738,-0.00015726694999634362,0.026082425540343235,318.937,0.2094970311,0.0004923213,1.54268e-05,0.45585058569171766
11.0,41.040429,-0.008962329652734918,0.02616055393995261,318.979,0.2095175193,0.0004805347,1.68919e-05,0.5704911919176054
12.0,41.040486,-0.003530434457617107,0.025838390905681515,319.043,0.2095107272,0.00046043019999999997,1.59395e-05,0.5370880511452477
13.0,41.040413,0.01775410746971555,0.026116701817931774,319.068,0.20946860409999998,0.00044859299999999995,1.49639e-05,0.40688098706692016
14.0,40.96291,0.020966772628866624,0.026313809881176865,319.132,0.2094603854,0.00045574330000000004,1.5772399999999998e-05,0.5063796041826459
15.0,40.943027,0.0017109583259380997,0.025843692277046235,319.181,0.2094951712,0.0004784981,1.76883e-05,0.5540638284125251
16.0,40.942586,-0.014223533350032729,0.02615148262433761,319.235,0.2095245367,0.0004922035,2.15658e-05,0.5415917708878131
17.0,40.859275,-0.010289393486159431,0.026403566154061378,319.329,0.20951805480000002,0.000480153,2.30764e-05,0.5556314009884463
18.0,40.759766,0.008024737876979458,0.02646263731969862,319.432,0.20948271970000001,0.00046859310000000004,2.19709e-05,0.6629600597274464
19.0,40.740164,0.036127357351681516,0.026172275506126594,319.483,0.2094251516,0.0004629805,2.03714e-05,0.6745578041296039
20.0,40.740035,0.03424848067827514,0.026096984597571024,319.531,0.209427073,0.0004725183,1.98642e-05,0.5741120815862593
21.0,40.74067,0.019928241368623683,0.02588220566406845,319.595,0.2094512258,0.0004972559,2.1380100000000002e-05,0.7798789447027894
22.0,40.663792,0.002305273779496512,0.02594716021058189,319.66,0.2094848519,0.0005092825,2.52724e-05,0.6874774001112698
23.0,40.643093,0.0012469342003256995,0.02612523261798109,319.726,0.209489324,0.0004936982000000001,2.8332499999999997e-05,0.7607813748643191
24.0,40.642996,0.01596959336592112,0.025854745593079372,319.792,0.2094601552,0.0004806307,2.98836e-05,0.7271717420588935
25.0,40.643382,0.03536044252693682,0.026094660980304437,319.869,0.20941804179999998,0.00048444840000000004,3.19596e-05,0.8273508904758248
26.0,40.559076,0.026024346110072056,0.025730944801898636,319.941,0.20943278769999998,0.0004983038,3.56401e-05,0.8217289275878974
27.0,40.538587,-0.0018411204731555535,0.02585300767760563,319.981,0.2094845182,0.000527034,4.0964199999999997e-05,0.8703773393826069
28.0,40.538973,-0.015358478412014645,0.025791516120372796,320.044,0.20951047209999998,0.0005316685000000001,4.65406e-05,0.9051252648819257
29.0,40.457042,-0.012036261093105644,0.02599370794972185,320.055,0.2095048358,0.0005174783,5.03681e-05,0.8966292224663028
30.0,40.439206,0.0046576597768055745,0.02578660534092513,320.095,0.2094710375,0.0005051716,5.3125400000000005e-05,0.7798309199796557
31.0,40.362655,0.021570514147574125,0.025974068732951328,320.169,0.2094347636,0.0005027396,5.60593e-05,0.9719864714551271
32.0,40.319356,0.007812585703564403,0.025981052796654868,320.216,0.2094594823,0.0005171553,6.0170099999999995e-05,1.06239852306097
33.0,40.254424,-0.013082756121297272,0.026044763087230454,320.267,0.2094956026,0.0005450327,6.66256e-05,1.0074763961447308
34.0,40.238906,-0.021627413125093656,0.026238140783932135,320.311,0.2095111851,0.0005459027,7.22729e-05,1.1244113122043515
35.0,40.197272,-0.009803921695397462,0.025918838789390122,320.374,0.20948862,0.0005302559,7.60389e-05,1.232485802054593
36.0,40.149581,0.013929394553604202,0.026032121120524124,320.436,0.20943870950000001,0.0005242935,7.862269999999999e-05,1.2693592430513332
37.0,40.140415,0.030902663697459875,0.026154010778642704,320.474,0.2093994666,0.0005347475,8.286639999999999e-05,1.4349266797506879
38.0,40.126125,0.014078737684850745,0.02654048542450141,320.543,0.2094273029,0.0005635591,8.85549e-05,1.628862518059724
39.0,40.05859,-0.005910376549908613,0.02610291215382346,320.573,0.20946092449999998,0.0005894727,9.608480000000001e-05,1.5196648226017073
40.0,40.041811,-0.005025509583970174,0.02581911395408612,320.627,0.20945681100000002,0.0005891186,0.0001031421,1.5899104003715556
41.0,40.037661,0.011508405783294538,0.026070584382030443,320.642,0.2094236896,0.0005740249,0.0001068454,1.5007016899944965
42.0,39.959046,0.03480253243622438,0.026178754513855287,320.693,0.2093755896,0.0005656346000000001,0.00010968510000000001,1.5973936235666026
43.0,39.860568,0.04799841060901714,0.025814786730272214,320.706,0.20934487910000002,0.000566863,0.00011339190000000001,1.5700007973008425
44.0,39.840293,0.031805072701357316,0.025848469682674916,320.78,0.20937419040000002,0.0005842296999999999,0.0001182268,1.713030067423365
45.0,39.758166,0.01429123880986216,0.025799665508435186,320.86,0.2094050902,0.0006026445,0.0001253959,1.6546662694803773
46.0,39.737316,0.010199347334959358,0.026148282299391774,320.924,0.2094138695,0.0005930796,0.0001318906,1.836998319136099
47.0,39.737279,0.0204756096579861,0.026178531124936715,320.974,0.2093936501,0.0005784975,0.0001367979,1.7398844469737362
48.0,39.660341,0.043061268796441635,0.026054320620342568,321.02,0.2093452611,0.0005724577,0.00014181289999999999,1.7266653725254906
49.0,39.63964,0.048068676792162444,0.025816121159940298,321.091,0.20932981850000001,0.0005815734,0.0001476465,2.01758058380073
