Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m)
0.0,-0.740697,0.008416994793409039,0.027185212240563084,310.01,0.2094585006,0.0004750331,1.3647500000000001e-05,0.0013038875641686793
1.0,-0.740625,-0.000607673137324798,0.02772161579812736,309.961,0.209476946,0.0004705347,1.59096e-05,0.004113650107960965
2.0,-0.740532,0.004817564672881267,0.027325308505962723,309.972,0.2094696396,0.0004543361,1.5241600000000002e-05,0.004148788224199104
3.0,17.864395,0.024555892261675132,0.02717990600352744,309.975,0.2094328755,0.0004418987,1.3110000000000002e-05,-0.001575091548551679
4.0,22.631828,0.04023478646991653,0.02705160057034923,309.979,0.20940169269999998,0.00043959150000000003,1.1538799999999999e-05,-0.004759009231544246
5.0,22.631957,0.026239306985564145,0.027350595445545536,309.96,0.2094293578,0.0004466883,1.14603e-05,0.0032999441525703916
6.0,22.632214,-0.0019588970806177284,0.027751306318759238,309.957,0.20948008690000003,0.0004729539,1.31196e-05,-0.003937571808675227
7.0,22.794493,-0.011487284877755688,0.027596944144208088,309.932,0.20949831,0.000473591,1.5160499999999998e-05,-0.011605958317792394
8.0,22.752375,-0.0036546083581269896,0.027513147818765647,309.946,0.2094880079,0.00045090030000000006,1.35066e-05,-0.0077231132449922316
9.0,22.731384,0.012164571583370047,0.027409324353329215,309.989,0.2094592768,0.00043972079999999995,1.1397200000000002e-05,0.0010761992948751006
10.0,22.651244,0.02059509716241478,0.027234137974303716,310.025,0.2094420638,0.0004410424,1.0541299999999998e-05,0.015894410009208767
11.0,22.553024,0.002011909721909932,0.027271136825936154,310.029,0.20947616830000002,0.0004564218,1.1446799999999999e-05,0.0081750388388836
12.0,22.53435,-0.016600161509974957,0.027678672934571987,310.041,0.2095082892,0.0004759688,1.41206e-05,0.008805761843036644
13.0,22.534571,-0.020113765337588293,0.027593273880790706,310.024,0.2095169656,0.0004671417,1.49819e-05,0.011136491898090309
14.0,22.533964,-0.00890345924394735,0.02715222111106292,310.013,0.2094987676,0.0004514389,1.31748e-05,0.006757678216119799
15.0,22.534164,0.006991922624153923,0.02748040169036285,310.022,0.2094696843,0.0004401934,1.12192e-05,0.016246646570694027
16.0,22.534552,0.008239377017504157,0.026795259700502075,310.055,0.20946576849999998,0.0004459978,1.0562e-05,0.025234231652956605
17.0,22.452461,-0.01935849076015651,0.027093613161660392,310.071,0.2095168732,0.00046951720000000004,1.15052e-05,0.016236729143031908
18.0,22.432714,-0.037177216354227195,0.027072078293301348,310.086,0.20955022939999998,0.00048045440000000003,1.34519e-05,0.02269232973569958
19.0,22.432553,-0.03934077649673277,0.027153577346628932,310.091,0.2095549682,0.00047604760000000005,1.44667e-05,0.02096384879271178
20.0,22.432921,-0.025896154456790388,0.026992845152399556,310.069,0.20953253449999998,0.00045694970000000003,1.28797e-05,0.02937154609814291
21.0,22.432955,-0.002606558821514067,0.027237156123622937,310.079,0.2094873522,0.0004473426,1.1635700000000001e-05,0.041394627383995485
22.0,22.432936,0.0014174916405525167,0.027450914827587096,310.109,0.2094772681,0.00045713990000000005,1.13616e-05,0.045966427075133
23.0,22.5141,-0.015726344402073194,0.027186765753473834,310.125,0.2095092902,0.0004687001,1.22357e-05,0.05306278902974637
