Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,304.5,,,,,,,,,,,,,
5.0,304.5,,,,,,,,,,,,,
10.0,304.852,,,,,,,,,,,,,
15.0,304.764,,,,,,,,,,,,,
20.0,304.324,,,,,,,,,,,,,
25.0,304.412,,,,,,,,,,,,,
30.0,304.5,,,,,,,,,,,,,
35.0,304.5,,,,,,,,,,,,,
40.0,304.236,,,,,,,,,,,,,
45.0,304.5,,,,,,,,,,,,,
50.0,304.324,,,,,,,,,,,,,
55.0,304.06,,,,,,,,,,,,,
60.0,304.324,,,,,,,,,,,,,
65.0,304.412,,,,,,,,,,,,,
70.0,304.412,,,,,,,,,,,,,
75.0,304.412,,,,,,,,,,,,,
80.0,304.5,,,,,,,,,,,,,
85.0,304.764,,,,,,,,,,,,,
90.0,304.5,,,,,,,,,,,,,
95.0,304.324,,,,,,,,,,,,,
100.0,304.676,,,,,,,,,,,,,
105.0,304.588,,,,,,,,,,,,,
110.0,304.676,,,,,,,,,,,,,
115.0,304.412,,,,,,,,,,,,,
120.0,304.588,,,,,,,,,,,,,
125.0,304.588,,,,,,,,,,,,,
130.0,304.5,,,,,,,,,,,,,
135.0,304.236,,,,,,,,,,,,,
140.0,304.588,,,,,,,,,,,,,
145.0,304.412,,,,,,,,,,,,,
150.0,304.5,,,,,,,,,,,,,
155.0,304.148,,,,,,,,,,,,,
160.0,304.236,,,,,,,,,,,,,
165.0,304.5,,,,,,,,,,,,,
170.0,304.412,,,,,,,,,,,,,
175.0,304.148,,,,,,,,,,,,,
180.0,304.324,,,,,,,,,,,,,
185.0,304.324,,,,,,,,,,,,,
190.0,304.324,,,,,,,,,,,,,
195.0,304.148,,,,,,,,,,,,,
200.0,304.148,,,,,,,,,,,,,
205.0,304.324,,,,,,,,,,,,,
210.0,304.236,,,,,,,,,,,,,
215.0,303.884,,,,,,,,,,,,,
220.0,304.06,,,,,,,,,,,,,
