Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,456.3,,,,,,,,,,,,,
5.0,456.3,,,,,,,,,,,,,
10.0,455.588,,,,,,,,,,,,,
15.0,456.122,0.0267,,,,,,,133.0,2.16,0.0004,1.5284,0.0137,
20.0,455.588,0.77786,,,,,,,157.0,1.47,0.0013,0.9555,0.002,
25.0,454.876,1.67765,,,,,,,180.0,1.26,0.001,0.8458,0.0013,
30.0,453.897,1.88502,,,,,,,203.0,1.15,0.002,0.8422,0.0012,
35.0,454.075,1.98559,,,,,,,227.0,1.06,0.0016,0.7677,0.0011,
40.0,452.74,2.12443,,,,,,,250.0,1.2,0.0037,0.7844,0.0012,
45.0,451.316,2.46619,,,,,,,273.0,1.01,0.0028,0.6069,0.0012,
50.0,451.227,2.77947,,,,,,,324.0,1.18,0.006,0.6656,0.0016,
55.0,449.714,2.94145,,,,,,,389.0,1.26,0.0066,0.6953,0.0022,
60.0,449.091,3.0171,,,,,,,429.0,1.15,0.0101,0.6343,0.0023,
65.0,448.468,2.8302,,,,,,,453.0,1.35,0.0132,0.751,0.0031,
70.0,447.667,2.67801,,,,,,,446.0,1.23,0.0165,0.7078,0.0027,
75.0,447.222,2.4617400000000003,,,,,,,417.0,1.22,0.0177,0.6949,0.0025,
80.0,446.421,2.25882,,,,,,,393.0,0.95,0.0167,0.5931,0.0022,
85.0,445.976,2.12621,,,,,,,375.0,0.94,0.0166,0.5747,0.0017,
90.0,444.73,1.98025,,,,,,,382.0,1.02,0.0174,0.5959,0.0022,
95.0,444.463,1.9402,,,,,,,355.0,1.07,0.0193,0.6443,0.002,
100.0,443.929,1.85832,,,,,,,338.0,1.39,0.0244,0.8174,0.0026,
105.0,443.484,1.79335,,,,,,,332.0,0.94,0.0168,0.5176,0.0015,
110.0,443.039,1.72749,,,,,,,338.0,0.99,0.0161,0.5669,0.0015,
115.0,441.793,1.65362,,,,,,,337.0,1.04,0.0182,0.624,0.0016,
120.0,441.793,1.63137,,,,,,,324.0,1.22,0.0205,0.6939,0.0017,
125.0,441.437,1.56106,,,,,,,322.0,1.08,0.0196,0.6031,0.0017,
130.0,440.992,1.48541,,,,,,,305.0,1.04,0.0188,0.6115,0.0016,
135.0,439.924,1.38751,,,,,,,323.0,1.17,0.0217,0.6421,0.0017,
140.0,440.369,1.31186,,,,,,,308.0,0.98,0.0172,0.5845,0.0017,
145.0,439.835,1.25846,,,,,,,324.0,1.29,0.0235,0.822,0.0021,
150.0,438.945,1.22464,,,,,,,349.0,1.07,0.0164,0.6369,0.0016,
155.0,439.123,1.2104,,,,,,,345.0,1.42,0.0223,0.8548,0.0029,
160.0,438.856,1.21129,,,,,,,348.0,1.43,0.0217,0.8282,0.0043,
