Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,272.6,,,,,,,,,,,,,
5.0,272.6,,,,,,,,,,,,,
10.0,272.778,,,,,,,,,,,,,
15.0,272.511,,,,,,,,,,,,,
20.0,272.778,,,,,,,,,,,,,
25.0,272.6,,,,,,,,,,,,,
30.0,272.778,,,,,,,,,,,,,
35.0,272.6,,,,,,,,,,,,,
40.0,272.6,,,,,,,,,,,,,
45.0,272.867,,,,,,,,,,,,,
50.0,272.6,,,,,,,,,,,,,
55.0,272.15500000000003,,,,,,,,,,,,,
60.0,272.689,,,,,,,,,,,,,
65.0,272.867,,,,,,,,,,,,,
70.0,272.511,,,,,,,,,,,,,
75.0,272.867,,,,,,,,,,,,,
80.0,272.778,,,,,,,,,,,,,
85.0,272.422,,,,,,,,,,,,,
90.0,272.422,,,,,,,,,,,,,
95.0,272.778,,,,,,,,,,,,,
100.0,272.689,,,,,,,,,,,,,
105.0,272.333,,,,,,,,,,,,,
110.0,272.333,,,,,,,,,,,,,
115.0,272.333,,,,,,,,,,,,,
120.0,272.511,,,,,,,,,,,,,
125.0,272.6,,,,,,,,,,,,,
130.0,272.06600000000003,,,,,,,,,,,,,
135.0,272.06600000000003,,,,,,,,,,,,,
140.0,272.422,,,,,,,,,,,,,
145.0,272.244,,,,,,,,,,,,,
150.0,272.244,,,,,,,,,,,,,
155.0,272.06600000000003,,,,,,,,,,,,,
160.0,271.97700000000003,,,,,,,,,,,,,
165.0,271.79900000000004,,,,,,,,,,,,,
170.0,271.71000000000004,0.0249199999999999,,,,,,,200.0,1.5,0.0084,2.6903,0.0022,
175.0,271.71000000000004,0.04094,,,,,,,194.0,2.78,0.0052,1.8056,0.0013,
180.0,271.62100000000004,0.53578,,,,,,,189.0,1.99,0.0043,1.0912,0.0007,
185.0,271.17600000000004,1.1596700000000002,,,,,,,183.0,1.32,0.0027,0.6661,0.0005,
190.0,270.82000000000005,1.3439,,,,,,,178.0,1.15,0.0035,0.5852,0.0004,
195.0,270.197,1.37149,,,,,,,172.0,1.31,0.004,0.586,0.0004,
200.0,269.841,1.3768299999999998,,,,,,,167.0,1.47,0.0059,0.6764,0.0005,
205.0,269.663,1.35458,,,,,,,157.0,1.93,0.0079,0.951,0.0007,
210.0,269.396,1.31008,,,,,,,147.0,1.59,0.0067,0.7437,0.0005,
215.0,269.129,1.27626,,,,,,,144.0,1.28,0.0058,0.6171,0.0005,
220.0,268.50600000000003,1.23799,,,,,,,142.0,1.45,0.0064,0.7557,0.0006,
225.0,268.23900000000003,1.22642,,,,,,,133.0,1.74,0.0081,0.7969,0.0007,
230.0,268.23900000000003,1.18637,,,,,,,117.0,2.07,0.0084,0.8832,0.0008,
235.0,268.06100000000004,1.1303,,,,,,,103.0,1.74,0.0073,0.7511,0.0007,
240.0,267.61600000000004,1.10271,,,,,,,100.0,1.43,0.0056,0.5915,0.0006,
245.0,267.34900000000005,1.07156,,,,,,,85.0,1.58,0.0061,0.5834,0.0007,
250.0,267.17100000000005,1.03952,,,,,,,67.0,2.13,0.0064,0.8529,0.0009,
255.0,266.993,1.0146,,,,,,,52.0,1.46,0.0047,0.6121,0.0007,
260.0,266.815,0.96921,,,,,,,41.0,1.22,0.0032,0.5363,0.0006,
265.0,266.281,0.9434,,,,,,,54.0,1.12,0.003,0.5346,0.0005,
270.0,266.014,0.92471,,,,,,,66.0,1.42,0.0037,0.5769,0.0006,
275.0,265.747,0.95942,,,,,,,67.0,2.47,0.0065,0.9489,0.0011,
280.0,265.747,0.97633,,,,,,,64.0,2.68,0.0087,1.1069,0.0012,
285.0,265.658,0.94963,,,,,,,66.0,1.67,0.0059,0.7224,0.0008,
290.0,265.391,0.9256,,,,,,,68.0,1.58,0.0066,0.676,0.0008,
295.0,264.857,0.8971199999999999,,,,,,,66.0,1.4,0.0058,0.5776,0.0007,
300.0,265.035,0.90424,,,,,,,59.0,1.53,0.0066,0.6407,0.0008,
305.0,264.59000000000003,0.89356,,,,,,,47.0,1.97,0.0084,0.7587,0.001,
310.0,264.41200000000003,0.8819899999999999,,,,,,,38.0,1.99,0.0074,0.8648,0.001,
315.0,264.32300000000004,0.8819899999999999,,,,,,,31.0,1.88,0.0073,0.7602,0.0009,
320.0,264.23400000000004,0.85529,,,,,,,22.0,1.33,0.005,0.5037,0.0007,
325.0,263.70000000000005,0.8446100000000001,,,,,,,17.0,1.36,0.0053,0.5943,0.0008,
330.0,263.52200000000005,0.8303699999999999,,,,,,,17.0,1.92,0.0072,0.6982,0.001,
335.0,263.52200000000005,0.80456,,,,,,,19.0,2.09,0.008,0.823,0.0011,
340.0,263.43300000000005,0.81791,,,,,,,22.0,2.38,0.0094,0.9792,0.0013,
345.0,262.988,0.82948,,,,,,,27.0,2.06,0.0079,0.8189,0.0011,
350.0,263.077,0.8188,,,,,,,26.0,1.76,0.0068,0.6508,0.001,
355.0,262.899,0.79477,,,,,,,24.0,2.08,0.0085,0.7564,0.0012,
360.0,262.632,0.7885399999999999,,,,,,,21.0,1.57,0.0064,0.5557,0.0009,
365.0,262.543,0.75205,,,,,,,18.0,1.6,0.0065,0.593,0.0009,
370.0,262.365,0.76451,,,,,,,13.0,2.08,0.009,0.773,0.0013,
375.0,262.098,0.7458199999999999,,,,,,,10.0,1.37,0.0059,0.533,0.0008,
380.0,262.098,0.72624,,,,,,,8.0,1.29,0.0051,0.5076,0.0008,
385.0,261.564,0.7387,,,,,,,7.0,1.47,0.0057,0.5212,0.0009,
390.0,261.475,0.71823,,,,,,,7.0,1.73,0.0068,0.7327,0.0011,
395.0,261.386,0.7155600000000001,,,,,,,6.0,2.2,0.0088,0.807,0.0014,
400.0,261.386,0.70844,,,,,,,6.0,1.51,0.006,0.623,0.0009,
405.0,261.03000000000003,0.73247,,,,,,,6.0,1.32,0.005,0.4279,0.0008,
410.0,260.76300000000003,0.74849,,,,,,,6.0,1.38,0.0058,0.4813,0.0008,
415.0,260.58500000000004,0.75027,,,,,,,5.0,2.06,0.0089,0.7382,0.0012,
420.0,260.49600000000004,0.7253499999999999,,,,,,,4.0,3.36,0.0144,0.9257,0.002,
425.0,260.49600000000004,0.71734,,,,,,,3.0,3.68,0.0165,1.2908,0.0023,
430.0,260.40700000000004,0.70755,,,,,,,2.0,2.36,0.0106,0.7901,0.0015,
435.0,260.22900000000004,0.70844,,,,,,,2.0,1.43,0.0065,0.5014,0.0009,
440.0,260.05100000000004,0.70755,,,,,,,1.0,1.1,0.0045,0.3543,0.0007,
445.0,259.69500000000005,0.6924199999999999,,,,,,,1.0,1.28,0.0053,0.3842,0.0008,
450.0,259.51700000000005,0.68085,,,,,,,1.0,1.88,0.0078,0.5876,0.0012,
455.0,259.51700000000005,0.6924199999999999,,,,,,,1.0,2.02,0.0095,0.7467,0.0015,
460.0,259.428,0.68797,,,,,,,0.0,1.9,0.0084,0.7039,0.0013,
