Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,-2.1,0.0,0.0
5.0,,,,,,,,,0.0,-0.5,0.0,0.0
10.0,,,,,,,,,0.0,-2.1,0.0,0.0
15.0,,,,,,,,,0.0,-0.7,0.0,0.0
20.0,,,,,,,,,0.0,0.9,0.0,0.0
25.0,,,,,,,,,0.108,43.0,0.2,0.006
30.0,,,,,,,,,0.131,277.4,0.19,0.004
35.0,,,,,,,,,0.071,179.5,0.85,0.116
40.0,,,,,,,,,0.036,94.3,3.71,0.52
45.0,,,,,,,,,0.042,46.1,3.57,0.409
50.0,,,,,,,,,0.038,22.3,3.37,0.3
55.0,,,,,,,,,0.065,6.9,1.53,0.101
60.0,,,,,,,,,0.077,8.7,0.94,0.066
65.0,,,,,,,,,0.038,12.5,1.4,0.129
70.0,,,,,,,,,0.012,14.1,3.55,0.4
75.0,,,,,,,,,0.01,13.4,3.88,0.461
80.0,,,,,,,,,0.009,12.7,4.3,0.525
85.0,,,,,,,,,0.016,13.0,2.36,0.277
90.0,,,,,,,,,0.032,13.7,1.15,0.122
95.0,,,,,,,,,0.043,11.1,0.83,0.084
100.0,,,,,,,,,0.038,11.1,0.94,0.093
105.0,,,,,,,,,0.033,14.9,1.09,0.105
110.0,,,,,,,,,0.045,18.4,0.81,0.073
115.0,,,,,,,,,0.047,18.5,0.77,0.082
120.0,,,,,,,,,0.033,15.7,1.21,0.13
125.0,,,,,,,,,0.01,13.2,4.0,0.369
130.0,,,,,,,,,0.01,12.9,4.03,0.377
135.0,,,,,,,,,0.01,13.8,0.0,0.0
140.0,,,,,,,,,0.013,14.5,3.02,0.318
145.0,,,,,,,,,0.028,12.9,1.33,0.12
150.0,,,,,,,,,0.028,13.9,1.29,0.133
155.0,,,,,,,,,0.015,12.7,2.46,0.256
160.0,,,,,,,,,0.014,11.1,2.63,0.277
165.0,,,,,,,,,0.026,13.4,1.37,0.133
170.0,,,,,,,,,0.024,12.5,1.46,0.163
175.0,,,,,,,,,0.006,12.2,5.64,0.614
180.0,,,,,,,,,0.006,11.1,5.7,0.638
185.0,,,,,,,,,0.01,13.5,3.3,0.264
190.0,,,,,,,,,0.041,12.0,0.86,0.08
195.0,,,,,,,,,0.027,12.2,1.28,0.102
200.0,,,,,,,,,0.001,11.8,123.71,9.73
205.0,,,,,,,,,0.001,9.3,123.63,12.006
210.0,,,,,,,,,0.001,15.9,123.04,10.715
215.0,,,,,,,,,0.005,12.8,122.74,10.744
220.0,,,,,,,,,0.043,13.2,0.8,0.058
225.0,,,,,,,,,0.029,10.5,1.19,0.089
230.0,,,,,,,,,0.029,16.9,1.22,0.103
235.0,,,,,,,,,0.029,13.4,1.19,0.101
240.0,,,,,,,,,0.008,12.3,4.3,0.34
245.0,,,,,,,,,0.017,11.6,2.03,0.146
