Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),CO2 (kg/kg),CO (kg/kg)
0.0,,-0.018480000000000003,,,,,,,0.0,0.0,0.0
6.0,,-0.00528,,,,,,,0.0,0.0,0.0
12.0,,0.009680000000000001,,,,,,,0.124,0.21,0.009
18.0,,0.00792,,,,,,,0.126,0.2,0.009
24.0,,0.0035200000000000006,,,,,,,0.091,0.54,0.029
30.0,,0.5482400000000001,,,,,,,0.062,2.79,0.084
36.0,,2.29416,,,,,,,0.066,2.99,0.074
42.0,,1.8788,,,,,,,0.09,1.71,0.025
48.0,,1.03576,,,,,,,0.078,1.54,0.014
54.0,,0.6899200000000001,,,,,,,0.048,3.01,0.044
60.0,,1.4520000000000002,,,,,,,0.028,6.58,0.157
66.0,,1.89816,,,,,,,0.02,8.03,0.138
72.0,,1.1836,,,,,,,0.014,8.26,0.166
78.0,,0.65208,,,,,,,0.012,7.57,0.218
84.0,,0.37576000000000004,,,,,,,0.016,4.73,0.233
90.0,,0.34496000000000004,,,,,,,0.014,4.7,0.268
96.0,,0.29568000000000005,,,,,,,0.009,6.59,0.422
102.0,,0.28248,,,,,,,0.011,5.39,0.348
108.0,,0.27104,,,,,,,0.013,4.79,0.342
114.0,,0.28424,,,,,,,0.015,4.12,0.303
120.0,,0.26664000000000004,,,,,,,0.011,5.38,0.366
126.0,,0.27280000000000004,,,,,,,0.008,7.22,0.423
132.0,,0.26136000000000004,,,,,,,0.01,5.94,0.372
138.0,,0.28248,,,,,,,0.014,4.4,0.239
