Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,53.59,,0.0289,,,,,,0.0,0.0,0.0,0.0,0.00035,4e-05,0.0
5.0,53.68,,0.0287,,,,,,0.0,0.0,0.0,0.0,0.00027,4e-05,0.0
10.0,53.72,,0.0287,,,,,,0.0,0.53,0.001,0.0,0.00163,4e-05,0.0
15.0,53.72,,0.0288,,,,,,0.0,0.53,0.001,0.0,0.00252,5e-05,0.0
20.0,53.73,,0.0287,,,,,,0.0,0.53,0.575,0.001,0.56238,0.04114,0.0
25.0,53.74,,0.0287,,,,,,0.0,-0.53,0.43,0.001,0.61743,0.03044,0.0
30.0,53.69,,0.0288,,,,,,170.7,0.0,0.219,0.001,0.83659,0.05377,0.0
35.0,53.7,,0.0282,,,,,,417.8,0.0,0.564,0.011,0.82334,0.06805,0.0
40.0,53.67,,0.0288,,,,,,795.7,1.58,1.182,0.012,1.57972,0.09208,0.0
45.0,53.65,,0.0286,,,,,,910.4,1.57,1.126,0.016,1.71158,0.084,0.0
50.0,53.64,,0.0286,,,,,,857.8,1.57,0.64,0.009,3.57086,0.05495,0.0
55.0,53.6,,0.0285,,,,,,380.8,3.13,1.033,0.007,1.42807,0.02164,0.0
60.0,53.55,,0.0287,,,,,,214.9,3.68,1.561,0.003,0.65478,0.01071,0.0
65.0,53.26,,0.0276,,,,,,577.0,28.23,1.391,0.008,0.49954,0.01029,0.0
70.0,53.052,,0.0277,,,,,,598.6,102.08,1.373,0.009,0.50207,0.00699,0.0
75.0,52.83,,0.0276,,,,,,532.7,109.73,1.338,0.02,0.4968,0.00574,0.0
80.0,52.64,,0.0278,,,,,,522.7,97.31,1.387,0.023,0.56609,0.00532,0.0
85.0,52.48,,0.0279,,,,,,413.5,86.46,1.421,0.031,0.59975,0.00588,0.0
90.0,52.32,,0.0278,,,,,,380.5,79.62,1.446,0.033,0.56782,0.00654,0.0
95.0,52.18,,0.0279,,,,,,354.0,73.8,1.397,0.036,0.56198,0.00689,0.0
100.0,52.05,,0.0278,,,,,,308.9,71.14,1.411,0.038,0.58303,0.00771,0.0
105.0,51.9,,0.028,,,,,,313.7,68.01,1.466,0.039,0.55459,0.01055,0.0
