Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,36.5,,,,,,,,,,,,,
5.0,36.5,,,,,,,,,,,,,
10.0,36.4,0.267,,,,,,,1144.0,1.78,0.0025,1.2896,0.0044,
15.0,35.4,2.395,,,,,,,1307.0,1.32,0.0272,0.8085,0.1364,
20.0,34.3,3.577,,,,,,,1470.0,1.16,0.0196,0.6473,0.15,
25.0,33.0,4.458,,,,,,,1634.0,1.13,0.0469,0.6353,0.1655,
30.0,31.5,4.987,,,,,,,1798.0,1.18,0.0429,0.5895,0.1582,
35.0,30.1,5.452999999999999,,,,,,,1962.0,1.16,0.0719,0.591,0.1513,
40.0,28.6,5.692,,,,,,,2126.0,1.18,0.0694,0.535,0.1387,
45.0,27.1,5.846,,,,,,,2123.0,1.11,0.0947,0.4987,0.1405,
50.0,25.7,5.838,,,,,,,2148.0,1.03,0.0987,0.4824,0.1417,
55.0,24.3,5.3,,,,,,,2147.0,1.07,0.117,0.494,0.1282,
60.0,23.1,4.96,,,,,,,2159.0,1.12,0.1316,0.5164,0.1288,
65.0,22.0,4.589,,,,,,,2179.0,1.11,0.1281,0.5308,0.1368,
70.0,21.0,4.304,,,,,,,2177.0,1.11,0.1358,0.5239,0.1385,
75.0,20.0,4.093999999999999,,,,,,,2187.0,1.09,0.1221,0.5313,0.1418,
80.0,19.0,3.886,,,,,,,2244.0,1.05,0.1258,0.5419,0.1338,
85.0,18.2,3.675,,,,,,,2245.0,1.07,0.1113,0.5467,0.1504,
90.0,17.2,3.587,,,,,,,2253.0,1.07,0.1138,0.5602,0.1479,
95.0,16.3,3.489,,,,,,,2261.0,1.07,0.1015,0.5594,0.1405,
100.0,15.5,3.46,,,,,,,2296.0,1.05,0.1032,0.5429,0.1346,
105.0,14.6,3.429,,,,,,,2318.0,1.02,0.096,0.5345,0.1395,
110.0,13.700000000000005,3.3080000000000003,,,,,,,2334.0,1.05,0.1013,0.5321,0.1361,
115.0,12.900000000000002,3.221,,,,,,,2377.0,1.06,0.1008,0.5444,0.1478,
120.0,12.099999999999998,3.148,,,,,,,2412.0,1.05,0.1043,0.57,0.1272,
125.0,11.400000000000002,2.9960000000000004,,,,,,,2439.0,1.07,0.1032,0.5905,0.1489,
130.0,10.6,2.91,,,,,,,2450.0,1.1,0.1061,0.5749,0.1549,
135.0,10.0,2.827,,,,,,,2478.0,1.07,0.1023,0.5814,0.1459,
140.0,9.299999999999995,2.797,,,,,,,2471.0,1.1,0.1061,0.5686,0.1446,
145.0,8.599999999999998,2.672,,,,,,,2465.0,1.09,0.1008,0.5481,0.1348,
150.0,8.0,2.59,,,,,,,2482.0,1.08,0.1048,0.4964,0.119,
155.0,7.399999999999999,2.496,,,,,,,2502.0,1.04,0.1054,0.5253,0.1223,
160.0,6.799999999999997,2.294,,,,,,,2572.0,1.12,0.1266,0.5054,0.0996,
165.0,6.400000000000002,1.97,,,,,,,2509.0,1.19,0.1343,0.4382,0.088,
170.0,6.100000000000001,1.739,,,,,,,2171.0,1.11,0.2086,0.5535,0.0738,
175.0,5.899999999999999,1.256,,,,,,,1700.0,1.28,0.2367,0.8231,0.0925,
180.0,5.800000000000001,0.773,,,,,,,,,,,,
185.0,5.800000000000001,0.596,,,,,,,,,,,,
190.0,5.699999999999999,0.496,,,,,,,,,,,,
195.0,5.699999999999999,0.415,,,,,,,,,,,,
200.0,5.599999999999998,0.386,,,,,,,,,,,,
205.0,5.4999999999999964,0.352,,,,,,,,,,,,
210.0,5.4999999999999964,0.346,,,,,,,,,,,,
215.0,5.4999999999999964,0.3329999999999999,,,,,,,,,,,,
220.0,5.4999999999999964,0.342,,,,,,,,,,,,
225.0,5.400000000000002,0.327,,,,,,,,,,,,
230.0,5.299999999999997,0.317,,,,,,,,,,,,
235.0,5.299999999999997,0.32,,,,,,,,,,,,
240.0,5.299999999999997,0.314,,,,,,,2101.0,1.11,0.0553,0.1897,0.0463,
