Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),MLR (g/s),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,,0.039,,,,,,,287.0,0.0934,1.36,,0.5998,0.0005,
5.0,,1.249,,,,,,,310.0,0.0905,1.58,0.0028,0.6711,0.0036,
10.0,,2.105,,,,,,,333.0,0.1032,1.52,0.0024,0.5659,0.0035,
15.0,,2.343,,,,,,,357.0,0.1171,1.39,0.0073,0.5011,0.0047,
20.0,,2.512,,,,,,,380.0,0.1211999999999999,1.31,0.0071,0.4759,0.0052,
25.0,,2.531,,,,,,,403.0,0.1199,1.32,0.0129,0.4923,0.0037,
30.0,,2.439,,,,,,,426.0,0.1108,1.31,0.014,0.5059,0.0056,
35.0,,2.379,,,,,,,391.0,0.1013,1.35,0.0202,0.6677,0.0035,
40.0,,2.202,,,,,,,352.0,0.0996,1.51,0.0206,1.1218,0.0041,
45.0,,2.106,,,,,,,306.0,0.1195,1.68,0.0167,1.2589,0.0035,
50.0,,2.487,,,,,,,257.0,0.1407,2.28,0.0141,0.9937,0.0022,
55.0,,3.726,,,,,,,212.0,0.1621,2.11,0.0106,1.1883,0.0014,
60.0,,4.863,,,,,,,175.0,0.1718,1.92,0.0097,0.8615,0.001,
65.0,,5.087,,,,,,,151.0,0.1616,1.88,0.0096,0.8259,0.0009,
70.0,,4.926,,,,,,,143.0,0.1593,1.69,0.0096,0.7209,0.0009,
75.0,,4.5280000000000005,,,,,,,146.0,0.1499,1.56,0.0088,0.7336,0.0009,
80.0,,4.232,,,,,,,165.0,0.1364,1.61,0.0099,0.7438,0.001,
85.0,,3.752,,,,,,,195.0,0.1202999999999999,1.59,0.0096,0.6532,0.0012,
90.0,,3.582,,,,,,,221.0,0.1005,1.4,0.0116,0.5648,0.0014,
95.0,,2.985,,,,,,,226.0,0.0738,1.41,0.0135,0.5946,0.0018,
100.0,,2.237,,,,,,,245.0,0.0499,1.43,0.0201,0.6884,0.0022,
105.0,,1.626,,,,,,,289.0,0.0305,1.65,0.0271,0.9762,0.0033,
110.0,,1.148,,,,,,,,0.0185,,,,,
115.0,,0.8190000000000001,,,,,,,,0.0103,,,,,
120.0,,0.5870000000000001,,,,,,,,0.0068,,,,,
125.0,,0.422,,,,,,,,0.005,,,,,
130.0,,0.302,,,,,,,,0.0039,,,,,
135.0,,0.211,,,,,,,,0.0017,,,,,
140.0,,0.114,,,,,,,,0.0002,,,,,
145.0,,0.049,,,,,,,,-0.0009,,,,,
150.0,,0.033,,,,,,,,0.0013,,,,,
155.0,,0.022,,,,,,,,-0.0034,,,,,
160.0,,0.013,,,,,,,,0.0007,,,,,
165.0,,0.001,,,,,,,,-0.0013,,,,,
170.0,,0.0,,,,,,,,-0.0004,,,,,
175.0,,0.0,,,,,,,,0.0051,,,,,
180.0,,0.0069999999999999,,,,,,,,0.0034999999999999,,,,,
185.0,,0.001,,,,,,,,-0.0001,,,,,
190.0,,0.0,,,,,,,,-0.0027,,,,,
195.0,,0.003,,,,,,,,-0.0043,,,,,
200.0,,0.002,,,,,,,,0.0031,,,,,
205.0,,0.0,,,,,,,,0.0197,,,,,
210.0,,0.0,,,,,,,,-0.0022,,,,,
215.0,,0.0,,,,,,,,-0.0086,,,,,
220.0,,0.0,,,,,,,,,,,,,
225.0,,,,,,,,,,,,,,,
