Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),MLR (g/s),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,,0.052,,,,,,,301.0,0.1582,1.8,0.0009,0.3439,,
5.0,,1.359,,,,,,,323.0,0.0917999999999999,1.58,0.0014,0.6573,,
10.0,,2.165,,,,,,,345.0,0.1177,1.4,0.0053,0.5085,,
15.0,,2.339,,,,,,,367.0,0.115,1.54,0.0054,0.4983,,
20.0,,2.66,,,,,,,389.0,0.1192,1.31,0.0109,0.4656,,
25.0,,2.672,,,,,,,411.0,0.1175,1.27,0.0112,0.4755,,
30.0,,2.349,,,,,,,434.0,0.108,1.24,0.0174,0.48,,
35.0,,2.147,,,,,,,397.0,0.0969,1.41,0.0197,0.8449,,
40.0,,2.0540000000000003,,,,,,,363.0,0.1043999999999999,1.64,0.0204,1.1399,0.0033,
45.0,,2.081,,,,,,,317.0,0.1232,2.13,0.0174,1.1832,,
50.0,,3.022,,,,,,,273.0,0.148,2.09,0.013,1.024,,0.0013
55.0,,3.973,,,,,,,233.0,0.1684,1.94,0.011,0.9386,,
60.0,,4.51,,,,,,,199.0,0.1761,1.88,0.0089,0.8275,,
65.0,,4.735,,,,,,,173.0,0.1757999999999999,1.85,0.0087,0.7921,,
70.0,,4.882,,,,,,,155.0,0.1704,1.83,0.0083,0.8072,,
75.0,,4.762,,,,,,,153.0,0.1573,1.89,0.009,0.7708,,
80.0,,4.688000000000001,,,,,,,162.0,0.1515,1.76,0.008,0.659,,
85.0,,4.309,,,,,,,200.0,0.1358,1.73,0.0088,0.4793,,
90.0,,4.05,,,,,,,267.0,0.1192,1.63,0.0097,0.3362,,
95.0,,3.659,,,,,,,299.0,0.0814,1.49,0.0144,0.3212,,
100.0,,2.7910000000000004,,,,,,,238.0,0.0417,1.26,0.0266,,,
105.0,,1.511,,,,,,,,0.0163999999999999,,,,,
110.0,,0.563,,,,,,,,-0.0014,,,,,
115.0,,0.238,,,,,,,,-0.0001,,,,,
120.0,,0.148,,,,,,,,-0.0014,,,,,
125.0,,0.085,,,,,,,,-0.0024,,,,,
130.0,,0.047,,,,,,,,-0.0024,,,,,
135.0,,0.039,,,,,,,,-0.0021,,,,,
140.0,,0.015,,,,,,,,-0.0012,,,,,
145.0,,0.021,,,,,,,,-0.0007,,,,,
150.0,,0.013,,,,,,,,-0.0001,,,,,
155.0,,0.008,,,,,,,,0.0032,,,,,
160.1,,0.0069999999999999,,,,,,,,-0.0005,,,,,
165.0,,0.011,,,,,,,,0.0003,,,,,
170.0,,0.008,,,,,,,,-0.0007,,,,,
175.0,,0.011,,,,,,,,-0.002,,,,,
180.0,,0.0,,,,,,,,-0.0008,,,,,
185.0,,0.0,,,,,,,,-0.0009,,,,,
190.0,,0.0,,,,,,,,0.0025,,,,,
195.0,,0.0,,,,,,,,0.0029,,,,,
200.0,,0.0,,,,,,,,0.0056999999999999,,,,,
205.0,,0.0,,,,,,,,0.0005,,,,,
210.0,,0.0,,,,,,,,-0.0005,,,,,
215.0,,0.001,,,,,,,,0.0078,,,,,
220.0,,0.0,,,,,,,,-0.0064,,,,,
225.0,,0.001,,,,,,,,0.0172,,,,,
