Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLRPUA (g/s-m2),HRRPUA (kW/m2)
0.0,,,,,,,,,,0.0
3.0,,,,,,,,,,10.0551
6.0,,,,,,,,,,6.1649
9.0,,,,,,,,,,11.8876
12.0,,,,,,,,,,-5.4812
15.0,,,,,,,,,,17.9663
18.0,,,,,,,,,,-5.2115
21.0,,,,,,,,,,-7.4989
24.0,,,,,,,,,,17.7683
27.0,,,,,,,,,,1.9353
30.0,,,,,,,,,,12.0796
33.0,,,,,,,,,,-8.5016
36.0,,,,,,,,,,1.9211
39.0,,,,,,,,,,1.1265
42.0,,,,,,,,,,8.5635
45.0,,,,,,,,,,15.889
48.0,,,,,,,,,,1.7105
51.0,,,,,,,,,,-9.9297
54.0,,,,,,,,,,6.2179
57.0,,,,,,,,,,-2.3703
60.0,,,,,,,,,,-1.4389
63.0,,,,,,,,,,-5.3427
66.0,,,,,,,,,,3.1261
69.0,,,,,,,,,,2.3875
72.0,,,,,,,,,,2.0675
75.0,,,,,,,,,,2.4951
78.0,,,,,,,,,,-2.1875
81.0,,,,,,,,,,19.0322
84.0,,,,,,,,,,-2.8277
87.0,,,,,,,,,,-3.7776
90.0,,,,,,,,,,1.3261
93.0,,,,,,,,,,16.495
96.0,,,,,,,,,,-2.8098
99.0,,,,,,,,,,-3.2802
102.0,,,,,,,,,,14.3684
105.0,,,,,,,,,,3.7624
108.0,,,,,,,,,,-6.349
111.0,,,,,,,,,,11.2919
114.0,,,,,,,,,,20.2963
117.0,,,,,,,,,,-6.9902
120.0,,,,,,,,,,-3.6115
123.0,,,,,,,,,,17.1545
126.0,,,,,,,,,,-6.5297
129.0,,,,,,,,,,20.5317
132.0,,,,,,,,,,-15.9401
135.0,,,,,,,,,,17.073
138.0,,,,,,,,,,3.5641
141.0,,,,,,,,,,-4.0247
144.0,,,,,,,,,,18.453
147.0,,,,,,,,,,-15.1776
150.0,,,,,,,,,,23.3874
153.0,,,,,,,,,,12.0892
156.0,,,,,,,,,,-11.9146
159.0,,,,,,,,,,11.399
162.0,,,,,,,,,,11.2754
165.0,,,,,,,,,,1.7451
168.0,,,,,,,,,,6.8968
171.0,,,,,,,,,,3.6819
174.0,,,,,,,,,,4.861
177.0,,,,,,,,,,9.9851
