Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,1.1,0.0,0.0
3.0,,,,,,,,,0.151,1.3,0.08,0.011
6.0,,,,,,,,,0.152,1.5,0.08,0.012
9.0,,,,,,,,,0.152,1.9,0.08,0.012
12.0,,,,,,,,,0.155,1.3,0.08,0.012
15.0,,,,,,,,,0.155,1.7,0.08,0.013
18.0,,,,,,,,,0.155,2.8,0.09,0.013
21.0,,,,,,,,,0.155,1.9,0.09,0.013
24.0,,,,,,,,,0.157,2.8,0.09,0.014
27.0,,,,,,,,,0.157,2.8,0.09,0.014
30.0,,,,,,,,,0.156,3.9,0.1,0.015
33.0,,,,,,,,,0.157,2.6,0.1,0.015
36.0,,,,,,,,,0.156,3.0,0.1,0.017
39.0,,,,,,,,,0.156,15.7,0.35,0.016
42.0,,,,,,,,,0.156,86.7,1.29,0.015
45.0,,,,,,,,,0.155,178.8,1.64,0.015
48.0,,,,,,,,,0.154,234.3,1.66,0.015
51.0,,,,,,,,,0.154,253.9,1.63,0.015
54.0,,,,,,,,,0.153,253.9,1.63,0.016
57.0,,,,,,,,,0.153,249.0,1.56,0.016
60.0,,,,,,,,,0.153,239.7,1.51,0.015
63.0,,,,,,,,,0.153,226.3,1.41,0.015
66.0,,,,,,,,,0.152,215.6,1.46,0.016
69.0,,,,,,,,,0.153,213.6,1.42,0.015
72.0,,,,,,,,,0.153,208.0,1.37,0.015
75.0,,,,,,,,,0.153,199.8,1.31,0.015
78.0,,,,,,,,,0.152,193.6,1.33,0.015
81.0,,,,,,,,,0.152,191.3,1.31,0.015
84.0,,,,,,,,,0.15,188.1,1.29,0.015
87.0,,,,,,,,,0.148,185.2,1.31,0.016
90.0,,,,,,,,,0.146,182.7,1.29,0.016
93.0,,,,,,,,,0.143,176.5,1.3,0.015
96.0,,,,,,,,,0.142,173.8,1.28,0.016
99.0,,,,,,,,,0.14,170.3,1.28,0.016
102.0,,,,,,,,,0.138,164.3,1.24,0.016
105.0,,,,,,,,,0.137,162.1,1.29,0.016
108.0,,,,,,,,,0.136,161.5,1.27,0.017
111.0,,,,,,,,,0.134,158.8,1.24,0.016
114.0,,,,,,,,,0.133,154.1,1.21,0.016
117.0,,,,,,,,,0.131,149.9,1.24,0.016
120.0,,,,,,,,,0.13,150.1,1.26,0.017
123.0,,,,,,,,,0.129,150.2,1.27,0.017
126.0,,,,,,,,,0.128,150.0,1.27,0.017
129.0,,,,,,,,,0.127,146.9,1.21,0.017
132.0,,,,,,,,,0.126,142.1,1.19,0.017
