Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),CO2 (kg/kg),CO (kg/kg)
0.0,,0.013999999999999999,,,,,,,0.0,0.0,0.0
3.0,,0.006999999999999999,,,,,,,0.0,0.0,0.0
6.0,,0.01,,,,,,,0.0,0.0,0.0
9.0,,0.006999999999999999,,,,,,,0.0,0.0,0.0
12.0,,-0.005,,,,,,,0.0,0.0,0.0
15.0,,0.013999999999999999,,,,,,,0.0,0.0,0.0
18.0,,0.01,,,,,,,0.0,0.0,0.0
21.0,,0.006999999999999999,,,,,,,0.0,0.0,0.0
24.0,,-0.005,,,,,,,0.0,0.0,0.0
27.0,,0.012,,,,,,,0.093,0.19,0.008
30.0,,0.013999999999999999,,,,,,,0.089,0.2,0.014
33.0,,0.048,,,,,,,0.085,0.23,0.028
36.0,,0.053,,,,,,,0.083,0.25,0.053
39.0,,0.10099999999999999,,,,,,,0.081,0.3,0.073
42.0,,0.637,,,,,,,0.08,1.21,0.043
45.0,,1.8490000000000002,,,,,,,0.078,2.71,0.015
48.0,,2.866,,,,,,,0.077,3.72,0.011
51.0,,3.3489999999999998,,,,,,,0.075,4.29,0.013
54.0,,3.4130000000000003,,,,,,,0.074,4.39,0.018
57.0,,3.154,,,,,,,0.073,4.17,0.026
60.0,,2.741,,,,,,,0.072,3.77,0.031
63.0,,2.376,,,,,,,0.071,3.4,0.036
66.0,,2.101,,,,,,,0.07,3.12,0.038
69.0,,1.895,,,,,,,0.068,2.86,0.036
72.0,,1.743,,,,,,,0.068,2.67,0.034
75.0,,1.621,,,,,,,0.067,2.49,0.03
78.0,,1.476,,,,,,,0.067,2.31,0.025
81.0,,1.3840000000000001,,,,,,,0.066,2.19,0.021
84.0,,1.2670000000000001,,,,,,,0.066,2.07,0.018
87.0,,1.201,,,,,,,0.065,1.99,0.015
90.0,,1.137,,,,,,,0.064,1.9,0.012
93.0,,1.065,,,,,,,0.061,1.9,0.015
96.0,,1.0190000000000001,,,,,,,0.059,1.86,0.018
99.0,,0.97,,,,,,,0.058,1.85,0.017
102.0,,0.965,,,,,,,0.056,1.86,0.019
105.0,,0.975,,,,,,,0.055,1.88,0.016
108.0,,0.9770000000000001,,,,,,,0.054,1.91,0.012
111.0,,0.9590000000000001,,,,,,,0.052,1.92,0.014
114.0,,0.948,,,,,,,0.052,1.91,0.019
117.0,,0.96,,,,,,,0.052,1.91,0.02
120.0,,0.9890000000000001,,,,,,,0.051,1.95,0.019
123.0,,1.001,,,,,,,0.051,1.96,0.018
126.0,,1.002,,,,,,,0.05,1.97,0.02
129.0,,0.9490000000000001,,,,,,,0.049,1.96,0.029
132.0,,0.913,,,,,,,0.049,1.92,0.039
135.0,,0.89,,,,,,,0.049,1.9,0.05
138.0,,0.8470000000000001,,,,,,,0.048,1.88,0.053
141.0,,0.8200000000000001,,,,,,,0.047,1.87,0.061
144.0,,0.773,,,,,,,0.047,1.86,0.069
147.0,,0.75,,,,,,,0.047,1.84,0.072
150.0,,0.7170000000000001,,,,,,,0.047,1.81,0.075
153.0,,0.679,,,,,,,0.046,1.77,0.077
156.0,,0.664,,,,,,,0.045,1.77,0.081
159.0,,0.6409999999999999,,,,,,,0.045,1.75,0.08
162.0,,0.622,,,,,,,0.045,1.7,0.082
165.0,,0.596,,,,,,,0.045,1.67,0.081
168.0,,0.5770000000000001,,,,,,,0.045,1.64,0.08
171.0,,0.5760000000000001,,,,,,,0.045,1.61,0.082
174.0,,0.5700000000000001,,,,,,,0.045,1.58,0.079
177.0,,0.545,,,,,,,0.045,1.53,0.075
180.0,,0.543,,,,,,,0.046,1.49,0.077
183.0,,0.532,,,,,,,0.046,1.42,0.073
186.0,,0.501,,,,,,,0.047,1.34,0.07
189.0,,0.47600000000000003,,,,,,,0.047,1.3,0.072
192.0,,0.484,,,,,,,0.048,1.29,0.073
195.0,,0.495,,,,,,,0.049,1.24,0.073
198.0,,0.489,,,,,,,0.05,1.19,0.069
201.0,,0.478,,,,,,,0.051,1.14,0.07
204.0,,0.501,,,,,,,0.052,1.14,0.07
207.0,,0.514,,,,,,,0.053,1.13,0.068
210.0,,0.509,,,,,,,0.054,1.11,0.07
213.0,,0.532,,,,,,,0.055,1.12,0.07
216.0,,0.534,,,,,,,0.056,1.12,0.069
219.0,,0.557,,,,,,,0.058,1.13,0.067
222.0,,0.5710000000000001,,,,,,,0.059,1.12,0.064
225.0,,0.588,,,,,,,0.06,1.12,0.069
228.0,,0.619,,,,,,,0.06,1.2,0.07
231.0,,0.684,,,,,,,0.062,1.26,0.063
234.0,,0.716,,,,,,,0.063,1.29,0.055
237.0,,0.7690000000000001,,,,,,,0.063,1.36,0.05
240.0,,0.8390000000000001,,,,,,,0.064,1.43,0.041
243.0,,0.871,,,,,,,0.065,1.48,0.035
246.0,,0.905,,,,,,,0.065,1.5,0.03
249.0,,0.932,,,,,,,0.066,1.53,0.028
252.0,,0.9740000000000001,,,,,,,0.066,1.58,0.024
255.0,,1.006,,,,,,,0.066,1.63,0.02
258.0,,1.0470000000000002,,,,,,,0.067,1.65,0.022
261.0,,1.068,,,,,,,0.067,1.67,0.025
264.0,,1.091,,,,,,,0.067,1.71,0.024
267.0,,1.094,,,,,,,0.066,1.72,0.022
270.0,,1.098,,,,,,,0.066,1.74,0.02
273.0,,1.111,,,,,,,0.066,1.75,0.019
276.0,,1.09,,,,,,,0.066,1.75,0.018
279.0,,1.105,,,,,,,0.065,1.81,0.023
282.0,,1.1420000000000001,,,,,,,0.064,1.86,0.024
285.0,,1.156,,,,,,,0.064,1.88,0.023
288.0,,1.146,,,,,,,0.063,1.89,0.024
291.0,,1.151,,,,,,,0.063,1.91,0.023
294.0,,1.148,,,,,,,0.061,1.94,0.027
297.0,,1.141,,,,,,,0.061,1.96,0.029
300.0,,1.168,,,,,,,0.06,1.99,0.028
303.0,,1.163,,,,,,,0.059,2.02,0.025
306.0,,1.185,,,,,,,0.058,2.05,0.025
309.0,,1.201,,,,,,,0.058,2.07,0.025
312.0,,1.215,,,,,,,0.057,2.09,0.022
315.0,,1.217,,,,,,,0.055,2.15,0.022
318.0,,1.2,,,,,,,0.055,2.14,0.023
321.0,,1.219,,,,,,,0.054,2.16,0.022
324.0,,1.21,,,,,,,0.053,2.18,0.023
327.0,,1.236,,,,,,,0.053,2.21,0.025
330.0,,1.2409999999999999,,,,,,,0.052,2.25,0.021
333.0,,1.26,,,,,,,0.051,2.31,0.022
336.0,,1.276,,,,,,,0.049,2.39,0.027
339.0,,1.268,,,,,,,0.048,2.41,0.023
342.0,,1.26,,,,,,,0.047,2.46,0.022
345.0,,1.248,,,,,,,0.047,2.53,0.022
348.0,,1.26,,,,,,,0.045,2.59,0.02
351.0,,1.2890000000000001,,,,,,,0.044,2.69,0.025
354.0,,1.33,,,,,,,0.044,2.81,0.025
357.0,,1.304,,,,,,,0.043,2.82,0.026
360.0,,1.284,,,,,,,0.042,2.81,0.025
363.0,,1.254,,,,,,,0.041,2.83,0.023
366.0,,1.226,,,,,,,0.04,2.85,0.023
369.0,,1.195,,,,,,,0.039,2.88,0.02
372.0,,1.1640000000000001,,,,,,,0.038,2.86,0.019
375.0,,1.143,,,,,,,0.037,2.85,0.018
378.0,,1.115,,,,,,,0.037,2.82,0.016
381.0,,1.083,,,,,,,0.036,2.84,0.013
384.0,,1.0590000000000002,,,,,,,0.035,2.81,0.009
387.0,,1.026,,,,,,,0.035,2.78,0.01
390.0,,1.0050000000000001,,,,,,,0.034,2.81,0.012
393.0,,0.9820000000000001,,,,,,,0.032,2.86,0.011
396.0,,0.966,,,,,,,0.031,2.86,0.012
399.0,,0.948,,,,,,,0.03,2.92,0.019
402.0,,0.9620000000000001,,,,,,,0.029,3.03,0.022
405.0,,0.929,,,,,,,0.029,3.0,0.024
408.0,,0.9159999999999999,,,,,,,0.028,3.03,0.027
411.0,,0.893,,,,,,,0.027,3.03,0.029
414.0,,0.8790000000000001,,,,,,,0.027,3.11,0.04
417.0,,0.867,,,,,,,0.026,3.21,0.04
420.0,,0.828,,,,,,,0.025,3.21,0.044
423.0,,0.7959999999999999,,,,,,,0.024,3.22,0.055
426.0,,0.779,,,,,,,0.024,3.26,0.066
429.0,,0.767,,,,,,,0.023,3.32,0.085
432.0,,0.748,,,,,,,0.022,3.39,0.095
435.0,,0.7340000000000001,,,,,,,0.021,3.48,0.084
438.0,,0.7170000000000001,,,,,,,0.02,3.58,0.09
441.0,,0.693,,,,,,,0.019,3.67,0.1
444.0,,0.643,,,,,,,0.019,3.6,0.127
447.0,,0.601,,,,,,,0.018,3.48,0.155
450.0,,0.589,,,,,,,0.018,3.42,0.187
453.0,,0.578,,,,,,,0.017,3.5,0.176
456.0,,0.557,,,,,,,0.016,3.55,0.17
459.0,,0.526,,,,,,,0.016,3.55,0.194
462.0,,0.49100000000000005,,,,,,,0.015,3.57,0.213
465.0,,0.473,,,,,,,0.014,3.57,0.235
468.0,,0.444,,,,,,,0.014,3.63,0.271
471.0,,0.435,,,,,,,0.013,3.62,0.294
474.0,,0.376,,,,,,,0.013,3.52,0.315
477.0,,0.355,,,,,,,0.013,3.42,0.346
