Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),CO2 (kg/kg),CO (kg/kg)
0.0,,-0.045,,,,,,,0.0,0.0,0.0
3.0,,-0.065,,,,,,,0.0,0.0,0.0
6.0,,-0.045,,,,,,,0.0,0.0,0.0
9.0,,-0.043,,,,,,,0.0,0.0,0.0
12.0,,-0.036000000000000004,,,,,,,0.0,0.0,0.0
15.0,,-0.009000000000000001,,,,,,,0.0,0.0,0.0
18.0,,0.027999999999999997,,,,,,,0.149,0.1,-0.747
21.0,,0.425,,,,,,,0.149,0.23,-0.744
24.0,,1.49,,,,,,,0.149,0.5,-0.716
27.0,,2.713,,,,,,,0.148,0.8,-0.728
30.0,,3.472,,,,,,,0.147,1.05,-0.734
33.0,,3.602,,,,,,,0.145,1.19,-0.72
36.0,,3.622,,,,,,,0.145,1.34,-0.7
39.0,,3.947,,,,,,,0.146,1.53,-0.706
42.0,,4.274,,,,,,,0.145,1.69,-0.69
45.0,,4.6930000000000005,,,,,,,0.145,1.87,-0.689
48.0,,4.952,,,,,,,0.145,2.03,-0.694
51.0,,5.258,,,,,,,0.144,2.23,-0.682
54.0,,5.433,,,,,,,0.144,2.35,-0.703
57.0,,4.91,,,,,,,0.143,2.29,-0.704
60.0,,4.331,,,,,,,0.141,2.28,-0.72
63.0,,3.959,,,,,,,0.142,2.2,-0.703
66.0,,3.637,,,,,,,0.141,2.13,-0.716
69.0,,3.4760000000000004,,,,,,,0.141,2.12,-0.715
72.0,,3.6260000000000003,,,,,,,0.14,2.13,-0.699
75.0,,3.7910000000000004,,,,,,,0.139,2.18,-0.699
78.0,,3.938,,,,,,,0.138,2.25,-0.715
81.0,,4.071000000000001,,,,,,,0.136,2.33,-0.7
84.0,,4.075,,,,,,,0.135,2.34,-0.695
87.0,,4.121,,,,,,,0.133,2.42,-0.705
90.0,,4.143,,,,,,,0.131,2.45,-0.704
93.0,,4.2,,,,,,,0.13,2.51,-0.708
