Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),CO2 (kg/kg),CO (kg/kg)
0.0,,0.073,,,,,,,0.0,0.0,0.0
3.0,,0.438,,,,,,,0.139,0.45,0.0
6.0,,1.183,,,,,,,0.134,0.48,0.0
9.0,,1.587,,,,,,,0.132,3.1,0.245
12.0,,1.806,,,,,,,0.13,3.25,0.261
15.0,,1.826,,,,,,,0.128,3.35,0.267
18.0,,1.8319999999999999,,,,,,,0.123,3.57,0.286
21.0,,1.8430000000000002,,,,,,,0.119,3.73,0.283
24.0,,1.846,,,,,,,0.115,3.78,0.289
27.0,,1.83,,,,,,,0.111,3.64,0.246
30.0,,1.7830000000000001,,,,,,,0.108,3.7,0.24
33.0,,1.5890000000000002,,,,,,,0.103,3.94,0.229
36.0,,1.541,,,,,,,0.1,4.42,0.243
39.0,,1.6059999999999999,,,,,,,0.097,5.33,0.287
42.0,,1.97,,,,,,,0.094,6.69,0.298
45.0,,2.5530000000000004,,,,,,,0.092,7.96,0.296
48.0,,3.404,,,,,,,0.088,8.83,0.287
51.0,,4.027,,,,,,,0.086,9.22,0.283
54.0,,4.352,,,,,,,0.083,9.22,0.242
57.0,,4.237,,,,,,,0.081,9.12,0.242
60.0,,4.065,,,,,,,0.078,9.15,0.242
63.0,,3.833,,,,,,,0.076,8.98,0.232
66.0,,3.66,,,,,,,0.073,8.78,0.211
69.0,,3.4280000000000004,,,,,,,0.066,9.22,0.221
72.0,,3.221,,,,,,,0.061,9.5,0.193
75.0,,3.048,,,,,,,0.058,9.41,0.195
78.0,,2.833,,,,,,,0.054,9.51,0.212
81.0,,2.727,,,,,,,0.049,10.59,0.251
84.0,,2.488,,,,,,,0.043,11.25,0.28
87.0,,2.549,,,,,,,0.037,12.12,0.314
90.0,,2.346,,,,,,,0.032,13.43,0.317
93.0,,2.012,,,,,,,0.027,12.92,0.304
96.0,,1.762,,,,,,,0.025,9.75,0.258
99.0,,1.3030000000000002,,,,,,,0.021,7.42,0.133
102.0,,0.594,,,,,,,0.017,0.0,0.0
105.0,,0.113,,,,,,,0.012,0.0,0.0
108.0,,-0.027999999999999997,,,,,,,0.008,0.0,0.0
111.0,,-0.096,,,,,,,0.007,0.0,0.0
114.0,,-0.043,,,,,,,0.006,0.0,0.0
117.0,,-0.078,,,,,,,0.005,0.0,0.0
120.0,,-0.011000000000000001,,,,,,,0.004,0.0,0.0
123.0,,-0.025,,,,,,,0.002,0.0,0.0
126.0,,0.0,,,,,,,0.0,0.0,0.0
129.0,,-0.025,,,,,,,0.0,0.0,0.0
132.0,,0.004,,,,,,,0.0,0.0,0.0
135.0,,0.006999999999999999,,,,,,,0.0,0.0,0.0
138.0,,0.006999999999999999,,,,,,,0.0,0.0,0.0
141.0,,0.018000000000000002,,,,,,,0.0,0.0,0.0
