Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),CO2 (kg/kg),CO (kg/kg)
0.0,,0.004,,,,,,,0.0,0.0,0.0
3.0,,0.005,,,,,,,0.0,0.0,0.0
6.0,,0.002,,,,,,,0.0,0.0,0.0
9.0,,-0.006999999999999999,,,,,,,0.0,0.0,0.0
12.0,,0.002,,,,,,,0.0,0.0,0.0
15.0,,0.0,,,,,,,0.0,0.0,0.0
18.0,,0.022000000000000002,,,,,,,0.158,0.09,0.0
21.0,,0.016,,,,,,,0.157,0.09,0.0
24.0,,0.036000000000000004,,,,,,,0.155,0.09,0.0
27.0,,0.035,,,,,,,0.155,0.09,0.0
30.0,,0.036000000000000004,,,,,,,0.154,0.09,0.0
33.0,,0.354,,,,,,,0.153,0.31,0.0
36.0,,1.4140000000000001,,,,,,,0.152,0.97,0.0
39.0,,2.576,,,,,,,0.15,1.45,0.0
42.0,,3.192,,,,,,,0.149,1.63,0.0
45.0,,3.399,,,,,,,0.148,1.69,0.0
48.0,,3.517,,,,,,,0.147,1.81,0.0
51.0,,3.6069999999999998,,,,,,,0.146,1.86,0.0
54.0,,3.645,,,,,,,0.146,1.91,0.0
57.0,,3.923,,,,,,,0.146,2.11,0.0
60.0,,4.065,,,,,,,0.146,2.11,0.0
63.0,,3.81,,,,,,,0.147,1.97,0.0
66.0,,3.761,,,,,,,0.148,1.99,0.0
69.0,,3.966,,,,,,,0.148,2.15,0.0
72.0,,4.21,,,,,,,0.148,2.26,0.0
75.0,,4.069,,,,,,,0.148,2.07,0.0
78.0,,3.688,,,,,,,0.147,1.94,0.0
81.0,,3.438,,,,,,,0.147,1.84,0.0
84.0,,3.274,,,,,,,0.146,1.8,0.0
87.0,,3.419,,,,,,,0.146,1.94,0.0
90.0,,3.524,,,,,,,0.145,1.98,0.0
93.0,,3.6260000000000003,,,,,,,0.144,2.0,0.0
96.0,,3.8080000000000003,,,,,,,0.143,2.15,0.0
99.0,,3.9930000000000003,,,,,,,0.142,2.25,0.0
102.0,,4.184,,,,,,,0.14,2.34,0.0
105.0,,4.231,,,,,,,0.139,2.37,0.0
108.0,,4.186,,,,,,,0.138,2.34,0.0
111.0,,4.122,,,,,,,0.136,2.35,0.0
114.0,,4.1930000000000005,,,,,,,0.135,2.41,0.0
117.0,,4.363,,,,,,,0.135,2.51,0.0
120.0,,4.4430000000000005,,,,,,,0.134,2.53,0.0
123.0,,4.456,,,,,,,0.132,2.56,0.0
126.0,,4.529,,,,,,,0.131,2.65,0.0
129.0,,4.687,,,,,,,0.129,2.75,0.0
132.0,,4.801,,,,,,,0.127,2.85,0.0
135.0,,4.885,,,,,,,0.125,2.93,0.0
138.0,,4.919,,,,,,,0.122,3.0,0.0
141.0,,5.026000000000001,,,,,,,0.12,3.13,0.0
144.0,,5.027,,,,,,,0.116,3.21,0.0
147.0,,4.917,,,,,,,0.113,3.2,0.0
150.0,,4.762,,,,,,,0.109,3.24,0.0
153.0,,4.642,,,,,,,0.106,3.27,0.0
156.0,,4.48,,,,,,,0.102,3.26,0.0
159.0,,4.319,,,,,,,0.097,3.3,0.0
162.0,,4.234,,,,,,,0.092,3.43,0.0
165.0,,4.237,,,,,,,0.088,3.6,0.0
168.0,,4.109,,,,,,,0.082,3.66,0.0
171.0,,3.9819999999999998,,,,,,,0.077,3.75,0.0
174.0,,4.013,,,,,,,0.072,4.14,0.0
177.0,,4.084,,,,,,,0.067,4.46,0.0
180.0,,4.006,,,,,,,0.063,4.63,0.0
183.0,,4.051,,,,,,,0.058,5.08,0.0
186.0,,4.254,,,,,,,0.054,5.69,0.0
189.0,,4.465,,,,,,,0.05,6.39,0.0
192.0,,4.82,,,,,,,0.046,7.36,0.0
195.0,,4.657,,,,,,,0.043,7.58,0.0
198.0,,3.787,,,,,,,0.038,6.63,0.0
201.0,,2.642,,,,,,,0.034,5.5,0.0
204.0,,1.7890000000000001,,,,,,,0.031,4.68,0.0
207.0,,1.251,,,,,,,0.028,4.24,0.0
210.0,,0.855,,,,,,,0.025,3.62,0.0
213.0,,0.5910000000000001,,,,,,,0.023,3.22,0.0
216.0,,0.441,,,,,,,0.021,3.01,0.0
219.0,,0.384,,,,,,,0.018,3.09,0.0
222.0,,0.319,,,,,,,0.015,3.26,0.0
225.0,,0.273,,,,,,,0.012,3.65,0.0
228.0,,0.254,,,,,,,0.01,4.08,0.0
231.0,,0.222,,,,,,,0.008,4.37,0.0
234.0,,0.18300000000000002,,,,,,,0.007,4.7,0.0
237.0,,0.152,,,,,,,0.006,5.2,0.0
240.0,,0.133,,,,,,,0.005,0.0,0.0
243.0,,0.12300000000000001,,,,,,,0.004,0.0,0.0
246.0,,0.10400000000000001,,,,,,,0.003,0.0,0.0
249.0,,0.084,,,,,,,0.003,0.0,0.0
252.0,,0.064,,,,,,,0.003,0.0,0.0
255.0,,0.057,,,,,,,0.003,0.0,0.0
258.0,,0.052000000000000005,,,,,,,0.004,0.0,0.0
