Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,324.7,,,,,,,,,,,,,
5.0,324.7,,,,,,,,,,,,,
10.0,324.789,,,,,,,,,,,,,
15.0,324.611,,,,,,,,,,,,,
20.0,324.7,,,,,,,,,,,,,
25.0,324.878,,,,,,,,,,,,,
30.0,324.433,,,,,,,,,,,,,
35.0,324.7,,,,,,,,,,,,,
40.0,324.789,,,,,,,,,,,,,
45.0,323.988,,,,,,,,,,,,,
50.0,324.255,0.03293,,,,,,,174.0,2.33,0.0025,1.7179,0.0007,
55.0,324.255,0.25187,,,,,,,180.0,2.45,0.0018,1.3723,0.0005,
60.0,323.543,1.22108,,,,,,,185.0,1.33,0.0024,0.7017,0.0003,
65.0,322.831,1.80581,,,,,,,191.0,1.27,0.0021,0.6715,0.0002,
70.0,321.852,2.0648,,,,,,,196.0,1.33,0.0045,0.7024,0.0002,
75.0,321.674,2.24102,,,,,,,202.0,1.46,0.0047,0.716,0.0002,
80.0,320.784,2.3326900000000004,,,,,,,207.0,1.51,0.0072,0.707,0.0003,
85.0,320.161,2.3949900000000004,,,,,,,235.0,1.37,0.0066,0.6633,0.0002,
90.0,319.538,2.403,,,,,,,264.0,1.65,0.0105,0.7789,0.0003,
95.0,318.915,2.4083400000000004,,,,,,,297.0,1.55,0.0101,0.7373,0.0003,
100.0,318.648,2.40122,,,,,,,313.0,1.6,0.013,0.7396,0.0003,
105.0,317.758,2.3585,,,,,,,334.0,1.6,0.0136,0.7356,0.0003,
110.0,317.402,2.31667,,,,,,,343.0,1.42,0.0138,0.6805,0.0003,
115.0,316.957,2.25437,,,,,,,344.0,1.57,0.0154,0.7227,0.0003,
120.0,316.156,2.16181,,,,,,,340.0,1.3,0.0142,0.6285,0.0003,
125.0,315.8,2.12799,,,,,,,350.0,1.19,0.0134,0.555,0.0003,
130.0,314.999,2.05056,,,,,,,384.0,1.22,0.0138,0.5507,0.0003,
135.0,314.376,1.97669,,,,,,,394.0,1.35,0.0161,0.6269,0.0003,
140.0,313.931,1.92774,,,,,,,420.0,1.76,0.0211,0.7944,0.0004,
145.0,313.842,1.82984,,,,,,,424.0,1.58,0.0196,0.7062,0.0004,
150.0,313.486,1.74974,,,,,,,423.0,1.76,0.0213,0.7632,0.0004,
155.0,312.685,1.70969,,,,,,,419.0,1.47,0.0193,0.6576,0.0004,
160.0,312.774,1.62959,,,,,,,381.0,1.55,0.0191,0.6948,0.0005,
165.0,312.24,1.55038,,,,,,,358.0,1.61,0.021,0.7294,0.0005,
170.0,311.973,1.4569299999999998,,,,,,,330.0,1.14,0.0134,0.5155,0.0004,
175.0,311.439,1.39107,,,,,,,320.0,1.53,0.0179,0.7112,0.0005,
180.0,310.994,1.34657,,,,,,,318.0,1.38,0.0144,0.6417,0.0004,
185.0,311.083,1.3109700000000002,,,,,,,306.0,1.51,0.0164,0.701,0.0005,
190.0,310.371,1.3056299999999998,,,,,,,303.0,1.7,0.0163,0.7965,0.0006,
195.0,310.193,1.27893,,,,,,,286.0,1.53,0.0145,0.6062,0.0005,
200.0,310.104,1.26558,,,,,,,281.0,1.72,0.0147,0.754,0.0006,
205.0,309.748,1.22197,,,,,,,285.0,1.41,0.0123,0.5887,0.0005,
210.0,309.303,1.22197,,,,,,,285.0,1.42,0.0117,0.593,0.0005,
215.0,309.036,1.19082,,,,,,,277.0,1.68,0.0145,0.6669,0.0006,
220.0,308.947,1.14632,,,,,,,250.0,1.86,0.0139,0.7738,0.0007,
225.0,308.769,1.09826,,,,,,,220.0,1.83,0.0144,0.8238,0.0008,
230.0,308.413,1.08491,,,,,,,190.0,1.23,0.0089,0.5094,0.0005,
235.0,308.235,1.0413,,,,,,,171.0,1.11,0.008,0.5397,0.0005,
240.0,307.701,1.00659,,,,,,,162.0,1.1,0.0069,0.4798,0.0005,
245.0,307.434,0.99324,,,,,,,151.0,1.34,0.0085,0.6035,0.0006,
250.0,307.167,0.99146,,,,,,,143.0,1.75,0.0099,0.7944,0.0008,
255.0,307.167,0.98523,,,,,,,141.0,1.58,0.0094,0.6919,0.0007,
260.0,306.811,0.96832,,,,,,,158.0,1.49,0.0077,0.6363,0.0007,
265.0,306.544,0.95319,,,,,,,151.0,1.48,0.0084,0.6465,0.0008,
270.0,306.366,0.92827,,,,,,,140.0,2.36,0.0112,1.0067,0.0012,
275.0,306.366,0.91937,,,,,,,125.0,1.75,0.0087,0.7137,0.0009,
280.0,306.188,0.87932,,,,,,,114.0,1.4,0.006,0.5133,0.0008,
285.0,305.743,0.86597,,,,,,,109.0,1.48,0.0066,0.7464,0.0008,
290.0,305.654,0.85351,,,,,,,110.0,1.29,0.0055,0.605,0.0007,
295.0,305.654,0.8641899999999999,,,,,,,107.0,1.32,0.0058,0.5601,0.0007,
300.0,305.12,0.85707,,,,,,,131.0,1.48,0.0064,0.6067,0.0008,
305.0,304.942,0.85173,,,,,,,131.0,1.37,0.0059,0.6298,0.0007,
310.0,305.031,0.84283,,,,,,,125.0,2.85,0.0115,1.4105,0.0016,
315.0,304.675,0.84639,,,,,,,128.0,1.52,0.006,0.6824,0.0008,
320.0,304.764,0.8357100000000001,,,,,,,140.0,1.33,0.0049,0.6439,0.0007,
325.0,304.052,0.8339300000000001,,,,,,,158.0,1.58,0.0055,0.7328,0.0008,
330.0,304.23,0.88288,,,,,,,150.0,1.42,0.0053,0.5307,0.0007,
335.0,303.963,0.8989,,,,,,,144.0,1.72,0.0064,0.79,0.0009,
340.0,303.696,0.90335,,,,,,,142.0,1.07,0.004,0.5035,0.0005,
345.0,303.429,0.91581,,,,,,,160.0,1.04,0.0039,0.5163,0.0005,
350.0,303.073,0.93984,,,,,,,218.0,1.24,0.004,0.5581,0.0006,
355.0,302.806,0.93806,,,,,,,244.0,1.49,0.0051,0.6433,0.0008,
360.0,302.717,0.9701,,,,,,,241.0,2.52,0.007,1.1295,0.0013,
365.0,302.628,0.96476,,,,,,,237.0,2.15,0.0057,1.0413,0.001,
370.0,302.539,0.9612,,,,,,,243.0,1.44,0.0036,0.6414,0.0007,
375.0,302.183,0.98968,,,,,,,261.0,1.39,0.0034,0.6249,0.0006,
380.0,301.738,1.03596,,,,,,,306.0,1.23,0.0033,0.6018,0.0006,
385.0,301.738,1.05821,,,,,,,311.0,1.38,0.0039,0.6343,0.0007,
390.0,301.382,1.06622,,,,,,,312.0,2.12,0.0068,1.1433,0.001,
395.0,301.204,1.04308,,,,,,,316.0,1.69,0.0054,0.8011,0.0008,
400.0,301.293,1.01193,,,,,,,303.0,1.54,0.0049,0.725,0.0007,
405.0,300.848,1.01638,,,,,,,312.0,1.56,0.005,0.7895,0.0008,
410.0,300.492,0.99769,,,,,,,325.0,1.22,0.0035,0.5702,0.0006,
415.0,300.492,0.98612,,,,,,,298.0,1.74,0.0053,0.9366,0.0009,
420.0,300.136,0.99235,,,,,,,278.0,2.03,0.0047,0.8285,0.001,
425.0,300.136,0.9879,,,,,,,262.0,1.23,0.0029,0.5214,0.0006,
430.0,299.869,0.99324,,,,,,,247.0,1.22,0.0025,0.5788,0.0006,
435.0,299.335,0.9968,,,,,,,272.0,1.1,0.0022,0.4944,0.0005,
440.0,299.246,0.98523,,,,,,,298.0,1.15,0.0023,0.5398,0.0006,
445.0,298.979,0.99324,,,,,,,336.0,2.01,0.0041,0.9505,0.001,
450.0,298.712,0.97277,,,,,,,344.0,2.2,0.0045,1.1196,0.0011,
455.0,298.801,0.97188,,,,,,,331.0,2.48,0.0052,1.2042,0.0013,
460.0,298.623,0.97277,,,,,,,333.0,2.0,0.0049,0.9237,0.001,
465.0,298.445,0.95408,,,,,,,323.0,1.37,0.0033,0.6593,0.0007,
470.0,298.178,0.95497,,,,,,,304.0,1.9,0.0046,0.935,0.001,
475.0,297.911,0.94162,,,,,,,270.0,1.72,0.0042,0.7078,0.0009,
480.0,298.0,0.95319,,,,,,,249.0,1.42,0.0036,0.7374,0.0008,
485.0,297.644,0.94073,,,,,,,244.0,1.11,0.0029,0.6173,0.0006,
490.0,297.288,0.9523,,,,,,,269.0,1.24,0.0037,0.6346,0.0007,
495.0,297.021,0.94874,,,,,,,282.0,1.51,0.0044,0.7012,0.0008,
