Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,225.9,,,,,,,,,,,,,
5.0,225.9,,,,,,,,,,,,,
10.0,225.812,,,,,,,,,,,,,
15.0,225.636,,,,,,,,,,,,,
20.0,225.636,0.02464,,,,,,,147.0,1.8,0.0006,1.5851,0.0161,
25.0,225.284,0.44616,,,,,,,171.0,1.79,0.0018,1.1313,0.0023,
30.0,224.932,1.35168,,,,,,,196.0,1.5,0.0013,0.8701,0.0016,
35.0,224.316,1.81984,,,,,,,220.0,1.42,0.0033,0.8077,0.0014,
40.0,223.788,1.9914400000000003,,,,,,,244.0,1.25,0.0029,0.7897,0.0013,
45.0,223.26,2.05568,,,,,,,268.0,1.34,0.0052,0.838,0.0015,
50.0,222.556,2.04336,,,,,,,293.0,1.38,0.005,0.8559,0.0016,
55.0,222.028,2.1903200000000003,,,,,,,328.0,1.33,0.007,0.8025,0.0016,
60.0,221.5,2.2774400000000004,,,,,,,340.0,1.39,0.0072,0.808,0.002,
65.0,220.708,2.398,,,,,,,353.0,1.39,0.0096,0.7633,0.0028,
70.0,220.18,2.43936,,,,,,,376.0,1.22,0.009,0.6748,0.0025,
75.0,219.652,2.3592800000000005,,,,,,,407.0,1.26,0.0122,0.698,0.0025,
80.0,218.86,2.2308000000000003,,,,,,,460.0,1.33,0.0138,0.7621,0.0035,
85.0,218.508,2.09792,,,,,,,488.0,1.4,0.0172,0.8297,0.0038,
90.0,218.156,1.9536,,,,,,,483.0,1.48,0.0198,0.8987,0.0045,
95.0,217.716,1.84536,,,,,,,482.0,1.28,0.0173,0.7433,0.0036,
100.0,217.276,1.75296,,,,,,,497.0,1.03,0.0152,0.6168,0.0035,
105.0,216.66,1.6896,,,,,,,484.0,1.07,0.016,0.6921,0.0037,
110.0,216.132,1.56816,,,,,,,460.0,1.16,0.018,0.728,0.0037,
115.0,215.956,1.496,,,,,,,438.0,1.11,0.016,0.685,0.003,
120.0,215.516,1.4608,,,,,,,441.0,1.04,0.0154,0.6957,0.0031,
125.0,214.9,1.40008,,,,,,,473.0,1.02,0.0138,0.6793,0.0024,
130.0,214.46,1.37368,,,,,,,485.0,1.24,0.0174,0.7914,0.003,
135.0,214.372,1.31208,,,,,,,462.0,1.43,0.018,0.8719,0.0035,
140.0,214.108,1.29008,,,,,,,441.0,1.31,0.0175,0.8441,0.0031,
145.0,213.668,1.25048,,,,,,,447.0,0.98,0.0114,0.6537,0.002,
150.0,213.316,1.1924,,,,,,,450.0,0.93,0.0115,0.6407,0.0019,
155.0,212.788,1.166,,,,,,,473.0,1.19,0.0128,0.8285,0.0027,
160.0,212.612,1.12728,,,,,,,515.0,1.24,0.0144,0.892,0.0024,
165.0,212.524,1.0912000000000002,,,,,,,542.0,1.62,0.0161,1.0825,0.0028,
170.0,212.084,1.0639200000000002,,,,,,,535.0,1.96,0.0202,1.3051,0.0034,
175.0,211.996,1.03576,,,,,,,513.0,1.96,0.0174,1.2361,0.0043,
180.0,211.996,1.01112,,,,,,,470.0,1.68,0.0149,1.0,0.0029,
185.0,211.732,1.00496,,,,,,,424.0,1.36,0.0114,0.9376,0.0025,
190.0,211.292,0.97064,,,,,,,382.0,1.22,0.0098,0.7909,0.002,
195.0,211.204,0.94864,,,,,,,321.0,1.19,0.0084,0.761,0.0021,
200.0,210.94,0.94248,,,,,,,284.0,1.22,0.0091,0.783,0.0019,
205.0,210.588,0.92048,,,,,,,266.0,0.96,0.0062,0.6341,0.0014,
210.0,210.412,0.90112,,,,,,,263.0,1.05,0.0071,0.7088,0.0015,
215.0,209.972,0.8756,,,,,,,256.0,1.3,0.007,0.8355,0.0018,
220.0,209.972,0.8729600000000001,,,,,,,232.0,1.34,0.0073,0.8185,0.0018,
225.0,209.708,0.8685600000000001,,,,,,,225.0,1.21,0.0065,0.8866,0.0018,
230.0,209.444,0.8580000000000001,,,,,,,217.0,0.89,0.0047,0.5868,0.0012,
235.0,209.092,0.8448,,,,,,,240.0,1.1,0.0049,0.6922,0.0016,
240.0,208.74,0.8448,,,,,,,241.0,1.19,0.0051,0.7679,0.0014,
245.0,208.916,0.81576,,,,,,,229.0,1.74,0.0072,1.1845,0.0025,
250.0,208.388,0.81928,,,,,,,228.0,1.34,0.0056,0.9313,0.0017,
255.0,208.564,0.80784,,,,,,,219.0,1.07,0.0046,0.6812,0.0015,
260.0,207.948,0.8131200000000001,,,,,,,224.0,1.38,0.0059,0.9585,0.0018,
265.0,207.948,0.8087200000000001,,,,,,,209.0,1.07,0.0042,0.7279,0.0014,
270.0,207.772,0.8069600000000001,,,,,,,193.0,1.39,0.0054,0.9097,0.0018,
275.0,207.42,0.8069600000000001,,,,,,,204.0,1.01,0.0038,0.6442,0.0013,
280.0,207.332,0.8096000000000001,,,,,,,205.0,1.0,0.0038,0.6128,0.0013,
285.0,206.98,0.80784,,,,,,,222.0,1.54,0.0058,0.9068,0.0019,
