Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,474.86,,0.0243,,,,,,0.0,-0.89,0.0,0.0,0.0,4e-05,0.0
5.0,474.9,,0.0242,,,,,,0.0,0.0,0.0,-0.001,0.0,0.0208,0.0
10.0,474.86,,0.0241,,,,,,0.0,0.0,0.0,-0.001,0.19474,0.03808,0.0032
15.0,474.85,,0.0243,,,,,,0.0,-0.44,0.0,-0.001,0.3784,0.07413,0.0
20.0,474.85,,0.0242,,,,,,0.0,0.0,0.079,-0.001,0.72021,0.09466,0.0067
25.0,474.89,,0.0242,,,,,,0.0,-0.44,0.0,-0.006,6.49547,0.97535,0.0
30.0,474.89,,0.0243,,,,,,118.5,-0.44,0.165,-0.001,0.71733,0.15801,0.0003
35.0,474.89,,0.0242,,,,,,157.8,0.0,0.126,0.0,1.25711,0.12183,0.0
40.0,474.83,,0.024,,,,,,136.1,0.0,0.374,0.0,1.84347,0.07299,0.0008
45.0,474.77,,0.0241,,,,,,56.9,0.44,1.138,0.0,1.21057,0.02418,0.0003
50.0,474.61,,0.0235,,,,,,95.4,9.87,1.688,0.0,0.83746,0.00833,0.0
55.0,474.16,,0.0225,,,,,,402.5,69.28,1.739,0.0,0.62636,0.0113,0.0
60.0,473.69,,0.0221,,,,,,676.1,170.08,1.64,0.001,0.52171,0.01566,0.0
65.0,473.02,,0.022,,,,,,853.4,233.88,1.6,0.001,0.52428,0.01778,0.0
70.0,472.45,,0.0219,,,,,,958.8,248.56,1.704,0.002,0.5831,0.01566,0.0001
75.0,471.93,,0.022,,,,,,986.5,239.57,1.736,0.002,0.62521,0.01928,0.0
80.0,471.48,,0.0221,,,,,,978.6,228.65,1.722,0.003,0.63404,0.01998,0.0001
85.0,470.98,,0.022,,,,,,919.4,218.42,1.714,0.003,0.64079,0.01794,0.0001
90.0,470.51,,0.0219,,,,,,900.4,214.43,1.72,0.004,0.6454,0.01966,0.0
95.0,470.06,,0.022,,,,,,879.3,211.84,1.656,0.004,0.6292,0.01834,0.0
100.0,469.56,,0.022,,,,,,928.0,212.81,1.646,0.004,0.62712,0.0184,0.0
105.0,469.06,,0.0221,,,,,,886.6,213.47,1.641,0.004,0.64406,0.01828,0.0001
110.0,468.6,,0.022,,,,,,883.8,211.56,1.639,0.004,0.6462,0.01823,0.0
115.0,468.13,,0.0222,,,,,,948.2,205.77,1.679,0.004,0.66259,0.01849,0.0
120.0,467.66,,0.022,,,,,,959.4,205.31,1.691,0.004,0.65968,0.01746,0.0
125.0,467.22,,0.0219,,,,,,900.8,205.0,1.645,0.004,0.641,0.01796,0.0
130.0,466.75,,0.022,,,,,,878.7,204.04,1.636,0.004,0.64861,0.01686,0.0
135.0,466.32,,0.0222,,,,,,866.5,198.99,1.631,0.004,0.63698,0.02093,0.0
140.0,465.89,,0.0221,,,,,,875.9,192.63,1.577,0.004,0.63036,0.01679,0.0
145.0,465.44,,0.022,,,,,,874.6,189.08,1.603,0.004,0.64666,0.01894,0.0
150.0,465.03,,0.0222,,,,,,898.2,185.03,1.654,0.004,0.66397,0.01855,0.0
155.0,464.61,,0.022,,,,,,876.0,180.97,1.666,0.004,0.68395,0.01867,0.0
160.0,464.23,,0.0223,,,,,,940.6,179.4,1.703,0.004,0.69071,0.01683,0.0
165.0,463.83,,0.0222,,,,,,922.9,176.01,1.675,0.004,0.66832,0.01862,0.0
170.0,463.45,,0.0222,,,,,,858.9,175.08,1.669,0.004,0.68536,0.01884,0.0
175.0,463.06,,0.0223,,,,,,849.3,173.37,1.67,0.004,0.659,0.01497,0.0
180.0,462.7,,0.0222,,,,,,787.9,167.78,1.561,0.003,0.61256,0.01681,0.0
185.0,462.27,,0.0222,,,,,,802.0,167.89,1.583,0.003,0.62104,0.01582,0.0
190.0,461.87,,0.0221,,,,,,875.2,165.95,1.735,0.004,0.68022,0.01711,0.0
195.0,461.52,,0.0222,,,,,,938.7,164.42,1.819,0.004,0.72875,0.02095,0.0
200.0,461.22,,0.0222,,,,,,932.1,161.45,1.73,0.003,0.68363,0.01763,0.0
205.0,460.86,,0.0222,,,,,,846.2,157.47,1.638,0.003,0.65005,0.01578,0.0
210.0,460.48,,0.0223,,,,,,812.2,157.77,1.646,0.003,0.66052,0.01609,0.0
