Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),MLRPUA (g/s-m2),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,,,,,,,,,0.0,0.0,0.4,17.08,0.0,25.5576,0.0978,0.0
5.0,,,,,,,,,0.0,0.0,0.0,17.44,0.0,99.99,0.1162,0.0
10.0,,,,,,,,,0.0,0.0,0.8,18.01,0.0,99.99,0.1795,0.7435
15.0,,,,,,,,,0.0,0.00648,0.5,2.85,0.0,22.1693,0.0377,0.1142
20.0,,,,,,,,,0.0,0.01841,0.2,1.94,0.0,5.6592,0.0416,0.0406
25.0,,,,,,,,,27.35,0.06556,0.0,0.46,0.0005,0.0,0.039,0.0
30.0,,,,,,,,,197.02,0.11426,0.7,1.53,0.0001,0.6446,0.0279,0.0
35.0,,,,,,,,,721.5,0.12382,94.7,1.7,0.0002,0.1266,0.0162,0.0054
40.0,,,,,,,,,921.32,0.11292,234.2,1.63,0.003,0.0,0.0452,0.006
45.0,,,,,,,,,994.37,0.10415,221.9,1.69,0.0025,0.2335,0.0158,0.0066
50.0,,,,,,,,,981.22,0.1035,201.8,1.73,0.0043,0.484,0.0153,0.0067
55.0,,,,,,,,,957.61,0.10958,198.6,1.67,0.0079,0.0,0.0172,0.0062
60.0,,,,,,,,,928.6,0.11316,205.2,1.6,0.0,1.5763,0.0171,0.0061
65.0,,,,,,,,,904.62,0.11767,208.3,1.56,0.0009,0.9235,0.0162,0.0
70.0,,,,,,,,,854.97,0.11577,210.3,1.61,0.0158,0.0,0.0185,0.0
75.0,,,,,,,,,887.8,0.10963,209.9,1.63,0.0167,0.1001,0.0183,0.0062
80.0,,,,,,,,,780.72,0.11008,206.9,1.57,0.0211,0.0,0.0163,0.0062
85.0,,,,,,,,,699.18,0.11253,196.4,1.57,0.0206,0.0,0.0154,0.0061
90.0,,,,,,,,,669.16,0.11588,197.5,1.55,0.0,1.1141,0.0149,0.006
95.0,,,,,,,,,688.01,0.12166,199.9,1.57,0.0095,0.5755,0.0151,0.0056
100.0,,,,,,,,,752.83,0.12843,210.6,1.53,0.0209,0.1178,0.0148,0.0053
105.0,,,,,,,,,783.87,0.12979,220.7,1.59,0.0235,0.0,0.0187,0.0052
110.0,,,,,,,,,799.56,0.1322,229.2,1.56,0.025,0.0,0.0183,0.0051
115.0,,,,,,,,,754.89,0.13883,230.8,1.47,0.0,1.0906,0.0168,0.0
120.0,,,,,,,,,832.8,0.13789,235.2,1.49,0.007,0.7319,0.0169,0.0
125.0,,,,,,,,,853.09,0.13442,235.5,1.49,0.0207,0.2205,0.0162,0.0033
130.0,,,,,,,,,843.85,0.13385,231.1,1.53,0.0196,0.3067,0.0165,0.0033
135.0,,,,,,,,,874.51,0.13282,231.8,1.57,0.0284,0.0,0.0179,0.0005
140.0,,,,,,,,,820.08,0.13756,238.0,1.49,0.0,1.0348,0.0184,0.0005
145.0,,,,,,,,,835.47,0.14376,238.7,1.43,0.0,1.0308,0.0173,0.0047
150.0,,,,,,,,,852.22,0.13968,241.7,1.47,0.0293,0.0,0.0172,0.0048
155.0,,,,,,,,,892.0,0.13058,243.2,1.58,0.0317,0.0,0.0183,0.0
160.0,,,,,,,,,901.93,0.13225,240.2,1.55,0.0327,0.0,0.0191,0.0
165.0,,,,,,,,,869.37,0.13645,239.3,1.5,0.0229,0.277,0.0176,0.0049
170.0,,,,,,,,,896.93,0.13146,238.8,1.55,0.034,0.0,0.0163,0.0051
175.0,,,,,,,,,879.05,0.12871,237.7,1.54,0.0076,0.7798,0.0171,0.0
180.0,,,,,,,,,850.54,0.1286,234.7,1.56,0.0353,0.0,0.0171,0.0
185.0,,,,,,,,,823.08,0.12593,228.5,1.57,0.0359,0.0,0.0141,0.0
190.0,,,,,,,,,817.87,0.12602,228.3,1.54,0.036,0.0,0.0152,0.0
195.0,,,,,,,,,770.95,0.12668,225.2,1.51,0.0359,0.0905,0.0147,0.0053
200.0,,,,,,,,,805.59,0.12085,219.5,1.56,0.0,1.1021,0.0148,0.0056
205.0,,,,,,,,,817.25,0.11436,219.7,1.63,0.0,1.1,0.0148,0.0
210.0,,,,,,,,,791.07,0.11006,216.5,1.68,0.0,0.0,0.0131,0.0
215.0,,,,,,,,,751.07,0.11071,212.1,1.59,0.0396,0.0,0.0113,0.0062
220.0,,,,,,,,,699.72,0.11414,209.2,1.58,0.0225,0.3796,0.0109,0.0059
225.0,,,,,,,,,734.01,0.11183,206.4,1.61,0.0372,0.0,0.0089,0.0
230.0,,,,,,,,,717.76,0.10736,204.2,1.65,0.0215,0.4043,0.0087,0.0
235.0,,,,,,,,,689.95,0.10665,197.4,1.6,0.0112,0.6905,0.0091,0.0064
240.0,,,,,,,,,693.64,0.1021,194.4,1.68,0.0352,0.0,0.0085,0.0067
245.0,,,,,,,,,736.87,0.09203,189.0,1.84,0.0388,0.0,0.008,0.0074
250.0,,,,,,,,,755.66,0.08969,188.0,1.79,0.005,0.8614,0.0078,0.0076
255.0,,,,,,,,,677.51,0.09303,181.6,1.67,0.0,1.0878,0.0065,0.0093
260.0,,,,,,,,,678.25,0.08908,176.0,1.73,0.0111,0.6565,0.0063,0.0077
265.0,,,,,,,,,698.83,0.08105,171.5,1.82,0.0,1.411,0.0061,0.0
270.0,,,,,,,,,676.98,0.0807,166.3,1.8,0.0313,0.0,0.0059,0.0
275.0,,,,,,,,,619.33,0.08214,161.8,1.73,0.0307,0.0,0.005,0.0084
280.0,,,,,,,,,651.69,0.07701,157.7,1.78,0.0,1.1856,0.0048,0.0089
285.0,,,,,,,,,639.73,0.0725,153.8,1.82,0.0305,0.0,0.0047,0.0
290.0,,,,,,,,,633.26,0.06876,149.1,1.86,0.0,0.9928,0.0047,0.0
295.0,,,,,,,,,606.91,0.06631,143.0,1.87,0.0,2.0733,0.0047,0.0104
300.0,,,,,,,,,586.42,0.06776,138.3,1.78,0.0013,0.9425,0.0042,0.0102
305.0,,,,,,,,,609.25,0.06326,135.0,1.91,0.0095,0.6265,0.0044,0.011
310.0,,,,,,,,,636.63,0.05727,132.3,2.04,0.016,0.3091,0.0047,0.0122
315.0,,,,,,,,,634.16,0.0559,126.9,2.05,0.0,2.1417,0.0048,0.0034
320.0,,,,,,,,,582.78,0.05349,124.6,2.04,0.0,2.71,0.0048,0.0035
325.0,,,,,,,,,535.77,0.05411,118.2,2.02,0.0,1.482,0.0046,0.0129
330.0,,,,,,,,,457.7,0.05774,114.9,1.85,0.0139,0.0,0.0042,0.012
335.0,,,,,,,,,468.61,0.05543,111.4,1.85,0.0166,0.0,0.0047,0.0
340.0,,,,,,,,,469.91,0.05062,109.9,2.02,0.0157,0.0,0.005,0.0
345.0,,,,,,,,,498.15,0.04415,104.6,2.26,0.0,2.3152,0.0059,0.0146
350.0,,,,,,,,,509.33,0.03972,102.4,2.37,0.0,2.3129,0.0062,0.0161
355.0,,,,,,,,,430.51,0.04371,98.9,2.09,0.0,2.2861,0.0055,0.0
360.0,,,,,,,,,399.35,0.04399,94.3,2.02,0.0,2.9747,0.0059,0.0
365.0,,,,,,,,,397.15,0.04191,92.1,2.14,0.0145,0.0,0.0062,0.0167
370.0,,,,,,,,,381.78,0.04188,88.8,2.09,0.0051,0.5984,0.0064,0.0168
375.0,,,,,,,,,383.61,0.0383,86.9,2.2,0.0,2.7186,0.0071,0.0183
380.0,,,,,,,,,384.83,0.03416,84.1,2.39,0.0,3.9461,0.008,0.0205
385.0,,,,,,,,,349.92,0.03549,80.8,2.23,0.0,3.0087,0.0076,0.0
390.0,,,,,,,,,316.38,0.03651,76.5,2.17,0.0136,0.0,0.0084,0.0
395.0,,,,,,,,,338.63,0.03337,73.0,2.33,0.0148,0.0,0.0094,0.0213
400.0,,,,,,,,,316.15,0.03125,72.1,2.38,0.0056,0.6471,0.01,0.0226
405.0,,,,,,,,,297.47,0.03025,70.2,2.39,0.0,3.8725,0.0106,0.0237
410.0,,,,,,,,,247.62,0.03167,66.8,2.26,0.0,3.6172,0.0111,0.0226
415.0,,,,,,,,,210.61,0.03302,64.1,2.06,0.0157,0.0,0.0102,0.0
420.0,,,,,,,,,203.72,0.03081,62.0,2.26,0.0179,0.0,0.0109,0.0
425.0,,,,,,,,,207.77,0.02871,58.8,2.33,0.019,0.0,0.0119,0.0197
430.0,,,,,,,,,201.37,0.02641,58.2,2.5,0.0217,0.0,0.013,0.0215
435.0,,,,,,,,,206.28,0.02386,54.8,2.69,0.0,2.2659,0.0146,0.0
440.0,,,,,,,,,182.56,0.02561,53.0,2.41,0.0,2.558,0.0137,0.0
445.0,,,,,,,,,176.99,0.02572,51.8,2.41,0.0233,0.0,0.0147,0.0282
450.0,,,,,,,,,180.91,0.02416,49.5,2.44,0.0268,0.0,0.0171,0.03
455.0,,,,,,,,,173.41,0.02443,47.1,2.35,0.0,5.6364,0.0196,0.0194
460.0,,,,,,,,,168.24,0.0244,45.1,2.3,0.0107,0.6344,0.02,0.0194
465.0,,,,,,,,,174.61,0.02303,44.5,2.49,0.0312,0.0,0.0206,0.0314
470.0,,,,,,,,,188.48,0.02113,43.6,2.6,0.0,8.0885,0.0222,0.0343
475.0,,,,,,,,,170.55,0.02285,42.3,2.32,0.0,3.79,0.0194,0.0317
480.0,,,,,,,,,146.65,0.02581,40.0,2.0,0.0,3.2033,0.0168,0.0281
485.0,,,,,,,,,153.31,0.02434,39.2,2.1,0.0346,0.0,0.0172,0.0298
490.0,,,,,,,,,153.71,0.02376,37.6,2.14,0.0375,0.0,0.0182,0.0305
495.0,,,,,,,,,146.32,0.0243,36.9,2.04,0.0,2.2407,0.018,0.0297
500.0,,,,,,,,,168.53,0.0207,36.4,2.34,0.044,0.0,0.0206,0.035
505.0,,,,,,,,,152.4,0.0222,35.8,2.17,0.0,5.3588,0.0185,0.0328
