Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m)
0,,,,,,,,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,19.807641,0.024273252,0.026994175,309.842,0.209511527,0.000441123,1.63E-05,0.000646372
5,19.745083,0.005673834,0.027017593,309.858,0.20954614,0.000455691,1.70E-05,-0.003012802
6,19.808118,-0.010851266,0.026022428,309.881,0.209575696,0.000475714,1.92E-05,-0.003938004
7,19.744348,-0.012625922,0.0269036,309.891,0.209581242,0.00046033,2.08E-05,-0.003989802
8,19.725965,0.00277037,0.026811579,309.905,0.209553235,0.000445814,1.95E-05,0.001074121
9,19.646179,0.02509295,0.026868351,309.903,0.209509818,0.000437286,1.81E-05,-0.006598416
10,19.787184,0.02897716,0.027083249,309.941,0.209501756,0.000440556,1.78E-05,-0.028692325
11,19.90616,0.009954699,0.0271771,309.965,0.209534583,0.000466709,1.89E-05,0.001999137
12,19.764337,0.00336032,0.026615011,310.029,0.209545637,0.000474028,2.07E-05,-0.012325341
13,19.72587,0.008096295,0.026921324,310.061,0.209539624,0.000457216,2.05E-05,-0.009631326
14,19.725726,0.024622501,0.026957153,310.093,0.209510241,0.000439877,1.85E-05,-0.006936867
15,19.726074,0.04519225,0.026974632,310.126,0.209468558,0.000441453,1.69E-05,-0.010521888
16,19.726107,0.028442499,0.026975382,310.174,0.209499316,0.000459495,1.58E-05,-0.019619214
17,19.725989,0.005635991,0.026550128,310.17,0.209540659,0.000482073,1.65E-05,-0.018310865
18,19.726174,-0.004198921,0.026551548,310.203,0.209561735,0.000476781,1.77E-05,-0.013536326
19,19.726015,-0.005084562,0.026943494,310.248,0.209568204,0.000455234,1.69E-05,-0.006342989
20,19.725858,0.010864095,0.026955439,310.304,0.209539646,0.000439862,1.47E-05,-0.009778735
21,19.725885,0.0274708,0.026721464,310.333,0.209504942,0.000443499,1.34E-05,-0.003036517
22,19.645391,0.013720923,0.026918099,310.373,0.20953102,0.000454139,1.40E-05,0.006809854
23,19.626656,-0.006076261,0.026774116,310.361,0.20956619,0.000474897,1.69E-05,0.009630671
24,19.626997,-0.014078845,0.026795907,310.385,0.209581797,0.000474605,1.94E-05,0.011805734
25,19.70753,-0.007402142,0.026218913,310.402,0.209572959,0.000452975,1.95E-05,0.018466051
26,19.726017,0.013453989,0.026317725,310.404,0.209533052,0.000438246,1.76E-05,0.027272013
27,19.726082,0.031957392,0.026778827,310.417,0.209494104,0.000447832,1.58E-05,0.024724518
28,19.639861,0.017946209,0.027136447,310.441,0.209519121,0.000467708,1.61E-05,0.037210112
29,19.624987,0.000121499,0.02658409,310.477,0.209551404,0.000484407,1.71E-05,0.043460289
30,19.626638,-0.004428634,0.026926254,310.5,0.209562821,0.000470819,1.92E-05,0.05705945
