Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m)
0,,,,,,,,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,15.972392,-0.015874877,0.028715918,327.266,0.20953816,0.000501134,8.72E-06,1.118551522
6,15.752036,-0.031271324,0.027854257,327.261,0.209566886,0.000513818,8.97E-06,1.159018057
7,15.473624,-0.024513094,0.027268211,327.603,0.209558379,0.000498535,7.11E-06,1.780108101
8,15.487989,-0.001436277,0.027253855,328.919,0.209515851,0.000481225,5.42E-06,2.105432566
9,15.273838,0.008334294,0.026842704,330.402,0.209497117,0.000475358,5.13E-06,2.379383501
10,15.05296,-0.008368001,0.026814254,331.7,0.209529722,0.000481646,6.48E-06,0.89037026
11,15.010373,-0.024802469,0.026657018,332.836,0.209558159,0.000504992,8.86E-06,2.325194019
12,14.77491,-0.024172762,0.026901955,333.889,0.209554682,0.000512322,9.38E-06,1.753599507
13,14.631675,-0.004832785,0.027416207,334.81,0.209518382,0.000498207,7.55E-06,1.025567888
14,14.452606,0.026949939,0.027219294,335.408,0.209454029,0.000499346,6.62E-06,2.205296212
15,13.859758,0.04926265,0.02689313,335.897,0.209387074,0.000594041,8.38E-06,0.86009815
16,14.022507,0.063904874,0.02715331,336.472,0.209310007,0.000815125,1.40E-05,-1.24925542
17,13.952545,0.239087854,0.026580756,337.045,0.208867536,0.001159573,2.34E-05,0.217460881
18,13.831194,0.551234417,0.026831107,337.566,0.208143808,0.001550306,3.13E-05,-0.739249688
19,13.79682,0.906617278,0.027559051,338.042,0.207383461,0.001900323,3.76E-05,-1.181596847
20,13.727267,1.192332551,0.027558771,338.334,0.206741198,0.002206543,4.44E-05,0.546924379
21,13.630539,1.389634718,0.02798274,338.632,0.20633074,0.00245863,5.08E-05,1.472810093
22,13.605008,1.463029088,0.027567133,338.918,0.206099333,0.002648938,5.66E-05,1.50783045
23,13.529863,1.500896261,0.027547183,339.115,0.20598668,0.002804454,6.17E-05,1.343823677
24,13.50978,1.483948062,0.027131453,339.432,0.205957168,0.002889627,6.23E-05,1.773669957
25,13.430901,1.48839313,0.0273692,339.779,0.205967808,0.002925365,6.06E-05,1.446984683
26,13.330896,1.480222434,0.02766211,340.04,0.206012941,0.002943793,5.94E-05,2.255729692
27,13.309455,1.393536611,0.027240407,340.133,0.206140533,0.002960628,5.96E-05,0.654645416
28,13.23054,1.313308402,0.02712571,340.214,0.206290041,0.002972791,6.14E-05,1.513889969
29,13.208992,1.253239403,0.027304187,340.354,0.206429044,0.002974603,6.33E-05,1.506771082
30,13.131331,1.213092575,0.027738134,340.494,0.206558725,0.002931775,6.23E-05,1.698465426
31,13.031372,1.170084902,0.027709639,340.576,0.206656117,0.002870577,5.96E-05,0.623296858
