Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m)
5.0,123.492812,-0.026282462726045,0.0274327337572776,309.164,0.2095972917,0.0004656156,2.04595e-05,0.0006367161831416
6.0,123.474402,-0.007701914861185,0.0276225792933879,309.181,0.2095639561,0.000448717,1.90677e-05,-0.0105467481133888
7.0,123.555286,0.0172774849779635,0.0269781106399415,309.114,0.2095138358,0.0004483133999999,1.80111e-05,-0.0010987825399202
8.0,123.492783,0.0060719161059656,0.0268769438766663,309.098,0.2095342945,0.0004594907,1.80182e-05,-0.0024411905160094
9.0,123.235065,-0.0141008463251148,0.027305737673909,309.09,0.2095704362,0.00048062,1.87746e-05,-0.0343077543408871
10.0,123.257639,-0.0213745506425886,0.0267954850855205,309.096,0.2095860197,0.0004781891,1.99238e-05,-0.0034352574649188
11.0,123.277771,-0.0138377160433139,0.0270602767623175,309.141,0.2095746278,0.0004599813,1.83657e-05,0.0015960705937397
12.0,123.356195,0.0075292588096558,0.0270605393997318,309.147,0.2095346503,0.0004473773,1.60077e-05,-0.0010639164196115
13.0,123.455353,0.0200268603600487,0.0274198217524494,309.161,0.2095102653,0.0004479653,1.4233e-05,0.0002092923282314
14.0,123.474635,0.0026278108058071,0.0271470413604311,309.157,0.2095428096,0.000459882,1.36943e-05,0.0051031621337546
15.0,123.475151,-0.0164068431845069,0.0271366926894765,309.171,0.2095758309,0.0004835453,1.5426199999999998e-05,0.0001744128743841
16.0,123.475743,-0.0202221890827685,0.0271810756711111,309.201,0.2095859859,0.0004709888999999,1.58427e-05,-0.0065995888300077
17.0,123.475694,-0.0100793849987508,0.0271908158332436,309.207,0.2095689179,0.0004564097,1.46649e-05,0.0011163800192892
18.0,123.475015,0.0132710853013982,0.0270212122209814,309.223,0.2095244118999999,0.0004462486,1.24266e-05,0.0055311593139096
19.0,123.474711,0.0181620310775812,0.0271231932403663,309.224,0.2095135357999999,0.0004525467999999,1.1664500000000002e-05,-0.0026246515436838
20.0,123.475464,0.0061429107424715,0.027259709258819,309.217,0.2095341721999999,0.0004688652,1.27757e-05,0.0013170522326931
21.0,123.475816,-0.0085668594028995,0.027176922970993,309.229,0.2095598273,0.0004843859,1.51684e-05,0.0057758570051201
22.0,123.475854,-0.0100649564235471,0.0273106971617035,309.222,0.2095650963,0.0004706311,1.67518e-05,0.0106300305680048
23.0,123.476173,0.0024580669797932,0.0270999393833719,309.243,0.2095430899,0.0004572203999999,1.5468100000000002e-05,0.0024948978199606
24.0,123.475611,0.0253060318717298,0.0268138313289714,309.256,0.2094971823999999,0.0004530003,1.50634e-05,0.0019453291919092
25.0,123.475941,0.0239115968526808,0.0273262719040521,309.269,0.2094988548,0.0004615828,1.5960799999999998e-05,0.0099148729776871
26.0,123.476052,0.0100854334442628,0.0277429671665706,309.265,0.2095215819999999,0.0004831452,1.85483e-05,0.004790698310979
27.0,123.476372,-0.0005602671376255,0.027464771708185,309.28,0.2095395592999999,0.000493505,2.13575e-05,0.0041623478726217
28.0,123.476124,0.0075023446297488,0.0272398389774472,309.297,0.2095274337,0.0004723436,2.21942e-05,0.0044068890007694
29.0,123.476052,0.0244498512330758,0.0273546230243893,309.313,0.2094973394,0.000456589,2.03867e-05,0.0108953011840914
30.0,123.475577,0.0467413137474856,0.0273173244714461,309.331,0.2094534484,0.0004534804,1.91544e-05,0.009479912544744
31.0,123.475143,0.0396883617107447,0.0274738231380993,309.329,0.2094660087,0.0004631284,1.93877e-05,0.0027142289864868
32.0,123.394952,0.0185493369744474,0.0273966584942599,309.315,0.2095026714,0.000486658,2.12264e-05,0.0018241278785988
33.0,123.376405,0.0061601663389706,0.0277779305878672,309.346,0.2095252096,0.0004935841,2.42859e-05,0.0105839840608539
34.0,123.376396,0.0104666145762588,0.0273419739564523,309.352,0.2095216886,0.0004674619,2.46854e-05,0.0133452593003238
35.0,123.455837,0.0286685297991071,0.0274827450088072,309.364,0.2094897824,0.0004489091,2.31362e-05,0.0140442439310648
36.0,123.395523,0.0488550109629474,0.0274150274468481,309.361,0.2094500031999999,0.0004466052,2.19869e-05,0.0174530362719406
37.0,123.376432,0.0360335208677023,0.0268924535627177,309.342,0.2094715566,0.0004598869,2.19671e-05,0.0234662546086933
38.0,123.376519,0.0072628476884682,0.0271915111475341,309.325,0.2095251339,0.0004836215,2.3331900000000003e-05,0.0175975318888512
39.0,123.376873,-0.0039531710295211,0.0272920782610008,309.33,0.2095465312,0.0004882826,2.41597e-05,0.0199660705089494
