Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m)
0.0,62.261435,-0.001697202449078,0.0269554707929444,311.582,0.2094714839999999,0.0004900929,1.80421e-05,-0.0032574326581161
1.0,61.777314,-0.0068311539676755,0.0272897724611819,311.544,0.2094807661999999,0.0004935984,1.8917300000000003e-05,0.0072437700816133
2.0,61.978659,0.0018506421594796,0.027269931401351,311.528,0.2094680444,0.0004733511,1.7296e-05,0.0074613161055705
3.0,61.977774,0.0226336819624884,0.0274923741884278,311.514,0.2094304307999999,0.000459202,1.43015e-05,0.0028559591004345
4.0,62.039695,0.0411628226136306,0.0277886160101618,311.478,0.2093947454,0.0004597777,1.23075e-05,0.0075297564068862
5.0,62.137504,0.02603466277571,0.0275476858789117,311.454,0.2094213891,0.0004746535,1.16782e-05,0.0012050241772987
6.0,62.24063,0.0058839073189918,0.0276941739039843,311.509,0.2094565627,0.0004979991,1.2525e-05,0.0002095539853071
7.0,62.337259,-0.0025993987804233,0.0274930848199198,311.542,0.2094726016,0.0004991767,1.43326e-05,-0.0012920862412708
8.0,62.357108,0.0043307250673285,0.0272870593042605,311.552,0.2094630183,0.0004797459,1.34812e-05,-9.604246963185305e-05
9.0,62.356794,0.0269730688216824,0.0273501202669012,311.576,0.2094204622,0.0004671046999999,1.23791e-05,-0.0157038448353667
10.0,62.280786,0.0387141014497711,0.0274527878956763,311.602,0.2093971317999999,0.0004686322,1.13664e-05,0.0001746356219057
11.0,62.262432,0.0144979250023982,0.0277645802863572,311.623,0.2094420492,0.0004864251,1.2173e-05,0.0060618355029148
12.0,62.261987,-0.0066788749928201,0.0274824888415509,311.637,0.2094794998,0.0005048278,1.4608e-05,0.002628678251178
13.0,62.261514,-0.018996627693327,0.0273333570191077,311.668,0.2095065170999999,0.0004921401999999,1.61548e-05,0.0031963823593721
14.0,62.262169,-0.0111884388081041,0.0275389783954849,311.695,0.2094960054,0.0004680057,1.51974e-05,0.0005588495664441
15.0,62.261724,0.0119948533175039,0.0272934596209225,311.698,0.2094519155,0.0004578519999999,1.41316e-05,0.0057651277580831
16.0,62.262406,0.0177750944615528,0.0277403180738299,311.72,0.2094397808,0.0004628560999999,1.41238e-05,0.0074956664672542
22.0,62.241207,0.0145627089541716,0.0272397663811527,311.802,0.20944479,0.0004681304,1.33527e-05,0.0177494090376975
23.0,62.177767,-0.0112194493917551,0.027636188203797,311.787,0.2094929437,0.0004851486,1.36105e-05,0.0212862625769444
24.0,62.157223,-0.0292885103138838,0.0276130919202184,311.781,0.2095259536,0.0004955218,1.61333e-05,0.0171373600538954
25.0,62.157093,-0.0293088473803786,0.0274111132678748,311.806,0.2095293327,0.0004804646,1.6852900000000003e-05,0.0148615025146195
26.0,62.157853,-0.0220705145915544,0.0276338828432235,311.812,0.2095189311,0.0004624870999999,1.47416e-05,0.0183197032732416
27.0,62.157434,-0.0009539307816412,0.0278571264855215,311.818,0.2094780496,0.0004582399,1.37827e-05,0.0241535314049395
28.0,62.157276,-0.0067845329851469,0.0276084006499394,311.832,0.2094877818999999,0.0004663804,1.4393400000000002e-05,0.0309132116980275
29.0,62.157276,-0.0298830186395328,0.0274817189093407,311.85,0.2095271681,0.000496632,1.62006e-05,0.0175262168298475
30.0,62.157487,-0.0356380218498716,0.0272796289934333,311.877,0.2095371219,0.0005014645,1.93653e-05,0.0354749448000294
31.0,62.157024,-0.0295136259967141,0.0271836252014105,311.9,0.2095281474,0.0004855932,1.9798e-05,0.0568705664410792
32.0,62.154456,-0.0120415152465194,0.0276135997051784,311.921,0.209496601,0.0004682907,1.805e-05,0.0462837332791109
33.0,62.079374,0.0089497939590706,0.0274416923972791,311.966,0.2094553906,0.0004665389,1.68752e-05,0.0536432334696006
34.0,62.060231,0.0045823688034509,0.0273310777742823,312.009,0.2094618969,0.0004770892,1.6911e-05,0.04024565325864
35.0,62.10439,-0.0080636528705297,0.0276648073692919,312.033,0.2094822652,0.0004996912,1.74438e-05,0.0645212162694946
36.0,62.148412,-0.0079653808336153,0.0275088280294815,312.06,0.2094812713,0.000500117,1.97559e-05,0.0551902505818972
37.0,62.157066,0.002129359417496,0.0275740145392227,312.112,0.2094657877,0.0004796481,1.85158e-05,0.0639964254615796
38.0,62.028558,0.0219412934155627,0.0276391311820726,312.133,0.2094295922,0.0004673576,1.64742e-05,0.0538482628733161
39.0,62.048846,0.0392132018590805,0.0281739325379557,312.11,0.209397302,0.0004668998,1.48558e-05,0.0489088213514819
