Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m)
0.0,113.554103,0.0015726886663619,0.0261375233553021,331.955,0.2094938835,0.0004767919,1.27009e-05,0.3456758633983559
1.0,113.795982,0.0190022168366588,0.0262192571150541,331.876,0.2094582384,0.0004743639999999,1.13631e-05,0.225770148470315
2.0,114.014942,0.0047885264252147,0.0262520181118262,331.863,0.2094847534999999,0.0004912215,1.08811e-05,-0.3347995234952394
3.0,113.808172,-0.0151441834440498,0.0262220887877994,331.887,0.2095223928,0.0005100734,1.1673e-05,-1.1467820996729543
4.0,113.674845,-0.0296400771759316,0.0260950605439084,331.955,0.2095524694,0.0005104573,1.3396e-05,-0.6440806694837822
5.0,113.536408,-0.0235516070156397,0.0261441383278774,331.981,0.2095437396,0.0004924445,1.21283e-05,-0.5585450048190146
6.0,113.467474,-0.0095295070699112,0.0261086469290319,332.008,0.2095168793,0.0004820813999999,1.07276e-05,-0.5677090975629243
7.0,113.700509,-0.0009469056612544,0.0266393567640905,331.979,0.2094973261,0.0004904513,9.7131e-06,0.6573800101467975
8.0,113.676765,-0.0184285733396526,0.0263648887434206,331.979,0.2095303188,0.0005061970999999,1.0447e-05,0.6236542248826117
16.0,113.659303,-0.0148664619644838,0.026022136616703,332.461,0.2095206309,0.0005074498,1.73692e-05,0.099960466443568
17.0,113.573875,-0.0080086875299741,0.0266038590622087,332.496,0.2095108369,0.0004872732,1.4867700000000002e-05,-0.2745666318976076
18.0,113.555158,0.0138854303631448,0.0264285498077161,332.5,0.2094673041,0.0004815777,1.25398e-05,0.0971861206450888
19.0,113.555127,0.0134153033905658,0.0265582889777254,332.605,0.2094676638,0.0004871507,1.13506e-05,2.696976128152279
20.0,113.476246,-0.0074205242680663,0.026346998339608,332.678,0.2095049072,0.0005151819,1.2007e-05,-0.3803364412757001
21.0,113.458792,-0.0224295682370368,0.0262131427784464,332.9,0.2095315244,0.0005348384,1.45561e-05,0.9225881563757312
22.0,113.37126,-0.0162699504754769,0.0264704011190489,333.232,0.2095186694,0.0005297964,1.63985e-05,0.2117806223450104
23.0,113.352912,0.0262821499067797,0.0267383568149774,333.641,0.2094335699,0.0005174097,1.54762e-05,-0.8107580023963528
24.0,113.405099,0.0308722276633565,0.0262493843468714,333.913,0.2094242243,0.0005130535,1.43588e-05,0.5539651477668146
25.0,113.615663,0.0162315870814225,0.0261931747989589,334.332,0.2094535785,0.0005194599,1.42511e-05,1.171936867376357
26.0,113.408016,0.0105006258614689,0.0262899058809211,334.832,0.2094599158,0.0005438447,1.62429e-05,-0.0867082470983948
27.0,113.43987,0.0136314387936694,0.0263191337057945,335.314,0.2094522305,0.0005433313,1.98998e-05,-0.5463181998292476
28.0,113.292717,0.031323189284493,0.0264554198688338,335.913,0.2094153598,0.00054064,2.20275e-05,0.3317502269680688
29.0,113.169004,0.0506261821788341,0.0263173917103408,336.495,0.2093633536,0.0005935097999999,2.25165e-05,-0.7895376209403921
30.0,113.072235,0.0390910926767358,0.0257802454962754,337.137,0.2093585067,0.0007186276,2.56432e-05,0.6996448057492735
31.0,113.055413,0.0427831639278763,0.0255157681938396,337.914,0.2093127883,0.0008884816,2.93888e-05,0.0058531644095701
32.0,112.976755,0.0856591146629153,0.0258055803283752,338.702,0.2091758417,0.0010989024,3.62577e-05,0.4293507962002335
33.0,112.874364,0.1455882529671208,0.0254542565720444,339.494,0.2090079376,0.0012565956,4.38654e-05,0.0354418270010685
34.0,112.366608,0.2356855075241498,0.0253267116661354,340.432,0.2087813409,0.0013887933,4.74286e-05,-0.4452070557803191
35.0,112.581714,0.3226317027426169,0.0255536949448215,341.263,0.2085699178,0.0015217286,4.8893e-05,-0.1187631329437149
36.0,112.4938,0.3656508873289973,0.0250857671209295,342.129,0.2084305917,0.0016701431,5.09055e-05,0.5659631666720975
37.0,112.460191,0.4106722965096906,0.0248639747164448,342.991,0.2082846636,0.0018515422,5.3614400000000006e-05,-0.4846096329703283
38.0,112.296426,0.4846896258502443,0.0254357665635669,343.81,0.2080991762,0.0020628748,5.71726e-05,-1.0927252119837838
39.0,112.260943,0.5739722446788442,0.0254212949701165,344.654,0.2078550348,0.0022922208,6.22031e-05,-0.4589057199940827
40.0,112.172196,0.6845900454755129,0.025680195601003,345.235,0.2075816787,0.0025194501,6.37917e-05,-0.6214851416519773
41.0,112.154721,0.7585936157514556,0.0250491225672723,345.909,0.2073317003,0.0027542977,6.555209999999999e-05,-0.6797833046956795
42.0,111.91023,0.8386762272787653,0.0250461085592664,346.46,0.2071012388,0.0030062306,6.84473e-05,0.3233200171845966
43.0,111.747802,0.928827219939816,0.0251693744587047,346.995,0.2068546109,0.0032747118,7.33892e-05,-0.34614730968046
44.0,111.756684,0.9906981640798872,0.024497105274874,347.703,0.2066050311,0.0035206219999999,8.10083e-05,-0.4912399298403422
45.0,111.762292,1.102245566809267,0.0246092201538881,348.62,0.2063230861,0.003709156,8.65986e-05,0.5330312008885558
46.0,111.50841,1.2039411795988526,0.0245467564528496,349.437,0.2060536907,0.0038665191999999,8.88489e-05,0.0823918002026792
47.0,111.455608,1.3191030753217186,0.0252584996122702,350.208,0.2058489833,0.0039998455999999,9.13037e-05,0.9640717197303222
48.0,111.28971,1.3441615962873956,0.0248138859132731,350.943,0.2057166834,0.0041120365,9.4558e-05,-1.2498011113122929
49.0,111.176584,1.3512356824963494,0.0243958360128562,351.615,0.2056196276,0.0042480193,9.84334e-05,-0.6908515973219422
