Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m)
0.0,142.610013,0.0095126504894278,0.0259669458342007,338.543,0.2094419818,0.0004912318999999,2.82952e-05,0.002647876516224
1.0,142.60837,0.0272187185749868,0.025357943451963,338.447,0.2094041331,0.0004859592,2.73435e-05,-0.004655195588207
2.0,142.850513,0.0262990314272988,0.0257736481419218,338.395,0.2094063268,0.0004900117,2.70593e-05,0.000908534813534
3.0,142.421819,0.0065913285835749,0.0257574061508784,338.31,0.2094436285,0.0005131294,2.80046e-05,0.0123526349341915
4.0,142.794154,-0.0064432682139432,0.0259019355189107,338.228,0.209468332,0.0005264371,2.95686e-05,0.015206451446863
5.0,142.744993,-0.004593803792695,0.0257899314159799,338.154,0.2094686635,0.0005046527,3.04683e-05,0.0084170802060767
6.0,142.628866,0.0102844648800764,0.0259412837267162,338.076,0.2094406472,0.0004888935,2.8734e-05,-0.001851945038356
7.0,142.774309,0.0310576935094396,0.0258367556968171,338.023,0.2093970565,0.0004850609,2.76738e-05,-0.0014500934644476
8.0,142.728067,0.0235236488486906,0.0257667578600132,338.069,0.2094122399999999,0.0004907884,2.67511e-05,-0.001589578157033
9.0,142.707278,-0.0009041283466806,0.0258182964558067,338.061,0.2094585916999999,0.0005191131,2.78406e-05,-0.0010829640046825
10.0,142.631134,-0.0152415489533657,0.0256437262214458,338.062,0.2094878625,0.0005250572,2.9436900000000003e-05,0.0039918167573278
11.0,142.612166,-0.0127057158841517,0.0254328247664903,338.041,0.2094864199,0.0005081209999999,2.86507e-05,0.0006112210263631
12.0,142.595537,0.00511664368109,0.0257815205955448,338.036,0.209452954,0.0004871419,2.60115e-05,0.0043310238679597
13.0,142.686292,0.0238194137274676,0.0256906563679982,338.038,0.2094147114,0.000479243,2.43132e-05,-0.0040575418789678
14.0,142.708298,0.0115553757395175,0.0251736361120175,338.044,0.2094390173,0.0004876361,2.41524e-05,-0.0082951016910788
15.0,142.492931,-0.0069108274646319,0.0252445061594132,338.078,0.2094747276,0.0005084438,2.59922e-05,-0.0086781066880443
16.0,142.495956,-0.0134396510793228,0.0255888879108644,338.11,0.2094913579,0.0004924869,2.79643e-05,0.0013874147635979
17.0,142.431697,-0.006813080222592,0.0257139252117037,338.14,0.209481514,0.000472479,2.67525e-05,-0.001823180956776
18.0,142.414065,0.0123287151553295,0.0255438913002659,338.202,0.2094425089,0.0004631895,2.50752e-05,0.0028529991907919
19.0,142.413999,0.0243051348204024,0.025210076230998,338.216,0.2094155616999999,0.000466774,2.34729e-05,-0.0002180649791354
20.0,142.33033,0.0092032629690664,0.0257000663586711,338.249,0.2094441747,0.0004914856,2.31185e-05,-0.0051013408938454
21.0,142.232127,-0.0090849576392175,0.0258105332130841,338.226,0.2094782847,0.0005139664,2.49236e-05,-0.0061385217785285
22.0,142.291281,-0.0150695673739237,0.0261420011655016,338.257,0.2094913251,0.0005086083,2.65158e-05,-0.0005843548752691
23.0,142.310526,-0.0001494098729361,0.0258354075361726,338.277,0.2094614624,0.0005007998,2.59401e-05,-0.0001046554238504
24.0,142.394708,0.0219649491511838,0.0254441453551863,338.299,0.2094136354999999,0.0005014767,2.42199e-05,-5.2321989733528494e-05
25.0,142.414612,0.034564211481324,0.0255633531677318,338.319,0.2093832196,0.0005176639999999,2.3824900000000003e-05,-0.0043320561795778
26.0,142.414675,0.0237409944679739,0.0259203809327949,338.325,0.2093990979,0.0005553137,2.5180100000000003e-05,-0.0050462753984225
27.0,142.490753,0.0091594152958748,0.0257295555753496,338.336,0.2094239809,0.0005806027,2.78544e-05,-0.0013162721819283
28.0,142.50931,0.013589599950735,0.0256369916841808,338.367,0.2094166857,0.0005667667,2.93703e-05,0.0009240382348381
29.0,142.593446,0.0265641562646532,0.0256846772429665,338.366,0.2093932195,0.0005471411,2.8123800000000003e-05,0.0071242811499047
30.0,142.530034,0.048675064827018,0.0253588991401606,338.418,0.20934782,0.0005303624,2.73375e-05,-0.0006884931369959
