Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m)
0.0,59.423873,-0.0082374780506549,0.0271870569942461,323.946,0.209499096,0.0004290506,2.7707e-06,8.771938596513905e-05
1.0,59.422581,0.0031586091815402,0.0270907102640352,324.014,0.2094803979,0.0004095705,1.1932e-06,6.140409211205404e-05
2.0,59.502928,0.0257474920366894,0.027236742047789,324.105,0.2094370852,0.0003990864999999,-4.513e-07,2.6315355270014485e-05
3.0,59.521618,0.0370411199769742,0.0271124886946603,324.168,0.2094125319999999,0.0004056988,-1.1356e-06,-8.771592117613595e-06
4.0,59.521476,0.0192442820977204,0.0275257473975733,324.211,0.2094457784,0.0004226256,-2.676e-07,0.000175428421648
5.0,59.521836,0.0036915091507487,0.0273142678392676,324.257,0.209473981,0.0004335738,2.2207e-06,-5.26285791182652e-05
6.0,59.521608,0.0014775542707715,0.0275358622841817,324.31,0.2094796849,0.0004268164,2.9228e-06,9.648577662373584e-05
7.0,59.521321,0.0153947791172703,0.0274847803349511,324.358,0.2094570184999999,0.0004043237999999,6.711999999999999e-07,5.262989478970035e-05
8.0,59.521381,0.0387632006543021,0.0272238916703931,324.369,0.2094109186,0.00039746,-7.519000000000001e-07,7.017621053513104e-05
9.0,59.441418,0.037382181177647,0.0271936804600173,324.373,0.209412762,0.0004024648,-1.2025e-06,2.631640791020915e-05
10.0,59.423306,0.0165435920378741,0.0279102225692333,324.419,0.2094509521,0.0004257025,1.37e-08,-0.0001754500007471
11.0,59.42278,0.0023262578046555,0.0272236143608697,324.478,0.2094765981999999,0.0004337783,2.5186000000000003e-06,7.01790879082883e-05
12.0,59.423661,0.0044679100932085,0.0271081706120341,324.553,0.209476082,0.0004159683,2.0444e-06,-0.0001403605620751
13.0,59.424091,0.0185586021193621,0.0271069380050207,324.598,0.2094506599,0.0004023271999999,2.4640000000000004e-07,1.7545298364889956e-05
14.0,59.504081,0.0425169186638668,0.0279190654527417,324.582,0.209405474,0.000397468,-9.327e-07,7.89542769209648e-05
15.0,59.521536,0.0335550316972732,0.0276080366262317,324.59,0.2094202079,0.0004087476,-9.304e-07,4.386423293428716e-05
16.0,59.521318,0.0122996047026376,0.0280547249003525,324.654,0.2094581002,0.0004314814,6.547e-07,6.14084521532901e-05
