Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m)
0.0,-1.54436,0.0220305299423997,0.0269768524299228,328.148,0.2094506671,0.0004226819,-9.832e-07,0.0
1.0,-1.544044,0.0052802783660977,0.026683363440057,328.084,0.2094802848999999,0.0004449018,-5.526e-07,-6.140200442154986e-05
2.0,-1.544123,-0.0132728541995322,0.0268758437930024,328.075,0.209514999,0.0004607361,7.331999999999999e-07,0.0
3.0,54.449578,-0.0183772437788868,0.0268391255313601,328.112,0.2095277146999999,0.0004475511,2.6529e-06,-4.385765360000846e-05
4.0,68.231565,-0.0101199116252217,0.0269012196799173,328.058,0.2095140498,0.0004328234,1.4714e-06,-8.771807019427104e-05
5.0,68.183975,0.0117413555241293,0.0267317577797518,327.947,0.2094711617,0.0004235999,-8.51e-08,-3.508652635545849e-05
6.0,68.145573,0.0206311878008934,0.0268149116157363,327.883,0.2094530157,0.0004241826,-1.0818e-06,-2.6314276402799563e-05
7.0,68.225603,0.001387848514769,0.0268551011607077,327.891,0.2094878129,0.0004475345,-3.983e-07,-0.0001666560840107
8.0,68.243773,-0.0151510758363582,0.0266302772956833,327.982,0.2095188795,0.0004613985,1.1866e-06,-8.77165790310244e-05
9.0,68.164401,-0.0252602507821282,0.0266896537330169,327.99,0.2095421332,0.0004481133,2.7098e-06,-8.771894736980296e-05
10.0,67.824461,-0.0169388584482369,0.0269375900151964,328.02,0.2095280648,0.000433236,1.3264e-06,-0.0002017514605786
11.0,67.749081,0.0059641999938714,0.0268523810324114,328.072,0.2094824772,0.000427796,-4.222e-07,-0.0001754342106408
12.0,67.911353,0.015849546974646,0.0269960534159914,328.09,0.2094606967,0.0004359107,-1.0737e-06,-0.0002105303158757
13.0,67.948779,-0.0015455243114459,0.0267122196435558,328.086,0.2094934899,0.0004495447,-4.1350000000000004e-07,-0.0001929886317836
14.0,68.109148,-0.0176553009725027,0.0268388118966794,328.078,0.2095215156,0.0004709062,2.0966e-06,-4.3859758772582656e-05
15.0,68.14712,-0.0189642959021325,0.0268854710691374,328.045,0.2095254399,0.0004633371,2.9841e-06,-0.0002456172281273
16.0,68.225634,-0.0046558604464883,0.0269565712860434,328.071,0.2095013375,0.0004402447999999,1.006e-06,-1.754387719253645e-05
17.0,68.24516,0.0187397799439501,0.0269197452839589,328.061,0.2094556169,0.0004303262,-5.402e-07,-0.0001228072631608
18.0,68.243763,0.0150172838363404,0.0266571706358866,328.003,0.2094624303999999,0.000434026,-1.1231e-06,-9.649214474603324e-05
19.0,68.243905,-0.0055974182966091,0.026670780571772,328.021,0.2095001582,0.0004577674,-2.29e-07,-0.0001052634736867
20.0,68.244336,-0.0243915518386569,0.0266134143148376,328.043,0.2095376134,0.0004627997999999,2.0629e-06,-0.0002017593290777
21.0,68.243933,-0.0252370856180573,0.026600295375518,328.096,0.2095421723999999,0.0004486533,2.6403e-06,-0.000219299013171
22.0,68.244617,-0.0094761986004237,0.0272090612893096,328.161,0.2095133019,0.0004303359,6.514e-07,-0.0001052665264247
23.0,68.245442,0.0118251064297663,0.0271782061366256,328.143,0.2094715560999999,0.0004241567999999,-8.988e-07,-0.0001403511578974
24.0,68.244316,0.0022241716467314,0.0268783565669652,328.162,0.2094884389,0.0004374780999999,-1.1123e-06,8.771745618114107e-05
25.0,68.244648,-0.0184387797330959,0.0265076754585472,328.16,0.2095258344,0.0004633219,2.79e-07,-3.508628076145655e-05
26.0,68.165615,-0.0265966850915535,0.0265144768912406,328.11,0.2095412063999999,0.0004681108999999,2.3782e-06,-5.262915800565769e-05
27.0,68.145658,-0.0158052815313373,0.0267490569467777,328.08,0.209523216,0.000445228,1.9762e-06,1.7542771995121908e-05
28.0,68.145939,0.0081180357801659,0.0269481673408002,328.009,0.2094759369,0.0004373552,-3.23e-08,-0.0001403431583223
29.0,68.146173,0.0298212835393071,0.026981918851269,327.999,0.2094313597,0.0004382817,-1.0339e-06,-0.0001228000179445
30.0,68.225434,0.0227746900119199,0.02660192530218,328.059,0.209440963,0.0004582884999999,-8.487e-07,-1.7543438604870564e-05
31.0,68.164634,0.0049752427993163,0.0265929126195678,328.13,0.2094722524,0.0004836281,9.44e-07,-9.648886409342736e-05
32.0,68.145536,-0.0040051856978194,0.0268858695108234,328.212,0.2094877628,0.0004957986,2.7717e-06,-7.017396494349271e-05
33.0,68.146221,0.0095952946349355,0.0270633139115514,328.226,0.2094618852,0.0004868833999999,2.0141e-06,-0.0001754307021149
34.0,68.146089,0.0296168755401763,0.0265750143785775,328.236,0.2094169632999999,0.0005027257999999,6.69e-08,-6.139985547927295e-05
35.0,68.145695,0.0429092390547977,0.0270330399311899,328.266,0.2093761117,0.0005739917,-1.0489e-06,-0.000166657417185
36.0,68.145778,0.0179338770606354,0.0268649654798245,328.311,0.2093889926,0.0007564479,-8.98e-07,8.771460550954808e-06
