Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m)
0.0,88.293475,-0.0079819534031763,0.0267666669886378,326.965,0.2094663413,0.0004405342999999,2.2492e-06,-1.754378947402939e-05
1.0,88.293265,0.0081450608431551,0.0267984068855329,326.934,0.2094367099999999,0.0004248535,5.016e-07,-6.140317105401817e-05
2.0,88.13253,0.028552907964548,0.0264072679848697,326.989,0.2093949376,0.0004200493,-9.469e-07,-5.263115789745061e-05
3.0,88.09278,0.0191929295004968,0.0266478339995528,327.047,0.2094147188,0.0004219392999999,-1.1668e-06,0.0
4.0,88.170651,-0.0006946915108637,0.0271203664440827,327.108,0.209451634,0.0004415184,3.009e-07,1.7544368436153453e-05
5.0,88.189881,-0.0105141242195859,0.02688182510674,327.177,0.2094704912,0.0004448325,2.6013e-06,0.0002105309474801
6.0,88.189513,-0.0062021339842536,0.026516656217822,327.237,0.2094648857,0.0004304302,2.2294e-06,0.0001052653684684
7.0,88.189855,0.0131880079700655,0.0266207821376523,327.296,0.2094284113,0.0004143228,5.4e-08,7.894938162942624e-05
8.0,88.190697,0.0223309373236915,0.0266217080705272,327.334,0.2094102092,0.0004118299999999,-1.0945e-06,8.771890352917525e-06
9.0,88.273798,0.0057300557089997,0.0265291320872276,327.368,0.2094421695999999,0.0004244602,-8.904e-07,-8.771837719643713e-06
10.0,88.295158,-0.012404968856184,0.026561429773138,327.418,0.2094760977,0.0004406990999999,1.1105e-06,0.0001842124605535
11.0,88.211768,-0.0193705028846626,0.0267564546983618,327.477,0.2094900035,0.0004397798,2.8119e-06,0.0
12.0,88.274113,-0.0117594213035169,0.0267231533693941,327.545,0.2094779174,0.0004242956,1.4461000000000002e-06,-2.631614474137816e-05
13.0,88.294185,0.0005839248307921,0.0264320168039014,327.577,0.209454912,0.000414389,-4.199000000000001e-07,-0.0001052663158859
14.0,88.210353,0.0089036747024384,0.0270129444403078,327.594,0.2094360554,0.0004239678999999,-1.2031e-06,-0.0001842152238108
15.0,88.190592,-0.010397202391738,0.0267431341235434,327.627,0.2094675069,0.0004617928,5.741e-07,-0.0001579012107958
16.0,88.273534,-0.0188819165575588,0.0264301746767788,327.681,0.2094774075,0.0004925968,5.6915000000000005e-06,-7.895001324717358e-05
17.0,88.211242,-0.0115033109633341,0.026052402595859,327.754,0.2094590614,0.00049614,1.26848e-05,-0.0001403536842697
18.0,88.190171,0.0129428386762333,0.0261048366441491,327.855,0.2094060599,0.0004927607,1.71178e-05,-9.649137280726392e-05
19.0,88.113064,0.0423389906541332,0.0263379017694139,328.034,0.2093383533,0.0005068677,2.53781e-05,0.0001052643158027
20.0,88.093175,0.0506802514678522,0.0261802507276969,328.18,0.2093078484999999,0.0005458732,3.71171e-05,0.0001052629473699
21.0,88.010732,0.0407692065348123,0.0264024069689887,328.329,0.20931127,0.0006136164999999,4.92707e-05,-1.754342106428558e-05
22.0,87.914714,0.0304066084160843,0.026610546227749,328.486,0.2093044252,0.0007309622,6.26321e-05,1.754317546494423e-05
23.0,87.736227,0.0418939489860501,0.0267433221939409,328.7,0.2092396314,0.0009035858,7.722749999999999e-05,-3.5087157904456666e-05
24.0,87.134632,0.0843395558755769,0.0261959996556115,328.886,0.2090961353,0.0011204962,9.47783e-05,7.017347374040401e-05
25.0,87.070393,0.1715485726691164,0.0265436906603573,329.066,0.2088539176999999,0.0013649977,0.0001251081,7.017143882500535e-05
26.0,87.012624,0.2830819025400205,0.0266809420330343,329.36,0.2085532396,0.0016203564,0.0001722843,9.64885746354583e-05
27.0,86.99342,0.4290294627039372,0.0261691070127365,329.908,0.2081595181999999,0.0018694819,0.0002280367999999,9.64920482533093e-05
28.0,86.912818,0.5836448301405577,0.0254291143396199,330.592,0.2077277127,0.0020796675,0.0002920467,-0.0001403501754453
29.0,86.814381,0.7540723247769507,0.0255615140819021,331.338,0.2073102559,0.0022376918,0.0003463875,-1.7543859649029815e-05
30.0,86.552898,0.9091734098736352,0.0255152429947464,332.08,0.206922503,0.0023823652,0.0003890945999999,-8.771846493336021e-06
31.0,85.93115,1.0497985758456077,0.0257490816377867,332.805,0.2065966362,0.002512345,0.0004217609,4.3859890351752416e-05
32.0,85.950984,1.1298906715052608,0.0254956767059185,333.603,0.2063682502,0.0026179464,0.00044437,-6.14031096524118e-05
33.0,85.810772,1.197451343726945,0.025629137481015,334.358,0.2062038609,0.0027297476999999,0.0004629805,7.894914477813609e-05
34.0,85.709099,1.2609805365420563,0.0258367244783669,335.087,0.2060616012999999,0.002820521,0.0004822821,0.0001228087368695
35.0,85.694631,1.3023248542888748,0.0253298252726812,335.742,0.2058956834,0.0028857714,0.0004998921,5.263268423363398e-05
