Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m)
0.0,53.935584,0.015903262057203,0.0255106937572809,335.001,0.2094416595,0.0004706281999999,1.80046e-05,0.0010021435862172
1.0,54.255662,0.012269758829669,0.0259024143455132,335.002,0.2094478445,0.0004819742999999,1.7285099999999998e-05,0.0029411803456916
2.0,54.254633,-0.0072445340014083,0.0258781081356461,334.942,0.2094850625,0.0005019245,1.85889e-05,0.0046487138290095
3.0,54.144784,-0.0193404184542367,0.0255007092818409,334.855,0.2095092848999999,0.0005098565,2.05596e-05,0.000192732289636
4.0,54.051931,-0.0184312026619493,0.0261560694863164,334.794,0.2095096779,0.0004928984,2.10713e-05,-0.0007265107205931
5.0,53.796051,-0.0020701327484964,0.025820852828155,334.826,0.2094796347999999,0.0004743866,1.88971e-05,-0.0108566747312141
6.0,53.451888,0.0112219022038709,0.0263635628638503,334.774,0.2094526803,0.0004715515,1.73309e-05,-0.0051475872826701
7.0,53.583487,0.0014716123306563,0.0258006379031758,334.73,0.2094717723,0.000478291,1.72329e-05,0.0033654995955393
8.0,54.192815,-0.0186504444297992,0.0258938499365571,334.796,0.2095083776,0.0005057525,1.95436e-05,0.012835684675884
9.0,54.255213,-0.0230905857219268,0.0258567564727698,334.957,0.209516642,0.0005089695,2.14311e-05,0.013697995746105
10.0,54.236148,-0.0158826575825428,0.025858486714648,335.083,0.2095062927,0.0004859342,2.05598e-05,0.0264626135135805
11.0,54.074132,0.0018928726981834,0.0250935694856393,335.181,0.209471263,0.0004739858,1.83619e-05,0.0295420101152511
12.0,53.792897,0.0248525280677612,0.0259015702862554,335.218,0.2094214463,0.0004792766,1.72353e-05,0.04247924691527
13.0,53.734523,0.0141370157579176,0.025744674743774,335.228,0.2094416874,0.0004920124,1.6892800000000002e-05,0.0722761279077796
14.0,53.734869,0.0023759601051178,0.0258381676200827,335.231,0.2094616255,0.0005152799,1.85521e-05,0.0836004697128892
15.0,53.814158,-0.0032317087535116,0.0258683349084645,335.354,0.2094731682,0.0005155325,1.98468e-05,0.0791982122314054
16.0,53.755243,0.0030761310504322,0.0252764551937323,335.437,0.2094631822,0.0005001265,1.84578e-05,0.12319102258927
17.0,53.734945,0.0232048783782131,0.0256010359716356,335.51,0.2094226515,0.0004884028,1.67476e-05,0.1196747552386956
18.0,53.655638,0.0354022287868295,0.0258289039476009,335.573,0.2093971666,0.000488705,1.56957e-05,0.150055564809692
19.0,53.554174,0.0197065725152201,0.0257761566910376,335.607,0.2094278088,0.0005028206,1.5883e-05,0.1863776627194513
20.0,53.533955,0.0012330143784552,0.0251780177613601,335.706,0.2094621107,0.0005238192,1.88761e-05,0.2228244776943379
21.0,53.616231,-0.0030989605502316,0.0253103659509804,335.899,0.2094736874999999,0.0005097048,2.14785e-05,0.2343554324029129
22.0,53.636086,-0.001545811267512,0.0252146445949297,336.136,0.2094732141,0.0004948982,2.20057e-05,0.2306619221053477
23.0,53.636763,0.0094715100553999,0.0251958181772908,336.321,0.2094505345,0.0004869379,2.22045e-05,0.298791491581767
24.0,53.636076,0.0134010875366451,0.0254794172858637,336.394,0.2094398854,0.0004961954,2.32949e-05,0.3341800940502097
25.0,53.548009,-0.004985058278689,0.025129279163093,336.549,0.2094750236999999,0.0005161727,2.5891e-05,0.5575165796207292
26.0,53.532801,-0.0214021583119768,0.0248808538904457,336.698,0.2095055714,0.0005385071,3.0274e-05,0.6426476603552174
27.0,53.455268,-0.024900735210149,0.0253613347746068,336.902,0.2095127113,0.000529734,3.4478e-05,0.6448794106038398
28.0,53.389406,-0.007470161748637,0.0252842075148819,337.02,0.2094776801,0.0005141591,3.50228e-05,0.7697987907909546
29.0,53.423566,0.0191531580393283,0.0256204058617248,337.419,0.2094189487,0.0005150467,3.68373e-05,0.6961851917442278
30.0,53.272765,0.0208476700444038,0.0241670183972571,339.463,0.2094089487,0.0005253687,4.1023600000000005e-05,0.6978865995888788
31.0,53.395111,0.0022511546901349,0.0230393330017597,342.358,0.2094440454,0.0005515421,4.65119e-05,0.781997878350274
32.0,53.354845,-0.0093199150538371,0.0229902006063303,345.037,0.2094647337,0.0005721382,5.49848e-05,0.9432121372687472
33.0,53.094111,-0.0068607593754782,0.0234541403462862,347.641,0.2094555613,0.0005717949,6.36032e-05,1.0955810886624286
34.0,52.7934,0.0050946691437806,0.0231206384395114,350.142,0.2094258814,0.0005676635,6.959449999999999e-05,1.206265442824534
35.0,52.255927,0.0287498919289492,0.0236301849589377,352.079,0.2093663243,0.0005782,7.54521e-05,1.2601092838398975
36.0,52.21567,0.0240604189183283,0.0236715892988627,353.726,0.2093597514,0.0006494433,8.345689999999999e-05,1.1811322799600688
37.0,52.154688,-0.0158350587110104,0.0235158601211225,355.212,0.2093757537,0.0010031228,9.40968e-05,1.0976347041974372
38.0,52.054399,-0.0923238458378229,0.0234618090603266,356.577,0.2093682893,0.0018794697,0.0001072126,1.1319109363422104
