Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.207801,0.00055216,-1.197e-05,1002293.0451841555,0.003391442733643335,,10.01913698,-221.37572627
1.0,0.20780717,0.00056723,-1.23e-05,1105719.7021246227,0.0037414243101664513,,11.01311635,-221.41783982
2.0,0.2078429,0.0005724,-1.212e-05,843124.5592014283,0.002852933616763309,,8.22108806,-221.40065329
3.0,0.20787206,0.00060124,-1.085e-05,647628.0466077529,0.0021914566130870976,,6.20417616,-221.38622186
4.0,0.20780737,0.00061501,-9.16e-06,330886.23208241246,0.001119623073937358,,3.29528198,-221.37074086
5.0,0.2078431,0.00061285,-8.14e-06,884926.77575669,0.0029943867309640444,,8.62763709,-221.43345201
6.0,0.2078467,0.00058022,-7.72e-06,1122382.299633411,0.0037978738170959237,,10.91904083,-221.40655706
7.0,0.20780552,0.00055762,-8.49e-06,846281.0510341165,0.0028635483851117156,,8.43718749,-221.38976412
8.0,0.20784136,0.00053305,-7.95e-06,593703.8915514766,0.0020089372440240632,,5.7943696,-221.36063886
9.0,0.20786795,0.00051847,-8.81e-06,580296.3478027107,0.0019635942289972417,,5.57306229,-221.4131168
10.0,0.20781538,0.00051383,-1.031e-05,1064370.154223513,0.003601499335478086,,10.54996206,-221.37074086
11.0,0.2078355,0.00049281,-1.166e-05,906905.1450825342,0.0030687138731790554,,8.88221198,-221.39238802
12.0,0.20781281,0.0004819,-1.267e-05,574191.1072747117,0.0019428793903786762,,5.69996957,-221.40170285
13.0,0.20778375,0.00047261,-1.332e-05,668417.6658360489,0.0022616776623553443,,6.74915597,-221.36286917
14.0,0.20784228,0.00050894,-1.167e-05,1112352.9699310502,0.003763911246567499,,10.85020462,-221.397767
15.0,0.2078468,0.00051859,-1.078e-05,834835.683526005,0.002824872872341591,,8.12112096,-221.38661544
16.0,0.20782113,0.00049998,-1.38e-05,401753.6435685312,0.0013594154756078564,,3.96862109,-221.35735899
17.0,0.20785275,0.00049448,-1.483e-05,701268.8087346388,0.002372924467570989,,6.79733409,-221.39579908
18.0,0.20782113,0.00048711,-1.457e-05,1124619.4183831639,0.003805376402101423,,11.10925789,-221.39881656
19.0,0.2078429,0.00051041,-1.786e-05,998733.9345957341,0.0033794710086983305,,9.73837196,-221.38687783
20.0,0.20786158,0.00052686,-1.947e-05,788498.764737951,0.0026681195760040314,,7.60208842,-221.40183405
