Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20670562,0.00067787,-2.313e-05,6256753.448234956,0.021281694519738454,,103.7391435,-0.04520545
1.0,0.2067513,0.00070418,-2.49e-05,6268782.652798946,0.021323191363014304,,102.24246253,-0.04629799
2.0,0.20668109,0.00070919,-2.316e-05,6239717.607428461,0.02122355491130259,,104.36394941,-0.04632124
3.0,0.20672112,0.00071811,-2.04e-05,6236016.026135285,0.021211372289117836,,102.82287479,-0.04662343
4.0,0.20677932,0.0007011,-2.04e-05,6252470.314932519,0.0212679302801647,,100.9379091,-0.04474054
5.0,0.206763,0.0006719,-2.101e-05,6267581.308718043,0.02131909845030986,,101.78768169,-0.04836684
6.0,0.2067361,0.00065043,-2.145e-05,6262092.44732809,0.021300096379323577,,102.69615997,-0.0465072
7.0,0.20673785,0.00065222,-2.599e-05,6259956.201159986,0.021292923908358435,,102.59676668,-0.04546115
8.0,0.20676074,0.00065276,-2.964e-05,6259523.637970532,0.021291758004427445,,101.74101492,-0.04866903
9.0,0.20673436,0.00067845,-3.299e-05,6271434.989930423,0.02133209895109734,,102.91538821,-0.04369449
10.0,0.20674647,0.00070919,-3.3e-05,6256566.899021064,0.02128172513927669,,102.22272813,-0.04783219
11.0,0.20673888,0.00070564,-3.243e-05,6254240.202131329,0.02127371214880117,,102.46610742,-0.04562387
12.0,0.20674924,0.0006895,-3.442e-05,6219441.150275136,0.02115544986867618,,101.51391677,-0.04822737
13.0,0.20674154,0.00068617,-3.48e-05,6232802.115757952,0.02120081293449924,,102.01628859,-0.04534492
14.0,0.20673713,0.0006458,-2.958e-05,6249767.167073906,0.021258300326782,,102.45658204,-0.044973
15.0,0.20671106,0.00062145,-3.188e-05,6265603.842816536,0.021311867646711457,,103.68398395,-0.04501949
16.0,0.20672153,0.00060927,-3.34e-05,6273656.809026029,0.021339368945647252,,103.42805997,-0.04501949
17.0,0.20670737,0.00060026,-3.108e-05,6281892.255425704,0.021367171074923905,,104.09076711,-0.04741377
18.0,0.20671753,0.0006513,-3.214e-05,6251807.5962238675,0.021265081509789407,,103.21649406,-0.06145406
19.0,0.20671342,0.0006506,-2.873e-05,6176966.334281203,0.02101041631669902,,102.13087511,-0.05787425
20.0,0.20672543,0.00067708,-2.416e-05,6208731.611372176,0.02111857974365272,,102.21424704,-0.05745583
21.0,0.20673344,0.0006782,-2.101e-05,6224287.345147634,0.02117153111551282,,102.17485524,-0.05787425
22.0,0.20669043,0.00065681,-2.278e-05,6243372.959831198,0.021235966057437175,,104.07897291,-0.05829267
23.0,0.20669484,0.0006385,-1.943e-05,6260387.585353139,0.02129379332294575,,104.19844557,-0.06231415
24.0,0.20669269,0.00065168,-1.824e-05,6279504.551767764,0.02135880448644389,,104.59687891,-0.06166327
25.0,0.20672379,0.00068725,-1.615e-05,6267058.756174834,0.021316855310905342,,103.23497189,-0.05847864
26.0,0.20669361,0.00071778,-1.637e-05,6293060.072857423,0.021405040758451756,,104.78881115,-0.05599137
27.0,0.2067671,0.00072633,-2.175e-05,6287502.791625742,0.021387039378675872,,101.95889172,-0.0607567
28.0,0.20673652,0.00072282,-2.841e-05,6279487.606932396,0.02135954079962136,,102.96746737,-0.05801373
29.0,0.20673559,0.00071215,-3.084e-05,6283449.698744351,0.021373021852794223,,103.06689647,-0.05538698
30.0,0.20671937,0.00066974,-2.792e-05,6306637.555375396,0.02145157686997847,,104.05256984,-0.056619
31.0,0.20673754,0.0006498,-2.62e-05,6282250.791107244,0.021368752330184617,,102.97361274,-0.05445716
32.0,0.20673528,0.00063729,-3.027e-05,6314262.8893960435,0.021477651138358454,,103.58298581,-0.05710715
33.0,0.20671732,0.0006287,-3.198e-05,6317762.811376736,0.021489367712934623,,104.31283016,-0.05571242
34.0,0.20669566,0.00066336,-3.158e-05,6294469.13348019,0.021409972411789307,,104.73628563,-0.05320191
35.0,0.20675694,0.00066169,-3.149e-05,6311836.549924961,0.021469708159221737,,102.73356846,-0.05940846
36.0,0.20676823,0.00062645,-3.177e-05,6293070.429405564,0.021405923006242226,,102.00675634,-0.05455015
37.0,0.20668838,0.00060239,-3.194e-05,6295442.182117866,0.021413071592130104,,105.02365928,-0.05808346
38.0,0.20677028,0.00059667,-2.737e-05,6272169.261548538,0.021334714175502496,,101.59102218,-0.06117512
39.0,0.20672666,0.00059697,-2.876e-05,6283033.0140539855,0.021371216672100277,,103.39109576,-0.05515453
40.0,0.20667452,0.00057983,-3.17e-05,6289805.02859309,0.021393692630687085,,105.44573128,-0.05696768
41.0,0.20670357,0.00057753,-3.565e-05,6271595.634093244,0.021332127731975258,,104.06137356,-0.05959442
42.0,0.20672266,0.00056194,-2.764e-05,6260051.026626374,0.021292906326156984,,103.16092692,-0.05573567
43.0,0.20669895,0.00055514,-2.537e-05,6263339.348614249,0.02130378416195083,,104.09475791,-0.05785101
44.0,0.20671198,0.0006008,-3.011e-05,6277154.284748696,0.021351091348290562,,103.84040451,-0.05675847
45.0,0.20671044,0.00061573,-3.331e-05,6270088.939167662,0.02132712614548489,,103.78112935,-0.05736285
