Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20957209,0.00056885,7.27e-06,1873.0062730239472,0.026592838927598988,,-7.90533697,39.59823492
1.0,0.20961196,0.00058453,6.41e-06,1867.8380915579144,0.026520050635732723,,-12.2444676,39.5931087
2.0,0.20956904,0.00062386,4.06e-06,1862.4753984865386,0.02644349577613246,,-7.52819942,39.59494888
3.0,0.20956447,0.00062716,1.05e-06,1882.2373900494065,0.02672408350561445,,-7.10367851,39.5712894
4.0,0.2096141,0.00060609,4e-08,1876.0289465272715,0.0266365578379183,,-12.53291731,39.59836636
5.0,0.20957799,0.00059284,2.1e-06,1867.5765929638105,0.026515992718271642,,-8.52756811,39.54657839
6.0,0.20956396,0.00057683,5.32e-06,1866.2312997398142,0.02649659991534364,,-6.98764282,39.59876068
7.0,0.20960159,0.00057243,5.07e-06,1854.273851995758,0.02632731747683313,,-11.02897498,39.5829877
8.0,0.20961735,0.00061432,4.04e-06,1876.4867794486306,0.026643047687481533,,-12.89363515,38.41315789
9.0,0.20959935,0.00062411,5.33e-06,1878.2445077878217,0.026667766938515015,,-10.92548718,37.40578973
10.0,0.20958165,0.00062008,7.27e-06,1868.8055457312187,0.026533466861522626,,-8.93385063,37.8576858
11.0,0.20960027,0.00063707,5.02e-06,1858.187023117979,0.026383039884593458,,-10.90844307,37.35755075
12.0,0.20959325,0.00061152,1.89e-06,1871.0117443077847,0.02656502423770519,,-10.21478728,38.27212106
13.0,0.20958867,0.00058412,2.35e-06,1870.4200415228781,0.026556477061134086,,-9.71021673,38.01725586
14.0,0.20958593,0.00056807,5.46e-06,1866.0736757592897,0.026494626298436744,,-9.38753565,37.75516148
15.0,0.20959254,0.00057556,8.03e-06,1863.2529513628224,0.026454636688693828,,-10.09466203,38.88845054
16.0,0.2095964,0.00060815,7.5e-06,1862.8593706489216,0.026449200268893636,,-10.5141897,38.58574075
17.0,0.2096083,0.0006051,5.81e-06,1880.6778918309653,0.0267023737657121,,-11.92538757,38.77343917
18.0,0.20958074,0.00059362,5.02e-06,1864.8335295491288,0.02647702926553757,,-8.81489481,38.36491879
19.0,0.20956914,0.00061057,4.4e-06,1861.10033283652,0.026423930516685373,,-7.53371253,38.42406748
20.0,0.20959518,0.00062131,4.5e-06,1854.1127535475732,0.026325091606054903,,-10.33234006,37.52816195
21.0,0.20953121,0.00059897,7.1e-06,1872.2085106435338,0.026581055614863913,,-3.42022094,38.5325068
22.0,0.20957189,0.00058041,9.97e-06,1881.4843640031645,0.026713188032283067,,-7.91870441,37.89527814
23.0,0.20960037,0.0006065,8.72e-06,1885.1339261136393,0.026765483223629868,,-11.07779749,38.7089014
24.0,0.2095189,0.00060333,9.11e-06,1874.1859194656483,0.026608939777226625,,-2.07358669,38.29433466
25.0,0.2095487,0.00058992,7.36e-06,1859.274213739546,0.026397619478360102,,-5.30080684,38.38095469
26.0,0.20954911,0.00059004,6.1e-06,1863.9483713487014,0.02646401212697088,,-5.35853528,37.39185702
27.0,0.20954158,0.00056795,5.69e-06,1877.832732309238,0.026660985406590582,,-4.57098464,38.1224091
28.0,0.20952236,0.00055569,5.26e-06,1862.787937057074,0.026447102911147376,,-2.43806245,38.33245274
29.0,0.20949398,0.00056375,7.42e-06,1867.7382270911696,0.026516989219351986,,0.65785977,37.96941112
30.0,0.20952816,0.00059593,8.65e-06,1849.0386385986642,0.026252018841633064,,-3.04760213,38.57154494
31.0,0.20951076,0.00059679,6.38e-06,1866.1356929815356,0.026494571945124116,,-1.17583683,37.59072811
32.0,0.20951453,0.00058881,6.34e-06,1882.0318047253197,0.026720286770419602,,-1.60044019,37.89186064
33.0,0.2094773,0.00060378,1.128e-05,1875.4094395933353,0.026625715488891373,,2.4914902,37.55234716
34.0,0.20948666,0.00065378,1.187e-05,1865.0025110004174,0.026478217291693674,,1.45628341,37.93287037
35.0,0.20941618,0.00067188,1.167e-05,1848.8422998162434,0.02624791064377986,,9.06965388,38.46547164
36.0,0.20930338,0.00070821,1.054e-05,1846.318493679726,0.0262107187801705,,21.23913567,38.97875092
37.0,0.20920127,0.00069225,1.215e-05,1853.6889740558224,0.026313927632792757,,32.39059587,38.69470566
38.0,0.20914116,0.00067151,1.394e-05,1841.2312560784746,0.02613620443851759,,38.64086512,39.45824966
39.0,0.20897538,0.00067246,1.458e-05,1835.45873549019,0.026052081147451597,,56.29329057,39.50464853
40.0,0.20885049,0.00070282,1.162e-05,1835.5483031979436,0.026051852176049342,,69.67788335,39.49899654
41.0,0.20873881,0.00069891,8.2e-06,1831.225250741783,0.0259890847983557,,81.44392103,39.46022128
42.0,0.2086544,0.00068542,7.66e-06,1842.9462020860942,0.026154288901544063,,91.03668872,39.43459018
43.0,0.20855299,0.00073121,1.052e-05,1838.4779047827378,0.026089611378757968,,101.6817789,39.4435282
44.0,0.20847824,0.00076746,1.027e-05,1826.9403921917328,0.025925007531571977,,109.0006861,39.43432729
45.0,0.20836596,0.00076396,1.082e-05,1827.6710834619898,0.02593388193306698,,120.9947549,39.40054681
46.0,0.20823893,0.00074504,1.059e-05,1812.1475792350052,0.025711906923178287,,133.3644361,39.38332797
47.0,0.20810589,0.0007515,1.151e-05,1806.4476375618647,0.02562930186923592,,146.9225319,39.38792842
48.0,0.20803317,0.00075504,1.258e-05,1799.8685901902822,0.02553500646599803,,153.9964369,39.36229732
49.0,0.20782681,0.00077034,1.708e-05,1790.759912475686,0.025403070258279474,,174.6858012,39.31208664
50.0,0.20766591,0.00079412,2.073e-05,1803.6266457184322,0.025583490588691943,,192.7855063,39.29289618
51.0,0.20751691,0.00085535,2.594e-05,1804.712440344836,0.02559701327574748,,208.4987005,39.27659742
52.0,0.20731645,0.00090147,3.021e-05,1780.2612545236088,0.02524766726307403,,226.3561154,39.24189685
53.0,0.20716989,0.00092978,3.399e-05,1783.1103202576894,0.02528617969948447,,241.8505241,39.20036132
54.0,0.20705659,0.00099166,3.698e-05,1775.2352661193315,0.025173151100513175,,252.4227889,39.16763237
55.0,0.2068845,0.00106811,3.973e-05,1755.4949289581964,0.02489118083501743,,267.0873299,39.14134406
56.0,0.2065747,0.00111847,4.268e-05,1756.0812416928225,0.024895600769779015,,298.6014287,39.11360989
57.0,0.20642387,0.00113304,4.741e-05,1763.0326934805298,0.024992155829527733,,315.1256975,39.06550228
58.0,0.20634932,0.00120579,5.132e-05,1766.1745149204878,0.025035851098968973,,323.2817093,39.02961873
59.0,0.20609383,0.00126878,5.484e-05,1759.2137191956288,0.024933985297065732,,347.9067822,38.95246254
60.0,0.20607441,0.00132799,5.717e-05,1766.4146845900443,0.02503591084761187,,351.3083802,38.93931838
61.0,0.20596263,0.00134465,5.851e-05,1747.2227058022988,0.024762480967220477,,358.7338193,38.89765141
62.0,0.20584638,0.00137423,5.76e-05,1744.8833022044867,0.02472792747170489,,369.9250306,38.83035333
63.0,0.20577112,0.00142069,6.068e-05,1740.747325577564,0.024668415348308374,,376.5832854,38.80130475
64.0,0.20560859,0.00148088,6.512e-05,1726.5787548466562,0.02446563815099514,,389.6472708,38.75175128
65.0,0.20558134,0.0015482,6.745e-05,1721.6240449724587,0.0243952177646394,,391.2270789,38.70456376
66.0,0.20536907,0.00157465,6.661e-05,1715.735767917607,0.02430917367510419,,410.7997585,38.61097737
67.0,0.20526198,0.00166402,6.704e-05,1703.138550707079,0.024129565504190494,,418.2518142,38.57680256
68.0,0.20511959,0.00172323,6.867e-05,1721.0145220303461,0.024381136719243853,,436.6943597,38.50503547
69.0,0.20495137,0.00178339,7.164e-05,1712.9057365757353,0.02426422699051556,,451.147701,38.47927293
70.0,0.20473646,0.00186769,7.499e-05,1703.7871041397636,0.02413249334906968,,469.707814,38.40553421
71.0,0.20444029,0.00192065,7.597e-05,1691.3726846190132,0.023953040570801724,,494.9259648,38.34980299
72.0,0.20415867,0.00199615,7.567e-05,1691.3291274977696,0.02394906395392247,,522.1107018,38.29893511
73.0,0.20390277,0.00209202,7.834e-05,1686.8629373216102,0.023882788463520117,,545.3479087,38.21008062
74.0,0.20371116,0.00214543,8.54e-05,1696.9819911777906,0.02402362603590884,,567.139345,38.15369219
75.0,0.20365593,0.00216769,9.118e-05,1678.994397407416,0.023768239433196316,,566.4046891,38.07574734
76.0,0.2034513,0.00222241,9.517e-05,1670.0459411704276,0.02363906005982157,,582.8277317,38.01620432
77.0,0.20315706,0.00232025,9.846e-05,1668.1174150725874,0.023608250758399802,,610.04596,37.93733938
78.0,0.20299799,0.00241793,0.00010144,1652.5951703379765,0.023386778191664258,,619.2936552,37.88029375
79.0,0.20266724,0.00249755,0.00010642,1638.9245596656071,0.023189322792449,,644.9019955,37.82758568
80.0,0.20230954,0.00258745,0.00010934,1643.844078595373,0.02325463366353217,,680.1190681,37.72953028
81.0,0.2022115,0.0026897,0.00011214,1634.7000975802016,0.02312426626550652,,685.4022331,37.61044423
82.0,0.20198957,0.00276812,0.00011443,1648.1105462162218,0.02331133576250902,,711.6896934,37.55431868
83.0,0.2018181,0.00282515,0.00011388,1619.6350980025024,0.022906598819161367,,715.0709164,37.47440222
84.0,0.20150952,0.00291398,0.00011369,1609.5349748974295,0.022760168384405522,,738.6140249,37.36977474
85.0,0.20123023,0.00302413,0.00011746,1604.230469385715,0.02268192268348703,,761.4049549,37.27119357
86.0,0.20099173,0.00310543,0.0001203,1587.7117795585345,0.022445601178767066,,774.8570448,37.19587756
87.0,0.20070919,0.00319776,0.00012317,1588.7435336340975,0.022456897325881298,,800.5689568,37.09913657
88.0,0.20046031,0.00328071,0.00012814,1577.5972899601954,0.022296422739220483,,816.9716704,37.02658083
89.0,0.20045096,0.00334165,0.00013049,1567.6975116628153,0.022156503582183837,,812.6709997,36.93141714
90.0,0.20023585,0.00344143,0.00013015,1570.7050682246565,0.022196635646988958,,833.1621406,36.80812496
91.0,0.20015703,0.00354779,0.00013434,1561.548230763754,0.022066466603504885,,835.2007051,36.68982756
92.0,0.19991771,0.00365662,0.00013864,1574.4207858552497,0.022245630737441527,,863.1638373,36.60333902
93.0,0.19938741,0.00376331,0.00013927,1559.1384970840354,0.022023485638555645,,900.9458402,36.48320143
94.0,0.19895953,0.00386091,0.00013933,1561.2212655548399,0.02204789524827739,,939.358956,36.38120278
95.0,0.1985405,0.00401528,0.00014086,1555.5879575409324,0.021963549751705235,,972.2085985,36.25751628
96.0,0.19838388,0.00415555,0.00014563,1538.972587535792,0.021727309155212794,,975.2125424,36.15341457
97.0,0.1982779,0.00428561,0.00015367,1546.8400380499604,0.02183726682917958,,989.297592,36.02249878
98.0,0.19798498,0.00440028,0.0001599,1526.2274575139616,0.02154289727038173,,1000.89131,35.93154122
99.0,0.19765627,0.00452491,0.00016521,1509.0715079029467,0.021297000202710335,,1017.092155,35.80272849
100.0,0.19723236,0.00462054,0.00016834,1503.71654689187,0.02121651010952869,,1048.689702,35.65393665
101.0,0.19664449,0.00472114,0.00017111,1484.1990492242846,0.020934314265413426,,1083.145547,35.54207989
102.0,0.19616668,0.00483186,0.00017794,1484.2050410659604,0.02092882302875048,,1122.116644,35.40827238
103.0,0.19593224,0.00496278,0.00018318,1472.2385005840747,0.020757508480044783,,1132.008609,35.2982558
104.0,0.19568052,0.00511103,0.00018546,1464.4480066705244,0.02064498353337463,,1146.226852,35.18127281
105.0,0.19542188,0.00530145,0.00018835,1451.0981217697183,0.02045412355963002,,1156.331282,35.02735475
106.0,0.19499125,0.00545242,0.00019213,1446.9471490474307,0.020390811063049227,,1187.068252,34.90248527
107.0,0.1945886,0.00560725,0.00019314,1461.474398980094,0.020591051287397667,,1231.078057,34.75014451
108.0,0.19427992,0.00578434,0.00019614,1433.1991243785808,0.02018939205399595,,1231.350143,34.59096879
109.0,0.19392263,0.00595616,0.00020162,1432.965589683609,0.020182182276287715,,1258.976965,34.44165118
110.0,0.19369775,0.00610568,0.00020769,1426.4884198436346,0.020088547119305532,,1270.699567,34.30626638
111.0,0.19338317,0.0062529,0.00021064,1429.1194483244028,0.02012215659578745,,1297.412206,34.11961937
112.0,0.19320682,0.00642485,0.00021554,1420.770704926255,0.02000283699206427,,1303.408547,34.03536533
113.0,0.19307327,0.00660877,0.00022165,1430.254188706031,0.02013508991831916,,1322.454843,33.8638341
114.0,0.19278667,0.00673591,0.00022869,1419.7666176375344,0.01998422707394313,,1334.743491,33.71661956
115.0,0.19236723,0.00687185,0.00023555,1399.9636487948028,0.01970076291397077,,1347.793103,33.54482544
116.0,0.19177326,0.00710215,0.00024236,1393.3347182749822,0.019600916768489258,,1385.938903,33.39695369
117.0,0.19142644,0.00722488,0.0002502,1385.6768904109538,0.019489274061350106,,1404.112268,33.20058001
118.0,0.19076932,0.00737905,0.00025478,1393.0431334799514,0.019585362265994506,,1460.577636,33.0661153
119.0,0.1902082,0.00755701,0.00026167,1374.3634239382736,0.019316422219244803,,1482.151626,32.87749667
120.0,0.18972113,0.00775159,0.00026628,1385.6320486096076,0.01946935674991744,,1530.239459,32.6840147
121.0,0.18907001,0.00791699,0.00026938,1359.3181459654738,0.01909227426529426,,1548.158872,32.54902422
122.0,0.1881579,0.0081107,0.00027573,1355.006283207917,0.019021247864897745,,1608.581034,32.35370207
123.0,0.18764836,0.008341,0.000285,1345.2243072788679,0.018878269781026764,,1633.089319,32.16797516
124.0,0.18740263,0.00859009,0.00029031,1333.8254437210235,0.01871588005164371,,1636.515329,31.93887253
125.0,0.18702215,0.00882553,0.00029618,1327.5650000748367,0.01862398986777734,,1655.373762,31.77562212
126.0,0.18667462,0.00903158,0.00029902,1312.3383860134666,0.018406731351263562,,1660.30841,31.57385933
127.0,0.18630197,0.00923542,0.00030274,1319.014528344682,0.018496374092039875,,1694.484758,31.37367385
128.0,0.18581083,0.00943707,0.0003088,1313.9063584031749,0.018419306216563267,,1721.613621,31.18663251
129.0,0.18526822,0.00967757,0.00031838,1327.1837235713174,0.018599332807217216,,1776.509642,31.00682047
130.0,0.1847844,0.00995271,0.00032613,1308.831705780153,0.018336893034011766,,1784.846421,30.8288486
131.0,0.18458119,0.01017806,0.00033376,1306.8119424901251,0.018306562792928832,,1795.883497,30.57621794
132.0,0.18441877,0.01045032,0.00034435,1302.9963147139738,0.018251624401715214,,1801.63472,30.42887196
133.0,0.18383518,0.01068481,0.00035478,1268.2336094748534,0.017758264600000486,,1791.828575,30.18097319
134.0,0.18305051,0.01089,0.00036271,1247.4456090311064,0.01745847699306201,,1812.86434,29.98735978
135.0,0.18212783,0.01115675,0.0003692,1259.2997549261884,0.01761404398524155,,1889.673423,29.76312049
136.0,0.18180024,0.01149846,0.00037265,1236.5479839312716,0.01729269201071188,,1876.293084,29.56162059
137.0,0.18126821,0.01180105,0.0003766,1251.1798421250787,0.017491642226613906,,1932.479028,29.31897948
138.0,0.18087827,0.0121017,0.00038839,1261.0973894571357,0.01762612078892281,,1972.848061,29.12102851
139.0,0.18057976,0.01238548,0.0003997,1252.6237495036225,0.017504586434806974,,1978.616135,28.90888184
140.0,0.18012096,0.01267362,0.00040785,1248.051944905343,0.017435745395534833,,2000.450078,28.67097263
141.0,0.17968322,0.01290033,0.0004147,1226.0467825344654,0.017123569770350407,,1992.339097,28.46750111
142.0,0.17932287,0.0131405,0.00042223,1235.3312113235593,0.017249366658607112,,2029.917352,28.24865092
143.0,0.17911173,0.01346979,0.00042635,1229.4617980247551,0.017165553185096646,,2033.417652,27.99707179
144.0,0.17858591,0.0137648,0.00043205,1227.0990941854152,0.01712686739216924,,2061.996186,27.76888926
145.0,0.17835035,0.01404438,0.00043959,1228.4576462101465,0.01714350805560425,,2078.849003,27.56515485
146.0,0.17823461,0.01438075,0.000443,1235.0828425801997,0.017235252138665346,,2097.304914,27.31265563
147.0,0.1781861,0.01466461,0.00044585,1221.9757835015503,0.017052337170730524,,2078.085833,27.08999364
148.0,0.17817755,0.01490325,0.00044754,1249.2787662885225,0.01743373770686794,,2125.112405,26.86825175
149.0,0.17831903,0.01512956,0.00044542,1266.084377739574,0.017670540334198317,,2144.792296,26.63638885
150.0,0.17959077,0.01535804,0.00044034,1259.1480425730388,0.017589776263323198,,2052.58756,26.45802267
151.0,0.1813691,0.0155155,0.00043273,1275.1308838277519,0.017835036211746057,,1963.732234,26.24548168
152.0,0.1828056,0.01572756,0.00042343,1280.8453487402505,0.017932718994685775,,1878.520161,26.07158451
153.0,0.18455007,0.01591173,0.00041194,1307.199032249162,0.018323151770454196,,1799.654422,25.86114658
154.0,0.18606296,0.01603509,0.00039099,1316.5646925950105,0.018472931354522455,,1709.031141,25.73483125
155.0,0.18771335,0.01602081,0.00036913,1335.434195596318,0.018757468939419156,,1618.00482,25.57158085
156.0,0.18950389,0.01600456,0.00034408,1379.57929806139,0.019399308057545656,,1540.868994,25.4135881
157.0,0.19192257,0.01596275,0.00031756,1398.5357339468628,0.019694873261053483,,1381.231683,25.31211523
158.0,0.19371331,0.01579908,0.00029215,1410.051122018909,0.019878002871759823,,1256.179415,25.22812408
159.0,0.19423608,0.01556187,0.00026539,1430.9738703101827,0.02017896246072121,,1234.158888,25.11705597
160.0,0.19580816,0.01535931,0.00024674,1462.0423277074726,0.02063553250621295,,1135.387902,25.06329637
161.0,0.1974137,0.01512618,0.00022384,1508.9967419384818,0.021317394788629707,,1038.449691,24.98416856
162.0,0.19975895,0.01485232,0.00019816,1546.2985990911232,0.02187246286217232,,862.4906405,24.96786981
163.0,0.2010434,0.01464173,0.00017843,1561.8573676086323,0.02210775660184992,,758.6327635,24.9570916
164.0,0.20321361,0.01435865,0.0001608,1568.9199192487008,0.022233021068694195,,569.447986,24.94828502
165.0,0.20436533,0.01404874,0.00014282,1576.0622984379095,0.022347257465273645,,468.5213368,24.95117673
166.0,0.20513871,0.01368765,0.0001241,1576.5964960186238,0.02236323924309896,,398.8173921,24.92883167
167.0,0.20539216,0.01325246,0.00010639,1584.1587144628957,0.022472688507281197,,377.6590079,24.96589818
168.0,0.20575413,0.01286264,9.337e-05,1576.5608125959216,0.022368351562811303,,343.0153732,24.96642395
169.0,0.20598379,0.01250653,8.406e-05,1591.1622292025513,0.022577472711259643,,325.1365132,24.91029841
170.0,0.20621934,0.0121191,8.041e-05,1604.395118497236,0.022767103144081452,,306.0392715,24.94762781
171.0,0.20641451,0.01174102,7.974e-05,1596.705072964566,0.02265933557878773,,286.5752254,24.95958899
172.0,0.2065922,0.01138737,7.835e-05,1609.9421593065429,0.022848421364032968,,272.4174293,24.93461509
173.0,0.20672075,0.01110252,7.463e-05,1626.352090804064,0.02308218761738759,,263.1013176,24.93868978
174.0,0.20685114,0.01080401,7.234e-05,1636.1351478046015,0.023221877903805654,,252.3376256,24.95104529
175.0,0.20704306,0.01049287,6.758e-05,1636.4814644436663,0.023228372681354765,,234.2050929,24.95130817
176.0,0.20717192,0.01022678,6.506e-05,1643.0351075731367,0.023322305649810877,,222.8731084,24.94486753
177.0,0.20731136,0.00995913,6.461e-05,1635.3716487576876,0.023214515716194668,,208.6107537,24.89360533
178.0,0.20739751,0.00967407,6.308e-05,1633.9332761512474,0.0231944348955517,,200.2590208,24.93067185
179.0,0.20750074,0.00939675,5.808e-05,1643.7575044959099,0.02333451336752063,,191.6137528,24.96445233
180.0,0.20762584,0.0091514,5.568e-05,1639.334760247341,0.02327263776148224,,179.1900383,24.92081373
181.0,0.20770954,0.00891127,5.434e-05,1638.6663214323103,0.023263563939713797,,171.1473292,24.91529319
182.0,0.20770598,0.00864292,5.42e-05,1646.0398146136977,0.023367538997980518,,172.2528924,24.92028797
183.0,0.20777565,0.00839391,5.544e-05,1644.607404724813,0.02334738986015246,,165.4426468,24.92738581
184.0,0.2077727,0.00816016,5.636e-05,1658.4638449655374,0.023543466888575917,,167.1165074,24.92002508
185.0,0.20793991,0.00796702,5.425e-05,1666.8898411237385,0.023664633751847533,,151.7641288,24.89925732
186.0,0.20801843,0.00773476,5.141e-05,1664.6753342784025,0.023633599585533002,,143.9584088,24.91003552
187.0,0.20808647,0.00756586,4.846e-05,1676.6142965535048,0.02380354153316613,,138.3525175,24.91910499
188.0,0.20815959,0.00741008,4.492e-05,1667.3449573713037,0.02367248503174154,,130.4907894,24.89215947
189.0,0.20821574,0.00724459,4.657e-05,1678.367166005285,0.02382920421962069,,125.8663515,24.90766958
190.0,0.2082257,0.00701726,4.516e-05,1683.8558930147433,0.02390670271090988,,125.298032,24.89965164
191.0,0.20828337,0.0068454,4.274e-05,1680.4873105904537,0.02385917903942223,,119.4029676,24.93514086
192.0,0.2083509,0.00670303,3.883e-05,1679.6217547584433,0.023847410286841345,,112.7338875,24.90464642
193.0,0.2083387,0.00651142,3.684e-05,1675.1100607808287,0.023782760064220268,,113.6197641,24.87060306
194.0,0.20845322,0.00636297,3.536e-05,1692.7037241099702,0.024033584735552952,,103.5177336,24.88900488
195.0,0.20851638,0.00622505,3.561e-05,1679.5488928867205,0.02384721419400972,,96.52900721,24.91568751
196.0,0.20850997,0.00612222,3.624e-05,1687.8357907298416,0.023964528248509333,,97.63459139,24.92423121
197.0,0.20850946,0.00599512,3.495e-05,1691.659052494583,0.024018506664596387,,97.90467563,24.87218036
198.0,0.20854211,0.00596167,3.598e-05,1697.2660738045627,0.024098408917818316,,94.99860279,24.8995202
199.0,0.20858981,0.00576154,3.246e-05,1697.1039853322761,0.024096238426881973,,90.26794336,24.90241191
200.0,0.20863955,0.00559231,3.425e-05,1707.350626532348,0.024241866863451294,,85.85934648,24.88374721
201.0,0.20869284,0.00551191,3.632e-05,1712.7703232831539,0.024319227131528384,,80.80662649,24.87862099
202.0,0.20865521,0.00534256,3.533e-05,1713.8325205118176,0.024333432026839387,,84.61736301,24.90372633
203.0,0.20870596,0.00525747,3.219e-05,1723.1242591018786,0.024465818750816628,,79.97429549,24.9501252
204.0,0.2087324,0.0051697,2.875e-05,1718.3499442187506,0.02439818980528707,,77.10108927,24.90477786
205.0,0.2087557,0.00509902,3.283e-05,1716.6307864834007,0.02437381176196323,,74.69024312,24.87940964
206.0,0.20876597,0.00499479,3.473e-05,1712.1347220717214,0.02430979873532071,,73.46740014,24.91253291
207.0,0.20878387,0.00491538,3.476e-05,1705.2391879491092,0.02421190686081084,,71.38959464,24.91069273
208.0,0.20883381,0.00480141,3.074e-05,1709.804834317503,0.02427712043399917,,66.59657557,24.90924687
209.0,0.20882882,0.00468308,3.08e-05,1727.5793887699936,0.024529128971285803,,67.79060326,24.90688093
210.0,0.20889097,0.00456466,3.188e-05,1726.9716459329663,0.0245209399167176,,61.5007466,24.91411021
211.0,0.20895067,0.00446389,3.258e-05,1722.4619248160511,0.02445736796464494,,55.33447663,24.88256424
212.0,0.2089524,0.00437239,3.216e-05,1725.6500826647916,0.02450242959410539,,55.2621246,24.90188615
213.0,0.20894029,0.00431145,3.29e-05,1732.0556779502783,0.024593062001163287,,56.69114729,24.89137082
214.0,0.2089585,0.00423603,3.315e-05,1741.9107225175528,0.024733016663825297,,55.16119743,24.87454631
215.0,0.20898484,0.00416756,3.421e-05,1736.1907847498405,0.024651929652960536,,52.30838177,24.86232224
216.0,0.20901739,0.00406894,3.102e-05,1739.3275150406296,0.024696671581361473,,49.0956821,24.8707345
217.0,0.2090002,0.00395097,3.209e-05,1749.5460303472005,0.024841222231911188,,51.14016221,24.87060306
218.0,0.20900244,0.00386461,3.169e-05,1744.5036762326963,0.024769437422642395,,50.76430998,24.87323189
219.0,0.20903702,0.00379223,2.926e-05,1744.910295830212,0.024775495481174605,,47.25089651,24.89229091
220.0,0.20905003,0.0037566,2.636e-05,1736.4058932296277,0.024654864048195668,,45.6998055,24.88966208
221.0,0.20904963,0.00368357,2.383e-05,1735.4127533771875,0.02464061353312052,,45.71465024,24.87428342
222.0,0.20906448,0.00360881,2.493e-05,1736.0398085908812,0.024649486966638524,,44.22456739,24.85325277
223.0,0.209072,0.0035654,2.734e-05,1746.594861848557,0.02479929186515574,,43.7250733,24.85732746
224.0,0.20909702,0.00351989,2.468e-05,1743.097096940555,0.024749867997618764,,41.08890281,24.87415198
225.0,0.20909478,0.00346599,2.355e-05,1745.9362149216772,0.024790031921857313,,41.3839233,24.85982485
226.0,0.20910526,0.00344122,2.451e-05,1757.4187271265953,0.02495311747774511,,40.58007068,24.8754664
227.0,0.20911187,0.00336679,2.471e-05,1757.3302902444984,0.024951745526008907,,39.89876014,24.86876288
228.0,0.20912804,0.00327812,2.663e-05,1764.108788666809,0.025047925816734172,,38.38494814,24.86587116
229.0,0.20909245,0.00321221,2.56e-05,1752.9918479764538,0.024889482301073598,,41.78961999,24.87178603
230.0,0.2091133,0.00316353,2.829e-05,1750.2011716539055,0.024849943695075108,,39.59030651,24.85837899
231.0,0.20920442,0.00311354,2.999e-05,1739.197271290294,0.02469467438748241,,30.07676241,24.89123938
232.0,0.20919273,0.00303931,2.62e-05,1748.8095940453054,0.024830887570412217,,31.43869951,24.88755902
233.0,0.2091789,0.00297912,2.329e-05,1752.946463315653,0.02488934825981244,,32.93042241,24.89610272
234.0,0.20919771,0.00294324,2.227e-05,1759.1053043096124,0.024976954735062916,,31.11102998,24.86284801
235.0,0.20921704,0.00293558,2.375e-05,1755.2306397198727,0.024922134310526138,,29.05935769,24.87257468
236.0,0.20921602,0.00288864,2.305e-05,1764.92292612842,0.025059629178081667,,29.32464598,24.85982485
237.0,0.20924531,0.00281523,2.067e-05,1768.3837807734458,0.025108986818656084,,26.35319666,24.84602349
238.0,0.20925212,0.00276989,2.369e-05,1764.6885159260994,0.025056429702659658,,25.5947507,24.86705414
239.0,0.20928437,0.00275796,2.38e-05,1769.583844866081,0.025126309818622884,,22.3291246,24.85417287
240.0,0.2092805,0.00274232,2.319e-05,1771.4123736054587,0.025152194089909572,,22.75258073,24.85798467
241.0,0.20927155,0.0026997,2.057e-05,1780.653642436505,0.02528323171439197,,23.8032916,24.83011906
242.0,0.2092866,0.00265974,1.747e-05,1766.05278202671,0.025076056259401215,,22.05332316,24.84102871
