Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20947711,0.00068781,5.74e-06,924.0501184564365,0.02625140428276792,,1.53007712,522.60482346
1.0,0.20945951,0.00069357,4.44e-06,921.4096592540446,0.0261762010120143,,2.47505383,521.84782762
2.0,0.20947975,0.0006695,2.83e-06,919.8566320731975,0.026132310515699652,,1.38069106,521.67268215
3.0,0.20946989,0.00064531,1.79e-06,927.4379547786486,0.026347511988925744,,1.92785814,521.78616591
4.0,0.20946399,0.00067071,2.3e-06,925.5098816753747,0.026292720234991886,,2.24354666,521.79088893
5.0,0.20947548,0.00066942,5.42e-06,929.544093397787,0.026407416583231036,,1.6277507,521.73381906
6.0,0.20948881,0.00066035,5.29e-06,920.1149453558132,0.02613969597009741,,0.89333378,521.68986869
7.0,0.20945707,0.00065922,3.68e-06,919.9172226409178,0.026133690775816374,,2.60251856,521.70482493
8.0,0.20944497,0.00066922,5.24e-06,920.9621795669555,0.026163216092085627,,3.25812004,521.67202615
9.0,0.20945199,0.00069212,8.8e-06,926.7546167792109,0.0263278590508173,,2.89781153,521.6682215
10.0,0.20945463,0.00071397,1.175e-05,919.9463982341908,0.02613448544342609,,2.73408471,521.60314872
11.0,0.20945382,0.00077009,1.678e-05,923.6328704517749,0.02623926187847177,,2.78905046,521.57258026
12.0,0.2093811,0.00094289,3.182e-05,911.6482693185085,0.025898039007267205,,6.6339926,521.38418407
13.0,0.20908695,0.00129429,6.067e-05,886.5467449598109,0.025181643486135236,,21.70416345,521.35768266
14.0,0.20800008,0.00172991,0.00010421,881.486267713388,0.025024516951103696,,77.43340156,521.3591258
15.0,0.20714704,0.00222976,0.00016566,884.6086588047976,0.02510243585523896,,121.49576698,521.22202691
16.0,0.20651868,0.0027269,0.00022129,879.9205761025784,0.02496164352813442,,152.82304318,521.04622546
17.0,0.20603251,0.00322755,0.00028981,873.5203851661938,0.024773934407624383,,176.20152945,520.90624027
18.0,0.20567317,0.00358423,0.00036123,869.2927112135425,0.024649080711567503,,193.32238345,520.77425799
19.0,0.20542652,0.00386959,0.00041833,867.2110974323144,0.02458661548060482,,205.14810076,520.61315039
20.0,0.20529064,0.00408057,0.00046303,871.763671282929,0.024713679855634985,,213.02349191,520.43393786
21.0,0.2052049,0.00420696,0.00050125,868.8512738006918,0.024629652794217003,,216.58309572,520.26220346
22.0,0.20517693,0.00430917,0.00052858,870.28280835344,0.024669645835876663,,218.33422036,520.13888005
23.0,0.20513797,0.00436238,0.00054386,869.498839240494,0.02464678367591065,,220.07887287,519.97462377
24.0,0.20511448,0.00438585,0.00055621,873.6269987846339,0.024763332787470387,,222.29928501,519.80459491
25.0,0.20516187,0.00438363,0.00056264,874.4682901047217,0.024787670805742866,,220.13547527,519.6169859
26.0,0.20528718,0.00434384,0.00056057,876.0579751218692,0.024834290872281575,,214.2373587,519.49654879
27.0,0.20521161,0.00434448,0.00055591,873.7684304275605,0.024768495747852906,,217.46678995,519.32966861
28.0,0.20517886,0.00431711,0.00055033,869.4117452536573,0.024644604721363355,,218.01601266,519.16790504
29.0,0.2052586,0.00432473,0.00054729,864.8152135271622,0.02451540715687346,,212.907926,519.00771581
30.0,0.20522015,0.00434013,0.00054252,858.0642599551419,0.02432367090148339,,213.13972794,518.85303677
31.0,0.20520398,0.00437222,0.00053726,864.772607037936,0.024513805649220358,,215.60989621,518.69980088
32.0,0.20515628,0.00439657,0.00053367,859.5593929932818,0.02436554645774777,,216.66305932,518.54289153
33.0,0.20519605,0.00438907,0.00052598,862.492795717032,0.02444932577599156,,215.43616809,518.40802296
34.0,0.20515607,0.00437408,0.00052184,872.4358735299635,0.0247307036037644,,219.92030753,518.22933523
35.0,0.20520744,0.00433835,0.0005155,854.1431242419941,0.02421283470681176,,212.79289448,518.11991851
36.0,0.20520612,0.00431949,0.00050629,867.7408491551537,0.024598396657792607,,216.24734847,517.97455433
37.0,0.20521415,0.00429598,0.00049849,863.6252836560687,0.024481911887722925,,214.82432631,517.79481703
38.0,0.2052525,0.00426079,0.00049041,867.591826668096,0.0245949013352618,,213.90278754,517.64249951
39.0,0.205312,0.0042549,0.00048246,860.4076495403204,0.024392126467046867,,209.19472915,517.50513823
40.0,0.20530559,0.0042272,0.00047135,858.3509440557332,0.02433386534671185,,209.01143914,517.35531342
41.0,0.20532634,0.00420241,0.00046086,858.9749299596346,0.02435194235422288,,208.14146371,517.21034283
42.0,0.20536997,0.00417648,0.00045055,860.2841396407185,0.024389731244997943,,206.30481713,517.07035765
43.0,0.20542438,0.00417431,0.00044586,861.999954934887,0.02443914831154065,,204.02361192,516.94873979
44.0,0.20544198,0.00417673,0.00043873,858.6153472026989,0.024343546538180175,,202.35597484,516.79904618
45.0,0.20544574,0.00415076,0.00043157,860.033045088024,0.024383849722965097,,202.5047109,516.65840502
46.0,0.20546741,0.00416838,0.00042792,866.629195134295,0.02457125525758034,,202.98040093,516.51737029
47.0,0.20548317,0.0041883,0.00042112,867.4505331266358,0.0245949200591221,,202.38866373,516.36059214
48.0,0.20549965,0.00416826,0.00041637,870.2145701997067,0.0246735342466912,,202.2101087,516.23333289
49.0,0.20559088,0.00413121,0.00041455,870.0084572056236,0.024668797225230833,,197.60062488,516.05805623
50.0,0.20563899,0.00408569,0.00041158,868.0458982447254,0.024613699481911538,,194.75386546,515.96254619
51.0,0.20566706,0.00404941,0.00040724,867.108204997753,0.02458745288254344,,193.14390235,515.81363975
52.0,0.20573297,0.00398929,0.00040044,865.6156943124513,0.024545937604135204,,189.53043025,515.71183235
53.0,0.20575372,0.00393696,0.0003886,864.0039209663215,0.024500573442279447,,188.14698918,515.57433988
54.0,0.2058238,0.00391245,0.0003809,862.4610742945681,0.024457787524675003,,184.33446212,515.42582703
55.0,0.20586591,0.00392164,0.00037801,861.6443336148141,0.024435236373490286,,182.07257499,515.30801383
56.0,0.20587903,0.00393503,0.00037663,861.7374385787779,0.024438102909697956,,181.44195882,515.14165844
57.0,0.20591208,0.00393648,0.00037387,858.2687041070106,0.024340203210201774,,179.0789619,515.02371404
58.0,0.20586031,0.00393083,0.00036963,861.8535026605967,0.024441271709514392,,182.39554582,514.89566762
59.0,0.20591666,0.00388983,0.00036332,862.5573943876884,0.02446195468803504,,179.74703683,514.74544923
