Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.14078037,0.00047385,4.67e-06,2640631.809265655,0.012538038808002054,,1389.05591772,-6.76040724
1.0,0.14082042,0.00050113,3.29e-06,2658060.659820785,0.012621228630167104,,1397.55143253,-6.76671831
2.0,0.14076969,0.00050485,3.08e-06,2643222.5614880132,0.012550302976836689,,1390.60576616,-6.71846494
3.0,0.14076969,0.00049299,8.1e-07,2651932.8753329935,0.012591676883151978,,1395.19010113,-6.76119613
4.0,0.14078099,0.00049495,-2.3e-07,2641530.8349153786,0.012542410559861763,,1389.52923223,-6.75383321
5.0,0.14079095,0.00051193,-1.22e-06,2612849.6541010216,0.012406356634078623,,1374.28006895,-6.73647778
6.0,0.14081005,0.00052648,6e-07,2623371.9172878773,0.012456490782380833,,1379.49423209,-6.74015923
7.0,0.14076549,0.00050865,1.66e-06,2622797.435804245,0.012453307941817262,,1379.93323403,-6.75541098
8.0,0.14078499,0.000479,3.9e-07,2631503.852686728,0.012494808570972545,,1384.18421634,-6.79288295
9.0,0.1407661,0.0004799,1.5e-07,2598182.658628526,0.012336423606807865,,1366.97060939,-6.78459967
10.0,0.1407699,0.00046424,2.32e-06,2626814.701902132,0.01247235577425237,,1381.96536328,-6.75725171
11.0,0.14079516,0.00047573,5.84e-06,2609598.2452012105,0.012390811448830509,,1372.48369596,-6.77447567
12.0,0.14082904,0.00045578,8.01e-06,2594845.9519750555,0.01232102233772701,,1364.15794122,-6.7546221
13.0,0.14079577,0.00045569,8.2e-06,2595541.0461295275,0.012324012264646468,,1365.07377202,-6.73726666
14.0,0.14079495,0.00046085,8.38e-06,2613954.2224951615,0.012411437360353736,,1374.77198598,-6.74660178
15.0,0.14079259,0.00044768,8.71e-06,2619900.7280244567,0.012439628242113051,,1377.93649232,-6.74081664
16.0,0.14077873,0.00045815,8.65e-06,2613149.3721005386,0.01240745735601898,,1374.61821742,-6.77894601
17.0,0.14081621,0.00045631,5.71e-06,2629858.2340626563,0.012487182807512931,,1382.7834918,-6.79669588
18.0,0.14076128,0.00045913,2.74e-06,2630320.0493482426,0.012488905952737049,,1383.95277802,-6.81247356
19.0,0.14078335,0.00049872,2.65e-06,2631907.407411912,0.012496703573311473,,1384.42342661,-6.8182587
20.0,0.14073006,0.00048972,4.26e-06,2615760.6999705182,0.012419504920676628,,1376.81495401,-6.79498664
21.0,0.14082052,0.0004844,6.94e-06,2628826.5303362873,0.012482344203771544,,1382.17090132,-6.76803312
22.0,0.14075152,0.00050395,8.43e-06,2602985.4858916732,0.012359008664657589,,1369.73018691,-6.78762372
23.0,0.14078345,0.00051753,7.83e-06,2603617.5351571348,0.012362332266245791,,1369.53554783,-6.80300695
24.0,0.1407659,0.00047267,8.44e-06,2627185.2666009604,0.012474002880229278,,1382.21910413,-6.77381826
25.0,0.14078017,0.00045492,8.19e-06,2626817.749020774,0.012472371673932132,,1381.78448376,-6.81207911
26.0,0.14077945,0.0004516,5.23e-06,2632636.7886783127,0.012500031542136438,,1384.86166836,-6.82496421
27.0,0.1407968,0.00045005,3.14e-06,2626338.537807063,0.012470316588586385,,1381.26096216,-6.78104969
28.0,0.14073427,0.00046571,2.99e-06,2638905.0872833035,0.012529419093115852,,1388.92472396,-6.75357025
29.0,0.14082463,0.00049389,3.87e-06,2617269.008101002,0.012427559892121577,,1376.03182466,-6.85507326
30.0,0.14077278,0.00048935,7.06e-06,2642797.3319968274,0.01254823622407029,,1390.32163965,-6.82982899
31.0,0.14080204,0.00047872,7.6e-06,2606736.940819608,0.012377268808405993,,1370.86218217,-6.81733834
32.0,0.1407467,0.00045758,6.55e-06,2652084.509197514,0.012592050753083856,,1395.64454574,-6.79564404
33.0,0.14077319,0.00045312,5.77e-06,2626845.4591723043,0.012472469484016379,,1381.91951766,-6.81431428
34.0,0.14073941,0.00041582,6.22e-06,2614834.6416239818,0.01241507077936259,,1376.15797144,-6.8358771
35.0,0.14078828,0.00043553,7.24e-06,2568477.000036869,0.012195426766137045,,1350.96132689,-6.82470125
36.0,0.14078653,0.00046322,8.57e-06,2549515.0747837992,0.012105394752584075,,1341.0180718,-6.80011438
37.0,0.14071959,0.00050043,9.19e-06,2552735.3159354352,0.012120114464035988,,1343.80580392,-6.80077178
38.0,0.14082966,0.00050992,6.29e-06,2549090.1867354107,0.012103860096146548,,1340.10355329,-6.85980657
39.0,0.14076107,0.00049123,6.7e-06,2572862.533210666,0.012216079520274859,,1353.72321101,-6.81299948
40.0,0.14076939,0.00046776,8.6e-06,2553798.222400547,0.012125580946194623,,1343.55080226,-6.85402142
41.0,0.14074721,0.00045741,9.38e-06,2578769.5890968745,0.012243918224619888,,1357.05018584,-6.83955856
42.0,0.14077216,0.00046845,7.05e-06,2606523.904690731,0.01237597378713649,,1371.24615014,-6.85402142
43.0,0.1407698,0.00046604,6.45e-06,2622616.4247292955,0.012452365464705618,,1379.75221512,-6.84547518
44.0,0.14056404,0.00048939,7.59e-06,2626903.2733343574,0.0124708038793215,,1385.4535808,-6.87808237
45.0,0.14063673,0.00051454,9.49e-06,2652797.7333705663,0.012594429677209093,,1397.88289403,-6.88649713
46.0,0.14092402,0.00050992,6.95e-06,2651640.1059384965,0.012591680126024806,,-5.83323363,-6.84416038
47.0,0.14094568,0.00048616,6.41e-06,2664744.0431555407,0.01265408727948545,,-3.3732651,-6.80287547
48.0,0.14093377,0.00047557,1.001e-05,2689744.758435477,0.012772628326818261,,-2.02455018,-6.83916411
49.0,0.1406434,0.0005053,9.75e-06,2694815.7799575417,0.01279396262569661,,4.46746331,-6.86191026
50.0,0.14090646,0.00046784,7.94e-06,2661994.6083406843,0.01264061325463421,,-1.82913077,-6.89044154
51.0,0.14098182,0.00045729,5.16e-06,2648089.1219721534,0.012575317669087052,,-3.04498715,-6.88110642
52.0,0.14088223,0.00043005,5.35e-06,2604556.338073438,0.012367626761834888,,-0.58033332,-6.84100484
53.0,0.14072144,0.00043574,4.85e-06,2613106.562257759,0.012406743694737824,,2.70647203,-6.85112885
54.0,0.14049679,0.00044972,3.31e-06,2591543.4395845956,0.012302322683376886,,6.8381021,-6.89254523
55.0,0.14085779,0.00044036,5.75e-06,2592724.7681375537,0.012311227235188515,,-1.00357329,-6.91187288
56.0,0.14065614,0.000422,8.98e-06,2623351.2362146326,0.01245469646387632,,3.12549816,-6.89741001
57.0,0.14075573,0.00043013,1.04e-05,2656443.4620864494,0.012612741219706269,,0.87682736,-6.85533623
58.0,0.14064217,0.00042543,1.128e-05,2674952.4772549337,0.0126995181266265,,3.13921419,-6.88136938
59.0,0.14079506,0.0004339,1.09e-05,2641284.411681123,0.012541134789404105,,-0.21174881,-6.90135443
60.0,0.14118655,0.00045238,8.73e-06,2635728.359511537,0.012518477799285438,,-8.10396794,-6.87847681
61.0,0.14058293,0.0004622,5.05e-06,2620892.510195353,0.012442445628680021,,4.56059109,-6.89964518
62.0,0.14084875,0.00044122,2.46e-06,2599128.684357853,0.012341598565230193,,-1.03021477,-6.89464892
63.0,0.14080984,0.00046244,3.4e-06,2591984.5298455474,0.01230733073782211,,-0.19807249,-6.89175635
64.0,0.14053662,0.00048117,5.17e-06,2658816.2913612938,0.012622068470745861,,5.36503429,-6.87821385
65.0,0.1409463,0.00046645,7.34e-06,2689311.447045247,0.012770716647107104,,-3.27653704,-6.90319516
66.0,0.14108183,0.00048428,8.17e-06,2673482.3583575417,0.012696849007299168,,-5.87880661,-6.89925074
67.0,0.14065223,0.00046064,9.25e-06,2627799.946317123,0.012475827821240194,,3.12862205,-6.91963023
68.0,0.14086149,0.00046011,9.64e-06,2619688.6191732464,0.012439267702693192,,-1.21205354,-6.84823627
69.0,0.14049032,0.00045627,9.23e-06,2593800.594878433,0.01231290380155363,,6.21525125,-6.9605207
70.0,0.14093726,0.00046355,6.97e-06,2628334.7212084117,0.012481073683410242,,-2.94288958,-6.91818395
71.0,0.14069279,0.00049013,7.01e-06,2672609.328749955,0.012689025119977788,,2.12464391,-6.91253028
72.0,0.14108881,0.00049569,8.12e-06,2698508.7102027223,0.01281578668337269,,-6.11863523,-6.87282314
73.0,0.14109045,0.00050596,7.56e-06,2652467.281899893,0.012597163259535521,,-5.83285947,-6.9252839
74.0,0.14063776,0.00051397,5.1e-06,2637084.5428251377,0.01251990062326527,,3.54210339,-6.88886378
75.0,0.14093428,0.00050992,3.84e-06,2622678.1971666766,0.012454289830963644,,-2.54748729,-6.8859712
76.0,0.1405397,0.00048436,6.68e-06,2588198.8128863126,0.012286841313348444,,5.38227874,-6.91555433
77.0,0.1408889,0.00046686,7.52e-06,2584348.312694402,0.012271748941623882,,-1.69906972,-6.93014868
78.0,0.14082996,0.0004422,6.81e-06,2618450.318868508,0.012433109717306151,,-0.48767047,-6.98063723
79.0,0.14075101,0.00043991,7.14e-06,2676994.5839769063,0.012710332303334257,,1.13402138,-6.92081356
80.0,0.14079588,0.00047066,6.4e-06,2698467.538204836,0.0128127697754511,,0.18373367,-6.94513747
81.0,0.14081785,0.00049827,4.69e-06,2647738.280968875,0.012572167160249299,,-0.27009159,-6.89031006
82.0,0.14077473,0.00046465,6.42e-06,2625601.742927295,0.012466584717368159,,0.60612829,-6.9618355
83.0,0.1407125,0.00047565,9.58e-06,2618808.7407279974,0.012433719676644455,,1.83564942,-6.93698567
84.0,0.14078109,0.00048207,1.04e-05,2557155.540595561,0.012141622145962507,,0.4042253,-6.93290977
85.0,0.14080573,0.00045054,8.44e-06,2609190.7157480004,0.012388905464900317,,-0.09003041,-6.93698567
86.0,0.14076744,0.00046408,7.18e-06,2638070.874639304,0.012525709164523387,,0.68454932,-6.97997982
87.0,0.14070152,0.00048853,7.01e-06,2665675.66592768,0.012656186390233295,,2.01992446,-6.93514494
88.0,0.14077236,0.00047205,6.27e-06,2694176.196077366,0.012792171569365312,,0.53334941,-6.93369866
89.0,0.14078879,0.00049475,5.56e-06,2652038.9999091886,0.012592296362745602,,0.17959137,-6.96288735
90.0,0.14073386,0.00049855,4.46e-06,2607257.5649921447,0.012379176578795554,,1.26880025,-6.96893545
91.0,0.1407353,0.00048473,5.29e-06,2609303.303080888,0.012388873381100425,,1.21348507,-6.94724116
92.0,0.14073571,0.00048277,7.28e-06,2589271.0471483422,0.012293734656247751,,1.17040727,-6.96972434
93.0,0.14076497,0.00049528,8.86e-06,2576294.9083021567,0.012232387918161997,,0.56330477,-6.96670028
94.0,0.14070172,0.00049491,6.02e-06,2615314.4012026424,0.012417103558494928,,1.82603314,-6.97813909
95.0,0.14076908,0.0004707,4.3e-06,2626079.27479576,0.012468836924525144,,0.44324555,-6.98550201
