Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.16079591,0.0004287,6.9e-06,6316697.941945817,0.026347599481346663,,2140.69215598,13.92898243
1.0,0.16076017,0.00040764,3.05e-06,6304622.378565608,0.026296655274706104,,2137.98782333,13.91964731
2.0,0.16076993,0.00042359,1.3e-06,6382501.872812193,0.026621752003523225,,2164.022545,13.95514706
3.0,0.16068933,0.0004642,-6.5e-07,6451012.665167223,0.02690625831372972,,2190.46041316,13.94620639
4.0,0.16064374,0.00046927,-2.39e-06,6413396.688151087,0.026748626741632826,,2179.4888308,13.948836
5.0,0.16065011,0.00043594,-5.3e-07,6350997.69326827,0.02648834621366743,,2158.02369992,13.91333624
6.0,0.16066233,0.00045422,1.16e-06,6257350.135132616,0.026097983499158473,,2125.73386389,13.90018818
7.0,0.16064713,0.00049516,4.46e-06,6330830.2807957195,0.026404218184423085,,2151.28973251,13.93700275
8.0,0.16075576,0.00049692,7.74e-06,6413365.9996521305,0.02675027852529262,,2175.04892934,13.90216039
9.0,0.16068645,0.00048931,9.36e-06,6352044.292364214,0.02649323708290887,,2156.95228741,13.92543245
10.0,0.16067537,0.00051291,1.044e-05,6356745.7317915885,0.02651269128907541,,2158.98494099,13.91964731
11.0,0.1606382,0.00051921,8.66e-06,6350011.88486054,0.026484023149848566,,2158.15294309,13.93818607
12.0,0.16061581,0.00052927,5.27e-06,6385676.614629715,0.026632494890589296,,2171.16154124,13.97881357
13.0,0.16057639,0.00051712,3.08e-06,6407570.822924744,0.026723139005069865,,2180.15899745,14.03114284
14.0,0.16060195,0.0005309,1.69e-06,6439257.532054648,0.026855816602765946,,2189.9355026,13.99577456
15.0,0.1606384,0.00052554,3.52e-06,6436146.71772486,0.026843421964149114,,2187.43153067,14.02062439
16.0,0.16065596,0.00052616,5.41e-06,6327603.747816101,0.026390976021525285,,2149.85513493,13.93568794
17.0,0.16064734,0.00053511,6.15e-06,6390889.904768331,0.02665478312334306,,2171.69621395,13.86429399
18.0,0.1606423,0.0004999,8.49e-06,6349978.462931126,0.02648390547337124,,2157.97734084,13.87862537
19.0,0.16052957,0.00049667,7.65e-06,6383020.832692554,0.026619756613738197,,2173.62641077,13.92043619
20.0,0.16055544,0.00047312,6.26e-06,6450966.679903493,0.02690354514052257,,2195.73696535,13.94028976
21.0,0.16048285,0.00043889,4.97e-06,6451078.728832637,0.02690266478072791,,2198.64453625,13.93752867
22.0,0.16047844,0.00043823,3.15e-06,6408313.819714817,0.026724292091677284,,2184.24685145,14.01812626
23.0,0.16050493,0.00042003,3.61e-06,6382425.857383155,0.02661673345754502,,2174.3802019,13.98144318
24.0,0.1605116,0.00040216,2.5e-06,6392125.750367529,0.026657280565533265,,2177.4211728,13.98709684
25.0,0.16055575,0.00043492,3e-07,6384320.060139253,0.0266256503300331,,2173.04402386,13.9636933
26.0,0.1605385,0.0004588,1e-08,6340716.589776771,0.026443577426822486,,2158.88016892,13.9312176
27.0,0.1605001,0.00048628,9e-08,6334028.245255955,0.02641509168812389,,2158.10210221,13.95790816
28.0,0.16047505,0.00047516,1.84e-06,6286560.650536668,0.02621662782146028,,2142.88961364,13.98328391
29.0,0.16046848,0.00048661,2.22e-06,6310477.223667461,0.026316274598427104,,2151.29830756,13.91583437
30.0,0.16045698,0.00043778,1.74e-06,6354873.707076575,0.026501094225454307,,2166.87176202,13.94423418
31.0,0.16048131,0.00043835,2.02e-06,6429897.420014644,0.02681438169617776,,2191.49251872,14.01155223
32.0,0.16045585,0.00045054,2.73e-06,6425673.159133295,0.026796332418555113,,2191.05818468,13.9576452
33.0,0.16049959,0.00043427,3.31e-06,6418706.03567836,0.0267679873369698,,2186.95449525,13.99301347
34.0,0.16051057,0.0004321,3.6e-07,6413795.157020287,0.026747771431525392,,2184.85454966,14.01589109
35.0,0.16047618,0.00047541,-2.07e-06,6278780.940483222,0.02618430437141995,,2140.20245449,13.93766015
36.0,0.16039979,0.00048502,-2.37e-06,6350231.186613786,0.026480975293606015,,2167.53650474,13.93726571
37.0,0.16036467,0.00045614,1.06e-06,6362604.248008215,0.02653178832463858,,2173.11638674,13.92793059
38.0,0.16039445,0.00045623,1.73e-06,6379973.166198586,0.02660472078329297,,2177.88201238,13.96211553
39.0,0.16030009,0.00042515,3.04e-06,6405288.39506262,0.026708503171954764,,2190.22029787,13.99906158
40.0,0.16034906,0.00042543,3.97e-06,6405464.857080944,0.02671007788106763,,2188.35500716,13.99669493
41.0,0.16041036,0.00046293,5.48e-06,6383159.382215041,0.02661820779178618,,2178.34004017,13.98512464
42.0,0.16043562,0.00043885,6.88e-06,6366290.122878723,0.026548199581103403,,2171.5881293,13.9630359
43.0,0.1604694,0.00046772,5.49e-06,6360139.325636837,0.02652325657349259,,2168.1812484,13.98775425
44.0,0.16038644,0.00045095,1.58e-06,6324753.753883477,0.026374303804266922,,2159.34201504,14.00182267
45.0,0.1603466,0.00041169,3.12e-06,6397943.364402995,0.026678654210832722,,2185.88070622,13.91872695
46.0,0.16029516,0.00048379,4.98e-06,6390469.722835722,0.02664674104500221,,2185.35572102,13.97394879
47.0,0.16030245,0.00040633,4.87e-06,6415747.051788475,0.026752053833421986,,2193.69534217,13.97486915
48.0,0.16032761,0.00036654,7.93e-06,6369375.368350801,0.026558945116575777,,2176.84167333,13.95659335
49.0,0.16026631,0.0003955,9.59e-06,6416091.557625266,0.02675269855108327,,2195.22212875,13.99367087
50.0,0.16035677,0.0004759,9.33e-06,6383042.629523024,0.02661671771040671,,2180.39349092,13.97118769
51.0,0.16042196,0.00048371,9.12e-06,6403563.348689535,0.0267034615018824,,2184.84439574,13.93963236
52.0,0.16033069,0.00048064,9.18e-06,6348817.093045074,0.026473562328766426,,2169.71914654,14.0002449
53.0,0.16036549,0.00045643,7.2e-06,6353014.065026765,0.026491654051765717,,2169.79596276,13.93082316
54.0,0.16031498,0.00049814,8.33e-06,6349324.60239536,0.026475475296699046,,2170.51002773,13.97999689
55.0,0.16025522,0.00050411,6.53e-06,6380354.8835105505,0.026603880498513036,,2183.46037238,13.98367835
56.0,0.1601583,0.00050649,8.5e-06,6417849.079279824,0.026758461090971315,,2200.0998357,14.04008352
57.0,0.16020717,0.00049271,9.27e-06,6452129.108391121,0.026902196526701755,,2209.91429435,14.06585371
58.0,0.16025214,0.00050514,8.18e-06,6404285.723724861,0.026703569457824046,,2191.76751873,14.02075587
59.0,0.16032473,0.00052935,5.5e-06,6430735.071957407,0.026815276418515166,,2197.96880239,13.97618396
60.0,0.16029516,0.00052648,2.5e-06,6413657.309896469,0.026743613283867824,,2193.30041867,13.96592847
61.0,0.16033767,0.000488,8.5e-07,6369105.719825225,0.026558521508157157,,2176.39951095,13.94936192
62.0,0.16031087,0.00048911,8e-08,6394277.650175027,0.02666303797902194,,2186.05372063,13.96080073
63.0,0.1602428,0.00049565,-2e-07,6430400.509663722,0.026812485983274004,,2201.0889807,14.01641701
64.0,0.16021066,0.0004923,0.0,6434076.147350131,0.026827228176859307,,2203.61319987,14.06808888
65.0,0.16022575,0.00046027,4.9e-07,6395994.990096758,0.02666860925231394,,2189.97064239,13.99787825
66.0,0.16022185,0.00041464,2.97e-06,6469974.188113855,0.026976806327808158,,2215.43955974,13.99090978
67.0,0.16025019,0.00040821,4.63e-06,6402537.399532263,0.026696064001716483,,2191.23086872,13.99130422
68.0,0.16027966,0.00044915,2.16e-06,6415751.861816706,0.026751863692428504,,2194.6093169,14.0509964
69.0,0.160293,0.00048174,1.81e-06,6429449.201817249,0.02680931518690916,,2198.77689277,14.02706694
70.0,0.16031795,0.00049377,2.71e-06,6363363.743839098,0.02653420112040901,,2175.20403043,14.03968907
71.0,0.16029968,0.00048068,3.53e-06,6387851.4282329995,0.026635931727069875,,2184.28578189,14.05625563
72.0,0.16022431,0.00044114,6.19e-06,6450821.08125851,0.02689698122234094,,2208.78299871,14.01707442
73.0,0.16025419,0.00041104,6.81e-06,6353303.099502993,0.026490797789959282,,2174.22079338,14.00879114
74.0,0.16021672,0.0004375,4.96e-06,6389518.632904872,0.026641266221496547,,2188.09215422,14.07663512
75.0,0.16028931,0.00043234,6.11e-06,6399712.146223987,0.026685002131366577,,2188.7316708,14.03771687
76.0,0.16030461,0.00041627,5.45e-06,6424199.625009082,0.02678735009296627,,2196.50161856,14.10490344
77.0,0.1603313,0.00042461,3.51e-06,6405131.932431012,0.026708386621771087,,2188.93978036,13.99998194
78.0,0.16038582,0.00043692,1.7e-06,6346979.861603687,0.02646693379828221,,2166.95076976,14.04810383
79.0,0.16033038,0.0004375,5e-06,6411491.009006341,0.02673488430454056,,2191.14911786,14.06138337
80.0,0.16032802,0.00044478,5.59e-06,6301583.717321036,0.02627655282065138,,2153.67959733,14.00353192
81.0,0.16024885,0.00048097,6.01e-06,6399533.516875668,0.026683684843801826,,2190.26906665,14.05586118
82.0,0.16022524,0.00044866,4.34e-06,6375173.999451252,0.02658165290685053,,2182.85076665,14.00353192
83.0,0.16016066,0.00042257,8.17e-06,6376467.499011786,0.026585739327553943,,2185.80286396,13.99051534
84.0,0.16023263,0.00039083,9.55e-06,6464887.699703619,0.026955548696326694,,2213.25089163,14.04415941
85.0,0.16025717,0.00039983,7.24e-06,6464144.839882891,0.02695297437074727,,2212.03140904,14.07492587
86.0,0.16023417,0.00042171,6.49e-06,6440113.560747308,0.026852447455869184,,2204.72248139,14.05586118
87.0,0.16033007,0.00042056,5.49e-06,6388033.76195517,0.026637005465859648,,-4.25787376,14.09675164
88.0,0.16025163,0.00043606,3.25e-06,6402786.9451768305,0.026697244525988092,,1.35682641,14.10648121
89.0,0.16011312,0.00046575,1.64e-06,6347976.315735564,0.026466407838586645,,7.00458431,14.01930958
90.0,0.16015255,0.00046236,1.2e-07,6328853.063333521,0.026387395299363986,,3.50449051,14.00668745
91.0,0.16014053,0.00044719,-1.5e-07,6399857.394071024,0.026683191590442086,,3.36908401,14.08662764
92.0,0.16010798,0.00042694,7.1e-07,6417288.693473242,0.026755213074117063,,4.2659672,14.104509
93.0,0.16011127,0.00042122,8.6e-07,6446987.682404606,0.026879073515556736,,3.52634195,14.12686069
94.0,0.16015244,0.00041459,3.33e-06,6498469.584708675,0.027094367087655155,,1.25161123,14.08544431
95.0,0.16013345,0.00040736,1.26e-06,6388460.419699823,0.02663540003462208,,1.93669183,14.07584623
96.0,0.16016908,0.00041402,3e-08,6411914.0834813295,0.026733865795303464,,0.16237879,14.1010905
97.0,0.16016363,0.00042584,1.39e-06,6284560.757883119,0.026202781836246136,,0.38228976,14.03416689
98.0,0.1600739,0.00041852,1.09e-06,6383240.703203111,0.026612625408874224,,4.33479141,13.99222459
99.0,0.15999874,0.00042048,-2.8e-07,6424716.500878072,0.026784252916567983,,7.38015094,14.02509473
100.0,0.16003519,0.00041782,-1.44e-06,6484100.880525833,0.027032498110005472,,5.27540495,14.01207815
