Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.18018209,0.00049615,8.6e-07,6952530.765067938,0.02705933842814206,,1310.97995333,-0.4166242
1.0,0.18016802,0.00048782,-9.8e-07,6913529.800193944,0.026907343889012343,,1304.20857558,-0.31809996
2.0,0.18016001,0.00047087,-1.52e-06,6864276.820150489,0.026715491782755747,,1295.24435539,-0.41833424
3.0,0.18016977,0.00046465,-2e-07,6890530.638486185,0.026817775586804538,,1299.7938918,-0.327834
4.0,0.18018753,0.00046404,1.52e-06,6946286.4560124185,0.027035014700778504,,1309.57119631,-0.3880798
5.0,0.18016782,0.00045994,3.24e-06,6876784.432983413,0.026764153005287252,,1297.27666569,-0.39413069
6.0,0.1801902,0.00046583,1.15e-06,6862044.415346944,0.026707199004546312,,1293.58024826,-0.34809132
7.0,0.18020129,0.00047794,-8.9e-07,6894747.301271224,0.02683473413581381,,1299.29163549,-0.31573222
8.0,0.18013424,0.00050111,1.06e-06,6952490.4490835965,0.027058434604196525,,1312.96274001,-0.33835728
9.0,0.18021535,0.0005031,9.5e-07,6932959.171557053,0.026983707251256293,,1305.91039981,-0.36992713
10.0,0.18017202,0.00049871,-1.8e-07,6855679.568869474,0.02668226638180158,,1293.131733,-0.35808844
11.0,0.18018568,0.00050781,1.46e-06,6931603.656005555,0.026977965659230094,,1306.88580603,-0.38492281
12.0,0.18022275,0.00050261,4.48e-06,6944691.57107169,0.027029404418604533,,1307.80912019,-0.36519166
13.0,0.18016319,0.00050375,5.44e-06,6934804.8823486455,0.026989966731247032,,1308.41721958,-0.30165733
14.0,0.18020324,0.00051537,2.65e-06,6874666.288953745,0.02675663244716193,,1295.42836623,-0.35743073
15.0,0.18014451,0.00054821,4.81e-06,6846097.539079329,0.026644569859168337,,1292.45247755,-0.41359876
16.0,0.18018866,0.00056048,7.05e-06,6956670.845840174,0.02707559527864959,,1311.489039,-0.41412492
17.0,0.18013373,0.00053573,4.97e-06,6933237.384588506,0.026983503377997355,,1309.34851688,-0.43780231
18.0,0.18016422,0.00049948,3.65e-06,6858227.281457842,0.02669197497313924,,1293.9283009,-0.37321566
19.0,0.18011802,0.00052342,6.62e-06,6912353.389440049,0.026901904907869652,,1306.05048155,-0.44359012
20.0,0.18015036,0.00054606,8.72e-06,6943348.991877991,0.027023061895569755,,1310.56449995,-0.39465685
21.0,0.18012161,0.00054085,7.22e-06,6927754.816434452,0.026961937289217607,,1308.81332425,-0.42017581
22.0,0.18014779,0.00052736,5.23e-06,6821581.155211078,0.026549136701431764,,1287.68674716,-0.30534048
23.0,0.18016371,0.00053191,3.7e-06,6849216.286358441,0.0266569864459972,,1292.25360859,-0.39281527
24.0,0.18014132,0.00053456,7.3e-07,6914671.794362324,0.026911461731168367,,1305.53272038,-0.39781383
25.0,0.18013578,0.00050326,-9.1e-07,6895459.597580401,0.026836551486953523,,1302.13156088,-0.32849171
26.0,0.18015662,0.00045067,6.7e-07,6936778.871745392,0.026997505293906023,,1309.06037635,-0.40728479
27.0,0.18017942,0.00043438,3.64e-06,6921819.382772351,0.026939527922908664,,1305.28791656,-0.34269814
28.0,0.18015149,0.00047575,6.51e-06,6843499.614960161,0.0266343254743803,,1291.6644738,-0.34809132
29.0,0.18016032,0.00051037,7.82e-06,6829490.650829595,0.026580007934792354,,1288.66289033,-0.38031888
30.0,0.18010611,0.00049859,6.36e-06,6924148.541746906,0.02694755790149582,,1308.76919064,-0.44359012
31.0,0.18014954,0.00047827,3.1e-06,6845834.562148611,0.02664346750018869,,1292.18918677,-0.37689881
32.0,0.1801481,0.0004601,6.17e-06,6860309.366482385,0.026699658508498925,,1294.9744856,-0.40294393
33.0,0.1801404,0.00043604,7.83e-06,6903714.548950387,0.026868360051614575,,1303.48062801,-0.43464533
34.0,0.18012479,0.00043336,8.33e-06,6872881.478992955,0.02674809869836669,,0.68977667,-0.43846002
35.0,0.1801404,0.00047063,7.89e-06,6896694.230047506,0.026841134277949437,,-0.34609766,-0.40965253
36.0,0.18013886,0.00050318,7.28e-06,6918193.841556874,0.026924890421479154,,-0.16292939,-0.47371302
37.0,0.18013034,0.00053,8.2e-06,6896393.349723742,0.026839966179885114,,0.25614202,-0.38821134
38.0,0.18013629,0.00050355,5.97e-06,6926653.628174788,0.02695780587409198,,-0.05945782,-0.38729055
39.0,0.1802018,0.00049103,4.84e-06,6891434.663661537,0.026821754388880913,,-2.95292514,-0.4137303
40.0,0.18019513,0.00049554,6.58e-06,6882307.589563268,0.02678609986945642,,-2.23225707,-0.43280375
41.0,0.18013424,0.00048859,4.53e-06,6916352.460474818,0.026917673393429924,,0.74553851,-0.35427375
