Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20943195,0.00056701,2.78e-06,1576070.2318095292,0.005293774389914555,,0.62834379,-233.40297895
1.0,0.2094731,0.00061236,2.7e-06,2177499.5481044566,0.007314067667663206,,0.34314744,-233.39669003
2.0,0.2094104,0.0006415,1.35e-06,2835979.7289785473,0.009525595631454886,,1.4886626,-233.38869787
3.0,0.2094183,0.00060513,2.68e-06,3458456.8898171233,0.01161638584028099,,1.65532691,-233.40848176
4.0,0.20940752,0.00058395,4.95e-06,4060853.019481357,0.013639608669776251,,2.19995184,-233.37585799
5.0,0.20942107,0.00055799,2.54e-06,4767039.2829534905,0.016011642732382866,,2.20427358,-233.37336862
6.0,0.20940352,0.00055293,1.76e-06,5402644.379409129,0.01814636904936976,,3.05351043,-233.3923664
7.0,0.20939182,0.00054391,2.9e-06,6002359.873560501,0.02016053594138037,,3.80374558,-233.40009653
8.0,0.20939336,0.00054285,2.45e-06,6715015.526424244,0.022554203370893807,,4.19482154,-233.40756462
9.0,0.20939449,0.0005366,5.56e-06,7313953.6522448985,0.02456584228530426,,4.52060393,-233.43311336
10.0,0.20942969,0.0005364,8.29e-06,7942303.9838638995,0.026676739705924803,,3.2714358,-233.37061722
11.0,0.20943267,0.00055407,9.37e-06,8472501.973532662,0.028457650344009246,,3.34212213,-233.41293641
12.0,0.20944775,0.00061681,8.13e-06,8522700.471008897,0.02862668855830438,,2.60875789,-233.38751869
13.0,0.20937745,0.00065064,6.2e-06,8459819.66538356,0.028414619877279387,,6.07295174,-233.37140334
14.0,0.20941163,0.00067109,3.22e-06,8575599.234030548,0.028804114253105237,,4.43965328,-233.36576951
15.0,0.20943318,0.00068632,3.9e-07,8533505.949438892,0.028663143142779148,,3.34060409,-233.41529475
16.0,0.20938351,0.00068926,1.9e-07,8586222.17638758,0.028839507078736525,,5.85927152,-233.35686021
