Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20890347,0.00068495,1.583e-05,8495718.557242787,0.027380530309916003,0.14622070566313847,29.73079777,-0.97887494
1.0,0.20889156,0.00064647,1.504e-05,8506015.70443512,0.027413457652427697,0.14763336450913617,30.36041972,-1.03662538
2.0,0.20890707,0.00061686,1.085e-05,8501356.157832278,0.027398652177683672,0.14734704630372908,29.57138231,-1.00610578
3.0,0.20889289,0.0006089,7.62e-06,8499319.928237505,0.027391935934310753,0.14440681337804423,30.27008382,-0.92125604
4.0,0.20888057,0.00059908,8.7e-06,8547827.56784428,0.027548047826135652,0.14045822115345127,31.0599362,-0.90836415
5.0,0.20889186,0.00058278,1.161e-05,8417212.963197608,0.02712715157274581,0.13892756135966836,30.02813765,-0.96151034
6.0,0.20888827,0.00057395,1.225e-05,8402204.815621423,0.027078696554952774,0.13630367679215188,30.1514921,-0.95203874
7.0,0.20888252,0.00059592,1.159e-05,8460682.910083637,0.027267157434972055,0.13250057026348938,30.64649073,-0.96519374
8.0,0.20888057,0.00061875,8.12e-06,8469715.020967957,0.027296373545995265,0.13244556247499617,30.77617792,-0.98176904
9.0,0.20889649,0.00060027,8.2e-06,8480150.883098945,0.027330170354947635,0.1326179210242162,30.02319029,-1.01649823
10.0,0.20888765,0.00059115,9.43e-06,8570994.75536369,0.02762277193751816,0.12814320782656408,30.78825802,-0.97453379
11.0,0.20890018,0.00061111,8.61e-06,8548903.641036304,0.02755182370333312,0.1264726834262944,30.0814498,-0.97045574
12.0,0.20886958,0.0006631,6.44e-06,8530900.70809342,0.027493573778306628,0.12470447390688283,31.54786414,-0.97900649
13.0,0.20888098,0.00068713,4.28e-06,8398992.97062714,0.0270687242623426,0.12246493523559387,30.49928798,-0.95138099
14.0,0.20889289,0.00071669,3.69e-06,8292053.46568973,0.026724328054708736,0.12131536398157748,29.53232847,-0.98874118
15.0,0.20888704,0.00072125,7.46e-06,8362907.005154357,0.026952540870853813,0.11975705124760933,30.07142017,-0.99518713
16.0,0.20891138,0.0006829,8.31e-06,8502033.258509267,0.027401134020743016,0.11890466270743606,29.35912686,-1.01702443
17.0,0.2089084,0.00066175,5.95e-06,8494676.248606063,0.027377368291311453,0.11609668940796655,29.48194146,-1.00071223
18.0,0.20892443,0.00065238,6.41e-06,8473594.85184011,0.02730960916155656,0.11692001860785609,28.61329161,-0.96914024
19.0,0.20889361,0.00067271,7.82e-06,8511302.611149108,0.027430743827691142,0.11483211767018148,30.27711042,-0.93112229
20.0,0.2088669,0.00065144,5.83e-06,8567964.37810128,0.027612964637638633,0.113068894552805,31.81892299,-0.96427289
21.0,0.20889741,0.00064121,6.19e-06,8459184.661435269,0.027262769034570845,0.11463867784902905,29.90332487,-0.99623953
22.0,0.20892586,0.00065374,9.01e-06,8470520.497498726,0.027299672841962903,0.1139561902008918,28.53149725,-0.98374229
23.0,0.20890008,0.0006721,1.083e-05,8415969.398074182,0.027123525334486216,0.11255314434096621,29.61889338,-0.96914024
24.0,0.20891549,0.00065583,1.307e-05,8438645.230235338,0.027196726267174502,0.11102741664101354,28.9369374,-0.93493724
25.0,0.20890707,0.00067173,1.262e-05,8462720.639053196,0.027274257493399328,0.11017054595178567,29.43712307,-0.92888594
26.0,0.20891652,0.00066528,9.66e-06,8505100.565093078,0.02741101283665512,0.11113949159350385,29.11374079,-0.99163528
27.0,0.20888375,0.00064179,1.005e-05,8497535.019864982,0.027386104054373788,0.10974568848731228,30.71880891,-0.97058729
28.0,0.20893572,0.00064959,1.299e-05,8503744.547005925,0.027406795393073273,0.10887553585721305,28.15203373,-0.99229303
29.0,0.20891364,0.00068364,7.31e-06,8525738.783112671,0.02747758759078211,0.10746833491970233,29.32814346,-0.95743229
30.0,0.20889556,0.00071,4.45e-06,8533347.973648332,0.027501994713993567,0.10599203404663501,30.25817013,-0.95230184
31.0,0.20889834,0.0007215,4.37e-06,8491633.29956494,0.02736762595262058,0.10660460486366981,29.97233874,-0.92191379
32.0,0.2088517,0.00071456,3.27e-06,8456875.361773642,0.02725496838616239,0.10812124752446921,32.15960166,-0.96716699
33.0,0.2088969,0.00071292,3.05e-06,8466153.169699261,0.027285488036040122,0.10500512789640946,29.95372255,-0.94769759
34.0,0.2088704,0.00067456,1.78e-06,8426257.389193593,0.0271564626050941,0.1040864520038381,31.12047323,-1.02399658
35.0,0.20886495,0.00064454,2.85e-06,8474816.407261537,0.027312778440514218,0.10372498053975834,31.56991562,-0.97953269
36.0,0.20888252,0.00066889,3.7e-06,8504464.094397886,0.027408622497001694,0.10492143036736055,30.80548815,-0.97361294
37.0,0.20888539,0.00070988,3.24e-06,8457775.05375829,0.02725831630719868,0.10435661515830646,30.49402495,-0.97742789
38.0,0.20889135,0.00070938,3.87e-06,8502362.775385126,0.027402084819112178,0.10504664367985289,30.35805891,-0.97190279
39.0,0.20888755,0.00069472,7.01e-06,8498280.351826593,0.02738877091252591,0.10407307749359679,30.53255591,-0.96269429
40.0,0.20891888,0.00066261,9.66e-06,8435761.552161233,0.02718756534113713,0.10409273970454343,28.7596247,-0.96111569
41.0,0.20888036,0.00063961,1.066e-05,8445033.005176445,0.02721683442881669,0.10421588597529204,30.69666397,-0.97519154
42.0,0.20889145,0.00063793,1.114e-05,8419350.116654389,0.027134199946420343,0.10427201467325549,30.05620895,-1.00018603
43.0,0.20888252,0.00068154,1.349e-05,8428185.995111303,0.027162632790441236,0.10303059974935155,30.5290119,-1.00873678
44.0,0.20888159,0.00068511,1.399e-05,8493539.986478137,0.027373245315357272,0.10440371250315034,30.81173223,-0.97624394
