Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20960768,0.00067096,1.061e-05,4088890.937687792,0.013134391181853665,,-2.57790004,-0.7101937
1.0,0.20961878,0.00065925,9.79e-06,4129761.889907239,0.013265742637694483,,-2.87204967,-0.72466706
2.0,0.20962669,0.0006335,6.79e-06,4025695.638808472,0.012931502210621221,,-2.98620932,-0.74927177
3.0,0.20959155,0.00060767,6.9e-06,3941384.693751373,0.012660417260261347,,-2.11256458,-0.75966627
4.0,0.20958724,0.00058642,8.76e-06,4030859.9371427596,0.01294775319909614,,-2.05865568,-0.73295635
5.0,0.20959432,0.00056542,7.93e-06,4060045.8497674465,0.01304152820589052,,-2.24211142,-0.71940402
6.0,0.20963368,0.00055683,7.11e-06,4139917.8965671198,0.01329834800959841,,-3.24032261,-0.7540085
7.0,0.20961005,0.00057136,7.14e-06,4116202.2071383,0.013222031431257195,,-2.65206469,-0.72216712
8.0,0.20958313,0.00060288,7.19e-06,3993486.479632901,0.012827714121412934,,-1.94346606,-0.70361491
9.0,0.20959032,0.00062306,8.28e-06,3985098.382339175,0.012800833313967445,,-2.1072236,-0.72321973
10.0,0.20958826,0.00064738,8.81e-06,4064775.094696827,0.013056783723020259,,-2.10044644,-0.76098203
11.0,0.20960871,0.00062311,8.39e-06,4041364.4305648673,0.012981688205833479,,-2.57224531,-0.68874682
12.0,0.20957306,0.00059257,7.58e-06,4131562.1774657737,0.013271150247389273,,-1.76706203,-0.75269274
13.0,0.209642,0.00059539,7.05e-06,4126189.8596311365,0.013254359827851895,,-3.43072725,-0.73453526
14.0,0.20961477,0.00058524,6.51e-06,4070671.382963177,0.013075833561598861,,-2.7354091,-0.7474297
15.0,0.20960655,0.0005791,6.48e-06,4014670.9782508723,0.012895887675272995,,-2.50451751,-0.7337458
16.0,0.20960768,0.00058516,7.15e-06,3942529.065993589,0.012664163202133982,,-2.48560791,-0.70953583
17.0,0.20960891,0.00058561,6.09e-06,4053362.279177475,0.013020199439111466,,-2.58475382,-0.75835051
18.0,0.20958508,0.00057378,6.94e-06,4032675.771527699,0.012953571783103635,,-2.00863113,-0.76927131
19.0,0.20959689,0.00056149,8.87e-06,4135989.091750508,0.013285472850614048,,-2.34626133,-0.73361423
20.0,0.20961292,0.00057083,9.04e-06,4172038.237695074,0.013401387588585237,,-2.75832798,-0.78887613
21.0,0.20959782,0.00060739,1.034e-05,4083393.1360905133,0.013116581407856464,,-2.3385458,-0.73006167
22.0,0.20960224,0.00062618,8.4e-06,4039470.739847796,0.012975567363551297,,-2.41791269,-0.7403246
23.0,0.20962237,0.00063559,9.59e-06,3992522.3691637986,0.012824890857727466,,-2.86068828,-0.76913974
24.0,0.20960254,0.00060796,1.092e-05,3970011.274131411,0.012752404343514302,,-2.38349365,-0.76571876
25.0,0.20963131,0.00060505,1.099e-05,4058455.13489406,0.013036685262752834,,-3.12039501,-0.75374535
