Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20957747,0.00058593,5.43e-06,4015859.7276503392,0.01290199040282482,,-1.82181399,-12.85189213
1.0,0.2095973,0.00059969,6.09e-06,3955115.4765730025,0.012706972123296955,,-2.2536164,-12.84149763
2.0,0.20955035,0.00062908,6.3e-06,3993716.9001245815,0.012830726712189048,,-1.17736878,-12.84597121
3.0,0.20958148,0.0006595,6.78e-06,4084032.2307840018,0.013121127071581765,,-1.9485993,-12.86189191
4.0,0.20954038,0.00063973,6.26e-06,4063804.053245576,0.013055847494973773,,-0.96086579,-12.84531333
5.0,0.20957953,0.00064583,5.75e-06,3935497.4632524005,0.012643895382389057,,-1.832732,-12.85018164
6.0,0.20958415,0.00064402,5.46e-06,3981376.522855125,0.012791324618972455,,-1.96191051,-12.86623391
7.0,0.20956001,0.00063154,6.12e-06,4039753.9763385775,0.012978699113683666,,-1.41942298,-12.8778126
8.0,0.20956165,0.0006491,6.31e-06,4062660.0799423684,0.013052323557178856,,-1.46658595,-12.8684707
9.0,0.20957378,0.00064746,6.4e-06,4019019.404094726,0.012912192163659126,,-1.73619469,-12.80834049
10.0,0.20963378,0.00066277,6.79e-06,3942301.931167363,0.01266611338626104,,-3.08864285,-12.81676135
11.0,0.20958528,0.00067002,7.01e-06,4008743.1913790423,0.012879275964474078,,1.13839873,-12.82478748
12.0,0.20951983,0.00064177,9.02e-06,4052398.202861908,0.01301904662170692,,2.12814128,-12.85781305
13.0,0.20955641,0.00065835,1.02e-05,4102878.705002638,0.013181477253443536,,0.55784005,-12.84162921
14.0,0.20955569,0.00063203,1.021e-05,3918968.2024687924,0.012590581455641785,,0.41612812,-12.86504973
15.0,0.20957244,0.00060747,8.09e-06,3990629.339775675,0.012820903314592009,,-0.05233901,-12.88281248
16.0,0.20958754,0.00063191,6.95e-06,4026181.4241843796,0.012935264917975694,,-0.40009263,-12.87728629
17.0,0.20958333,0.00063068,5.7e-06,4077955.964193155,0.01310158804594829,,-0.24675042,-12.85294474
18.0,0.20956669,0.00061389,3.13e-06,4019266.895675129,0.012912926491273359,,0.17893777,-12.83926084
19.0,0.20955888,0.00064054,3.24e-06,3961664.249736284,0.012727848042890375,,0.33791102,-12.86452342
20.0,0.20957994,0.00065287,5.17e-06,4015809.8329416853,0.012901939100657329,,-0.18700469,-12.8236033
21.0,0.20956792,0.0006803,7.8e-06,4075123.957120398,0.013092436774750717,,0.11433833,-12.82715585
22.0,0.20957706,0.00068562,9.12e-06,4071678.5801997953,0.013081422232070919,,-0.11329765,-12.85676044
23.0,0.20954593,0.00068725,7.15e-06,3936371.159536288,0.01264653190021076,,0.61643456,-12.84412915
24.0,0.20951182,0.00066687,6.04e-06,3964381.0546593973,0.012736285849417618,,1.3681663,-12.8142614
25.0,0.20958261,0.00064173,5.85e-06,4027466.0903752386,0.012939383971859683,,-0.3720275,-12.86320766
26.0,0.20958364,0.00065819,5.74e-06,4084383.5115889045,0.013122277897929883,,-0.3782799,-12.83899769
27.0,0.20950668,0.00066941,5.76e-06,4057283.869956128,0.013034725386270296,,1.47441454,-12.88978601
28.0,0.2095821,0.0006658,5.9e-06,3941862.8088383167,0.01266438730246539,,-0.38762579,-12.81347195
29.0,0.20960758,0.00067858,6.94e-06,3979791.7057105303,0.01278641551468131,,-0.96463496,-12.84097133
30.0,0.20960183,0.0006866,5.9e-06,4010649.8622511434,0.012885541148258295,,-0.78836327,-12.85294474
31.0,0.20956165,0.00067903,6.09e-06,4101601.475060882,0.013177476127473633,,0.19705501,-12.84939219
32.0,0.20956453,0.00065274,7.17e-06,4087828.7774102627,0.013133200154510125,,0.11860613,-12.86728652
33.0,0.20960778,0.00066662,6.51e-06,3960859.7775259195,0.012725579603045472,,-0.89338211,-12.83320834
34.0,0.20957408,0.00064628,6.33e-06,3971728.456724523,0.012760258122806662,,-0.0746726,-12.82005075
35.0,0.20951706,0.00062225,7.36e-06,3993256.44825134,0.012829014571515408,,1.26112271,-12.87583896
36.0,0.20958436,0.00064292,5.88e-06,4063541.90876951,0.013055300611128914,,-0.36719331,-12.84044502
37.0,0.20962011,0.00063363,4.08e-06,4073347.4972203514,0.013087042206735795,,-1.20740143,-12.87044434
38.0,0.20957511,0.00063207,3.55e-06,3998208.708160748,0.012845346394420991,,-0.08908799,-12.86912858
39.0,0.20959073,0.00065581,4.2e-06,3965335.265579706,0.01273985673386794,,-0.44795034,-12.80873521
40.0,0.20953412,0.00065872,4.56e-06,4058442.870233963,0.013038624679298371,,0.90212147,-12.85202371
41.0,0.20959679,0.0006376,3.72e-06,4021514.5171458,0.012920368789238372,,-0.61075635,-12.87189168
42.0,0.20955898,0.000657,3.83e-06,4069523.379134301,0.0130743904334236,,0.30228584,-12.82399803
43.0,0.20961138,0.00063584,3.28e-06,4010131.116053672,0.012883891817043835,,-0.94166783,-12.84241866
44.0,0.20963748,0.00065246,2.42e-06,3889530.5672969073,0.012496614765183519,,-1.48101268,-12.87768102
45.0,0.20959546,0.00066982,1.82e-06,4003181.0194824724,0.012861519286193054,,-0.49547993,-12.86320766
46.0,0.20961652,0.0006681,3.69e-06,4087253.312838126,0.01313174707177479,,-0.9960112,-12.82149808
47.0,0.20960265,0.00065651,2.54e-06,4095765.4554528045,0.013158998970912788,,-0.63839357,-12.84662909
48.0,0.2095709,0.00064963,1.6e-06,3962296.5624409034,0.012729983307368506,,0.13531425,-12.84978692
49.0,0.20958004,0.00064145,5.5e-07,3956092.073545849,0.012710106515840534,,-0.08019302,-12.83412938
50.0,0.20956299,0.00063645,1.75e-06,3947028.572423557,0.012680861518791765,,0.31617863,-12.84886588
51.0,0.20956586,0.00064034,3.85e-06,3988879.0747467987,0.012815321400658063,,0.24454514,-12.85176056
52.0,0.2095822,0.00063682,4.7e-06,4042591.070946074,0.012987978719564561,,-0.14477405,-12.83110313
53.0,0.20956925,0.00060378,6e-06,3998580.0836371724,0.012846440995074553,,0.16324782,-12.8608393
54.0,0.20955117,0.00059932,6.16e-06,3969236.688879685,0.01275204514302078,,0.57862701,-12.85912881
55.0,0.20957583,0.00060538,6.11e-06,4022744.4386134055,0.012924118745104341,,-0.00742199,-12.82597167
56.0,0.20961272,0.00058258,8.26e-06,4080499.815506633,0.013109863258003904,,-0.88877185,-12.82018232
57.0,0.20955908,0.00061508,9.62e-06,4085104.597731519,0.013124337130355693,,0.41215001,-12.86294451
58.0,0.20956175,0.00060014,1.019e-05,3931807.595096222,0.012631827161850063,,0.32692036,-12.8033406
59.0,0.20960789,0.00060992,1.052e-05,3976878.470154828,0.012776932673308296,,-0.75041102,-12.83715562
60.0,0.20955487,0.00062867,1.083e-05,3998336.2591597876,0.012845553930713198,,0.50191241,-12.82939264
61.0,0.2095633,0.00064288,1.155e-05,4091238.7085366566,0.013144092155547264,,0.30168432,-12.83005052
62.0,0.20958641,0.00063166,1.239e-05,4108181.3669079356,0.013198653631439142,,-0.25900312,-12.85162898
63.0,0.20955621,0.00062159,1.1e-05,3985268.961145492,0.012803569800538416,,0.45838483,-12.80926152
64.0,0.20957552,0.00062835,9.57e-06,3949865.484824257,0.012689972947661571,,-0.00083614,-12.86333924
