Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20959814,0.00059894,-2.79e-06,7842415.546528802,0.02600531902277325,,-4.50755927,-0.76116531
1.0,0.20955696,0.00061488,-1.74e-06,7880022.370731609,0.026129508132979217,,-2.62858694,-0.78112545
2.0,0.20954865,0.00059476,9e-07,7945347.5034562275,0.02634590547465147,,-2.26332207,-0.78650944
3.0,0.20954043,0.00059915,3.53e-06,7905993.82129538,0.026215267368138513,,-1.87175067,-0.79333791
4.0,0.20955912,0.00061724,4.27e-06,7929697.731134735,0.026294148332738604,,-2.74529654,-0.79044894
5.0,0.20954474,0.00060533,2.75e-06,7877916.301995333,0.026122253909891122,,-2.0640826,-0.77797385
6.0,0.2095432,0.00062683,1.63e-06,7864691.353058415,0.026078461357851322,,-1.98967924,-0.74527598
7.0,0.20954331,0.0006461,5.8e-07,7873434.738110145,0.026107527509719244,,-1.99663166,-0.79071157
8.0,0.20956097,0.00064915,-5.6e-07,7968064.010928712,0.026421572506459223,,-2.84485748,-0.73135641
9.0,0.2095583,0.00062948,-9.2e-07,7937557.250466238,0.026320331460359322,,-2.70984089,-0.78007492
10.0,0.20954577,0.00062854,1.5e-07,7865986.063045184,0.026082820593965706,,-2.10827021,-0.75761976
11.0,0.2095088,0.00064029,-1.61e-06,7873612.273902438,0.026107690571806258,,-0.40584719,-0.76694324
12.0,0.20955203,0.00061777,1e-08,7908869.811512458,0.026225073977393452,,-2.40989763,-0.77469093
13.0,0.209612,0.00059915,-5e-07,7884315.845174003,0.026144398303805712,,-5.17191627,-0.76457954
14.0,0.20945766,0.00058321,5.5e-07,7894520.956247533,0.02617615240937481,,1.9566757,-0.74527598
15.0,0.20959085,0.0005752,1.14e-06,7919192.476949708,0.0262596743306441,,-4.213452,-0.75656922
16.0,0.20949432,0.00055804,2.46e-06,7925895.2504847,0.02628055816175281,,0.26338988,-0.75972082
17.0,0.20959681,0.00059093,4.83e-06,7903788.274384415,0.026208646260040686,,-4.48099897,-0.79438844
18.0,0.20950654,0.00061069,5.77e-06,7829138.653021824,0.02595997440293069,,-0.29998814,-0.73897278
19.0,0.20952493,0.00060703,6.54e-06,7857660.214861508,0.026054762015567733,,-1.14681042,-0.75105392
20.0,0.20956107,0.00061667,7.96e-06,7902409.123340498,0.026203615975838385,,-2.82614227,-0.7712767
21.0,0.20950921,0.00063679,8.96e-06,7881270.181038609,0.026132879193821474,,-0.42519383,-0.75840766
22.0,0.20959588,0.00065411,8.5e-06,7895123.972514665,0.026180007739777057,,-4.43336246,-0.74869022
23.0,0.20950572,0.00066042,7.45e-06,7891447.3665647125,0.02616667264179648,,-0.26441788,-0.77876175
24.0,0.20959783,0.00067822,4.88e-06,7866599.320531802,0.026085580430038568,,-4.50727576,-0.76352901
25.0,0.20947718,0.00066818,2.7e-06,7899379.131834814,0.02619270989678098,,1.05562691,-0.75748844
26.0,0.20962238,0.00066729,3.28e-06,7946438.64679451,0.026350650786183382,,-5.69552035,-0.73372011
27.0,0.20954012,0.0006548,3.68e-06,7947113.876260748,0.02635176318209749,,-1.86715927,-0.75578132
28.0,0.20950439,0.00064875,1.43e-06,7935718.323234928,0.026313532170341266,,-0.2038729,-0.78664075
29.0,0.20958859,0.00064598,1.9e-06,7896279.423788904,0.026183846176286718,,-4.09679672,-0.74803363
30.0,0.20956456,0.00065696,3.3e-06,7922737.623726399,0.0262712686796629,,-2.9954435,-0.76523613
31.0,0.20952421,0.00062769,4.44e-06,7912817.859915686,0.02623774331189895,,-1.1215579,-0.78532759
32.0,0.20953283,0.00061309,5.46e-06,7940181.634902721,0.026328531443055254,,-1.52650577,-0.75184182
33.0,0.20957925,0.00062651,5.26e-06,7902540.425285196,0.02620436790826383,,-3.66747641,-0.76287242
34.0,0.20954772,0.0006394,4.2e-06,7883061.649338247,0.026139420347100935,,-2.20291737,-0.7760041
35.0,0.20956538,0.00060838,3.51e-06,7906323.188458439,0.026216712647493347,,-3.02726295,-0.76444823
36.0,0.20950778,0.00061293,5.26e-06,7925427.500575763,0.026279282575319092,,-0.36086148,-0.76379164
37.0,0.20952708,0.00063334,5.1e-06,7923436.0817769235,0.02627299257729128,,-1.2564702,-0.74527598
38.0,0.20948734,0.00064188,3.38e-06,7864834.186720854,0.026078213870617154,,0.5829025,-0.7807315
39.0,0.20952698,0.00062289,5.7e-06,7876743.8558219485,0.026118126489897274,,-1.24432754,-0.79727741
40.0,0.20954053,0.00058841,6.01e-06,7902441.224841832,0.026203412240846567,,-1.87565635,-0.75735712
41.0,0.20951034,0.00060797,4.92e-06,7910110.56199589,0.026228520788863965,,-0.47906743,-0.77403435
42.0,0.20953663,0.00062476,5.21e-06,7894866.27597872,0.026178358638742256,,-1.69345589,-0.76103399
43.0,0.20953478,0.00063358,3.06e-06,7902021.328476394,0.02620212455948236,,-1.60946064,-0.78296389
