Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20957818,0.00056023,-1.01e-06,934.1369124727872,0.026537527671492846,,-4.27737619,51.28877726
1.0,0.20953023,0.00054801,-2e-08,930.9948948332652,0.02644757989887706,,-1.64821931,51.30096771
2.0,0.20952623,0.00051458,-7.7e-07,924.2056516941244,0.026254581535303932,,-1.41945158,51.28523809
3.0,0.20955179,0.00052259,2.25e-06,926.5304286998887,0.026320924581149603,,-2.81039362,51.30280284
4.0,0.20950271,0.00052079,-3e-07,933.418332864127,0.02651598891707615,,-0.14832729,51.28838402
5.0,0.20955159,0.00049251,-2.57e-06,932.0552063226875,0.026477878732801594,,-2.81594186,51.34343769
6.0,0.20953875,0.00045323,-1.43e-06,929.0644879042508,0.02639261810466202,,-2.10849752,51.3050312
7.0,0.20951575,0.00048458,3.92e-06,937.8459255615337,0.026641756777086585,,-0.86518199,51.27671788
8.0,0.20949245,0.00050162,6.52e-06,931.1310668653819,0.026450694170371266,,0.41186773,51.29520019
9.0,0.20954799,0.00052831,5.19e-06,929.1598527258815,0.026395530976869412,,-2.61161358,51.33360668
10.0,0.20953393,0.0005534,4.45e-06,932.382035832789,0.026486964110175204,,-1.85251524,51.26413418
11.0,0.20951411,0.00056992,6.37e-06,930.5553750032417,0.026434819496003254,,-0.76893687,51.29402046
12.0,0.20948957,0.00056456,7.35e-06,924.1410887158199,0.026252249270967632,,0.56435014,51.28445161
13.0,0.2094598,0.00054891,4.59e-06,925.3241793170106,0.026285474884273716,,2.17828971,51.30005015
14.0,0.20952119,0.00050362,8.3e-07,921.3339667355989,0.026172877101319998,,-1.14357194,51.34068501
15.0,0.20952797,0.000538,-2.17e-06,920.9226665119437,0.026161432932605984,,-1.50855635,51.31433789
16.0,0.20950333,0.00051082,-8.9e-07,920.2356108676948,0.026141493953192995,,-0.17943022,51.30411364
17.0,0.2095139,0.00054172,2.81e-06,919.7262716634972,0.02612717809392021,,-0.74892788,51.28340297
18.0,0.20950477,0.00055945,4.5e-06,923.306864271045,0.026228790872964574,,-0.25774999,51.32875671
19.0,0.20950754,0.00051274,4.33e-06,930.9652424413914,0.026446256128578975,,-0.41102062,51.3043758
20.0,0.20953844,0.00052528,3.37e-06,928.9188787951215,0.026388585577522092,,-2.09141731,51.30109879
21.0,0.20949953,0.00059162,1.51e-06,927.9819355473142,0.02636167451149476,,0.02550141,51.28418945
22.0,0.20950199,0.00053636,2.93e-06,928.9491712632725,0.026389003668421968,,-0.10851958,51.29166102
23.0,0.20951103,0.00052402,1.02e-06,933.780327288216,0.026526366425961248,,-0.60316081,51.28405837
24.0,0.20949029,0.00052018,1.33e-06,931.3132012737742,0.02645599021455705,,0.52953521,51.29415154
25.0,0.20951432,0.00048388,3.28e-06,925.9407950391044,0.026303554467795233,,-0.77625366,51.30109879
26.0,0.20949388,0.00049255,1.58e-06,929.6219209816115,0.026407911816950316,,0.33295346,51.27121251
27.0,0.20952161,0.00048723,-3.4e-07,925.5057466502119,0.02629136984569793,,-1.1710096,51.3235135
28.0,0.20951801,0.00052492,2.75e-06,931.2867171617286,0.026455591067393674,,-0.9823307,51.2468316
29.0,0.20948752,0.00054298,4.46e-06,928.8253845217395,0.026385285195604007,,0.67889528,51.25889098
30.0,0.20954152,0.00056787,2.35e-06,926.9620306940695,0.0263331734146887,,-2.25425523,51.29467587
31.0,0.20950641,0.00056669,-5.2e-07,935.0435173619136,0.026562337567717906,,-0.35098131,51.28799078
32.0,0.20960867,0.00054805,4e-07,926.3172237619669,0.026315722140036035,,-5.89643689,51.2944137
33.0,0.20954204,0.00052091,3.03e-06,929.8166709203309,0.02641413188913339,,-2.28914322,51.34134041
34.0,0.2094906,0.00055218,1.1e-07,930.5668132785898,0.026434903623319985,,0.51232875,51.29651099
35.0,0.20955785,0.00050661,-2e-08,926.4019034261488,0.02631735227141662,,-3.13871804,51.30463796
36.0,0.20953783,0.00049667,3.66e-06,925.1092835656001,0.02628027075301949,,-2.04945433,51.3195811
37.0,0.20955025,0.00049124,5.13e-06,937.2148791200406,0.026624285513234505,,-2.75824201,51.27291656
38.0,0.20956113,0.00051642,6.54e-06,935.0638444803656,0.026563366939323076,,-3.34800972,51.26321662
39.0,0.20950692,0.00055418,5.46e-06,938.7144066698708,0.026666475276473683,,-0.38057816,51.29152994
40.0,0.20954861,0.0005279,2e-06,940.0327629734609,0.026704476797734935,,-2.67609975,51.31866354
41.0,0.20958044,0.00050166,2.77e-06,937.8126468227448,0.026641743842734725,,-4.41826458,51.29035022
42.0,0.20952376,0.00049806,6.9e-07,936.6586971057257,0.026608237149942007,,-1.30339848,51.28196109
43.0,0.20952078,0.00049512,1.84e-06,937.2385778881581,0.026624640122535286,,-1.14076837,51.31945002
44.0,0.20953752,0.00053379,4.82e-06,928.7790917103424,0.02638459829819552,,-2.0408348,51.32823239
45.0,0.20949861,0.00056027,5.62e-06,931.5326907799529,0.026462364848588275,,0.07600599,51.31525545
46.0,0.20950959,0.00058553,6.4e-06,933.3225939725532,0.026513412333108177,,-0.52430045,51.32259594
47.0,0.20951863,0.00059881,3.25e-06,931.1713551608492,0.02645251768169432,,-1.01581133,51.31394465
48.0,0.20950836,0.00060449,2.9e-07,929.4812209782577,0.026404441173218544,,-0.45508057,51.34042285
49.0,0.20951688,0.00060225,-2.17e-06,932.848572720899,0.02650025385299808,,-0.92228778,51.32233378
50.0,0.20945908,0.00058206,1.1e-07,935.2434232359287,0.026567417496956333,,2.24100977,51.28314081
51.0,0.2095599,0.00056579,4.03e-06,934.9207695945954,0.026559471838940564,,-3.28004686,51.27160575
52.0,0.20948485,0.00055009,6.14e-06,924.0341036530143,0.026249131168890945,,0.81983233,51.30870144
53.0,0.20952972,0.00058941,7.67e-06,927.914030230553,0.026360020434580106,,-1.61486364,51.31433789
54.0,0.20953167,0.00054576,4.68e-06,935.3968182224119,0.026572551802453177,,-1.7347548,51.28196109
55.0,0.2095136,0.00053231,4.57e-06,932.3914478388182,0.02648690101237627,,-0.74242029,51.30031231
56.0,0.2094984,0.00056317,1.63e-06,924.7311967404625,0.026269233474728787,,0.0865711,51.30621092
57.0,0.20948043,0.00055655,-7.2e-07,934.9499982542881,0.026559310988704902,,1.07122176,51.29690423
58.0,0.20952859,0.00056379,2.53e-06,928.9199329385659,0.026388608072131656,,-1.55517086,51.29074346
59.0,0.20953043,0.00055966,3.52e-06,931.8472773042148,0.026471761573549107,,-1.66093323,51.28392729
60.0,0.20948187,0.00054,4.63e-06,935.7257481398872,0.0265812180939435,,0.99334731,51.31132305
61.0,0.2095253,0.00050452,3.18e-06,932.8906363352132,0.026501186258402577,,-1.38229799,51.31722166
62.0,0.20951863,0.00053072,4.89e-06,929.1881168887949,0.02639595838158338,,-1.01363939,51.3083082
63.0,0.20950631,0.0005577,6.25e-06,936.1356938614294,0.026593207163178194,,-0.34576056,51.29008806
64.0,0.20949132,0.00052402,8.05e-06,930.7605343580867,0.026440186399061674,,0.47325961,51.27645572
65.0,0.20949717,0.00053456,8.5e-06,934.9452184187759,0.026559159589255678,,0.15498166,51.31106089
66.0,0.20949388,0.00055316,7.89e-06,929.592748810656,0.026407130694039372,,0.3329436,51.2891705
67.0,0.20955251,0.00057507,8.38e-06,935.811320444094,0.026584614870207274,,-2.87794359,51.29559343
68.0,0.2095138,0.00057155,8.19e-06,928.7345236552422,0.026383059252601926,,-0.7506783,51.3037204
69.0,0.20957992,0.00054245,5.95e-06,927.8959414469056,0.02636007163853656,,-4.3436478,51.31040549
70.0,0.20957479,0.00056088,4.16e-06,929.8419776895437,0.026415372912734783,,-4.07313465,51.32233378
71.0,0.20951113,0.0005485,8.4e-07,936.245808145103,0.026596477696821472,,-0.61038444,51.30450688
72.0,0.20954306,0.00051425,-1.24e-06,932.6500042156537,0.0264946976599334,,-2.35221099,51.27317872
73.0,0.2095828,0.00051695,-2.34e-06,935.2626687233401,0.026569475137669444,,-4.53565987,51.31748382
74.0,0.20954768,0.00052708,-2.32e-06,929.2711887327373,0.026398829529163472,,-2.59517481,51.31735274
75.0,0.20953126,0.00056015,-3.78e-06,934.1331501475656,0.026536850616625952,,-1.70995508,51.29074346
76.0,0.20952458,0.00055835,-3.29e-06,932.673876793006,0.02649529261275994,,-1.34273234,51.29388938
77.0,0.20950569,0.00051642,1.75e-06,926.6157534434946,0.026322733525673145,,-0.30881556,51.28353405
78.0,0.20950456,0.00051482,5.21e-06,933.7122938912195,0.02652424193069493,,-0.24942537,51.2765868
79.0,0.20951082,0.00050256,4.47e-06,930.2067964533665,0.026424723178582566,,-0.58966346,51.29847719
80.0,0.20951514,0.00053203,2.29e-06,924.5063368744908,0.02626296754154137,,-0.81952731,51.27580032
81.0,0.20949193,0.00052757,4.4e-06,933.8065178982357,0.02652680184220897,,0.44112426,51.27671788
82.0,0.2095559,0.00051364,4.64e-06,923.1468511275207,0.026224787767926756,,-3.0221955,51.32600403
83.0,0.20948937,0.00054102,1.12e-06,932.3195431356878,0.026484627306168306,,0.58055624,51.30018123
84.0,0.20948023,0.00058798,-4.9e-07,923.7300435039654,0.026240663074638314,,1.06947663,51.26321662
85.0,0.20944799,0.00057764,1.09e-06,932.9693305409891,0.026502639155117177,,1.76116004,51.28772862
86.0,0.20943926,0.00054049,-1.57e-06,925.5487505772966,0.026291677517551768,,1.34650064,51.32325134
87.0,0.20947386,0.00053043,-4.17e-06,921.6285273568083,0.02618079266400195,,-0.97336012,51.27907732
88.0,0.20945723,0.00053105,-1.15e-06,921.4855473501697,0.02617645755259653,,0.16758068,51.30424472
89.0,0.20939973,0.00054335,1.97e-06,925.0259534176319,0.02627624678639547,,3.24836784,51.30214744
90.0,0.20949306,0.00057028,-3.4e-07,924.6343439231734,0.026266468897972167,,-2.34694453,51.28012597
91.0,0.20948351,0.00058582,-3.39e-06,924.610404741031,0.02626576397917021,,-1.49458613,51.30607984
92.0,0.20946082,0.00055504,-4.71e-06,919.5325955853825,0.026121160399668948,,-0.07877672,51.31197845
93.0,0.20948156,0.00054004,-4.65e-06,928.5088261084303,0.02637637945611343,,-1.19836059,51.32914995
94.0,0.20954604,0.00056285,-5.35e-06,931.0339925880411,0.0264490428961239,,-4.59747887,51.29742855
95.0,0.20949358,0.0005776,-2.29e-06,932.6610560251988,0.026494551604094727,,-1.32083607,51.34330661
96.0,0.20948577,0.00057355,1.62e-06,933.7447803607076,0.026525147529314362,,-0.78548599,51.32403783
97.0,0.20952838,0.00057699,4.18e-06,930.1198347579481,0.026422697012673354,,-3.04330261,51.29166102
98.0,0.20949019,0.00059035,2.21e-06,931.8861531594044,0.026472442971769167,,-0.74677961,51.26741119
99.0,0.2095175,0.000553,1.74e-06,939.1609769152786,0.026679370915288117,,-2.20456406,51.3037204
100.0,0.20951319,0.00057073,3.62e-06,932.2225979099013,0.026482223926721418,,-1.81607271,51.31014333
101.0,0.20951247,0.00055255,2.05e-06,930.0447098590853,0.026420325355225333,,-1.66610311,51.30122987
102.0,0.20950353,0.00055185,4.1e-06,925.1380274695483,0.02628077986256131,,-1.08127337,51.28667997
