Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.209654,0.00051137,-5.48e-06,934479.0555354528,0.026531604475528756,,-0.84251481,55.17154121
1.0,0.2096427,0.00051838,-5.68e-06,930096.1488997041,0.02640703953873934,,-0.77701525,55.20263436
2.0,0.20960829,0.00055615,-4e-06,932681.0099353727,0.026480045138244115,,-0.59123215,55.15973368
3.0,0.20966376,0.00057709,-4.09e-06,924705.1967764947,0.02625438925121011,,-0.88655828,55.16786776
4.0,0.20964917,0.00057422,-1.28e-06,923816.1126454172,0.026228893695765858,,-0.8067832,55.19791135
5.0,0.20961342,0.00056918,9e-07,931598.188503872,0.026449312887281622,,-0.61856131,55.1817744
6.0,0.20966715,0.00053731,5.8e-07,933919.5570748837,0.02651584983775143,,-0.91392776,55.17718258
7.0,0.20964855,0.00050912,2.01e-06,934942.0375765667,0.02654452720967922,,-0.81311745,55.21640981
8.0,0.20964208,0.00050715,4.38e-06,926442.5488456861,0.026303077290839492,,-0.77061256,55.18006887
9.0,0.20964424,0.00050265,6.84e-06,923789.619626189,0.026227726070094107,,-0.78007425,55.1867598
10.0,0.20964896,0.00053112,9.2e-06,929994.248321918,0.026403980712577647,,-0.81104991,55.18741577
11.0,0.20962544,0.00054394,1.055e-05,936987.1477000539,0.026602216779052303,,-0.68807422,55.18229918
12.0,0.20962503,0.00056357,8.23e-06,932081.858526646,0.026463043011051356,,-0.68223194,55.18059365
13.0,0.2096201,0.00054583,7.7e-06,929510.2393322737,0.026389927186427277,,-0.65351145,55.15317395
14.0,0.20961733,0.00054136,5.85e-06,925154.900950292,0.026266260185706356,,-0.63542497,55.18479188
15.0,0.20962873,0.00052203,4.97e-06,923189.9020134892,0.02621058450849801,,-0.69571361,55.15094364
16.0,0.20963058,0.00054759,4.77e-06,930270.8493339292,0.026411721095041772,,-0.71112433,55.17403391
17.0,0.20957398,0.00051322,1.07e-06,925316.7446003145,0.026270298181800048,,-0.40068714,55.18321754
18.0,0.20963089,0.00049708,7e-07,920373.7246798655,0.026130669894346023,,-0.70521794,55.19161401
19.0,0.20960366,0.00047585,3.37e-06,922344.4988253902,0.026186157182265187,,-0.5597079,55.15409231
20.0,0.20965307,0.00046254,4.2e-07,921275.5440172538,0.026156474524764967,,-0.82561477,55.18256157
21.0,0.20963458,0.00048614,-2.73e-06,933061.5181719568,0.0264909778277696,,-0.73514647,55.18767816
22.0,0.20966519,0.00052059,-4.22e-06,928571.2703488074,0.026364020514510672,,-0.89808089,55.18020006
23.0,0.20962914,0.0005328,-1e-08,921273.350012925,0.026156300046253755,,-0.69648928,55.15881532
24.0,0.20965564,0.00054427,3.87e-06,925412.9515997736,0.026274135752117178,,-0.84324587,55.24304234
25.0,0.20966581,0.00056353,4.54e-06,929384.2252193847,0.026387062135969412,,-0.90222043,55.17823214
26.0,0.20964373,0.00055292,6.06e-06,928294.8383868805,0.02635578291003976,,-0.78109099,55.16576864
27.0,0.20960408,0.0005498,5.89e-06,930180.214040947,0.026408782376781213,,-0.56670407,55.19896091
28.0,0.20970669,0.00055402,2.2e-06,926416.3614071473,0.02630335448946006,,-1.1211932,55.21903371
29.0,0.20962328,0.00055734,-5.1e-07,916673.5921281922,0.026025706293651914,,-0.66158402,55.18794055
30.0,0.20969396,0.00055238,6.6e-07,926462.2429785215,0.02630451447589576,,-1.05212152,55.19869852
31.0,0.2096353,0.00052379,6e-06,932222.3680503659,0.0264671003991703,,-0.73840899,55.21352353
32.0,0.20963397,0.00048302,7.02e-06,926937.239338338,0.026316898688529242,,0.00724631,55.19148281
33.0,0.20962431,0.00049134,3.12e-06,928526.7741159655,0.026361997380587147,,0.05611455,55.18505427
34.0,0.20960675,0.00049048,1.02e-06,925771.3968807884,0.026283575394874456,,0.13248847,55.18347993
35.0,0.20965472,0.00046918,2.82e-06,929309.3240155982,0.026384560729472088,,-0.16123223,55.15514187
36.0,0.20966982,0.00049851,3.7e-06,929713.8493598208,0.026396309690695504,,-0.21123885,55.19659941
37.0,0.20963325,0.00052633,5.41e-06,937065.6677127834,0.02660459960555672,,0.02319748,55.18046245
38.0,0.20965554,0.00051518,7.55e-06,927087.9271929025,0.02632153971985628,,-0.10131115,55.16393192
39.0,0.20963736,0.00049953,7.53e-06,922534.018828838,0.026191965956678376,,0.00998579,55.15264917
40.0,0.20967742,0.00053571,7.66e-06,922065.1137712947,0.026179274674654605,,-0.20739778,55.20237197
41.0,0.20968296,0.00054681,5.06e-06,926633.0219062339,0.026309119645982204,,-0.21767975,55.18584144
42.0,0.20969087,0.00051719,2.9e-06,929129.0763301293,0.026380051547724548,,-0.2414553,55.14622063
43.0,0.20963746,0.00049109,2.74e-06,930423.6090953196,0.02641603119173193,,0.06933288,55.17652661
44.0,0.20967937,0.00051314,5.75e-06,930779.2503221823,0.026426686091894008,,-0.16436071,55.18203679
45.0,0.20971245,0.00054653,5.27e-06,918871.3940782024,0.02608913018814559,,-0.32863935,55.17219718
46.0,0.20962883,0.00056738,4.27e-06,931614.698412842,0.026449916216357516,,0.14509716,55.17022926
47.0,0.20966232,0.00054517,5.1e-06,924949.0445608946,0.02626103150672518,,-0.0462735,55.19135162
48.0,0.20967526,0.00050703,2.77e-06,925446.0555720491,0.026275251689631227,,-0.11370403,55.19345073
49.0,0.20963643,0.00048671,4.4e-07,932942.76549755,0.026487571739055898,,0.10382104,55.16773656
50.0,0.20964157,0.0005326,2.52e-06,934916.7975941517,0.02654377354062469,,0.07045532,55.19397551
51.0,0.20965605,0.0005616,5.02e-06,925341.9369238212,0.02627215086676222,,-0.01221483,55.17862573
52.0,0.20963386,0.00053514,4.14e-06,928042.3572346536,0.026348471816949232,,0.10887824,55.12654142
53.0,0.2095824,0.00049142,2.71e-06,931096.5388462403,0.026434409637715383,,0.38473934,55.18479188
54.0,0.209654,0.00046176,4.26e-06,929963.7575057823,0.026403083611765486,,-0.0221757,55.20342153
55.0,0.20961661,0.00047032,6.57e-06,930304.561779974,0.02641224507268468,,0.1823676,55.16537506
56.0,0.20967423,0.00050855,5.73e-06,931762.5207111135,0.026454522739912518,,-0.13899332,55.17390272
57.0,0.20967259,0.0004838,2.55e-06,919863.8105642565,0.026116666282320435,,-0.12308884,55.18872772
58.0,0.20962174,0.0005174,-1.68e-06,923097.163226075,0.026207972979419028,,0.15583604,55.18741577
59.0,0.2095898,0.00054407,-3.15e-06,925028.3971463927,0.02626248490117696,,0.32355509,55.20643901
60.0,0.20961763,0.0005217,-2.19e-06,926086.9675705121,0.02629282502872677,,0.16186053,55.17823214
61.0,0.20958384,0.00050547,-3.64e-06,929881.0148835857,0.026400079202891547,,0.34104298,55.18151201
62.0,0.20961558,0.00048704,-5.97e-06,925784.6224136772,0.0262841902229533,,0.15659336,55.18466068
63.0,0.20963171,0.0004881,-5.21e-06,929923.1768190247,0.026401890535046775,,0.06458836,55.18846533
64.0,0.20964938,0.00048937,-1.18e-06,936780.2073918191,0.026596733027045898,,-0.03380114,55.15120603
65.0,0.20966612,0.00049736,3.07e-06,935923.9131093217,0.02657258468107306,,-0.12452421,55.1519932
66.0,0.20962986,0.00047209,4.73e-06,928827.8581423223,0.02637053482573472,,0.07712646,55.18190559
67.0,0.209624,0.00048405,3.35e-06,933060.2532740688,0.02649067955654387,,0.10730635,55.18571024
68.0,0.20960038,0.00051211,3.08e-06,929514.8070483203,0.026389791066332127,,0.23255481,55.18610383
69.0,0.20964229,0.00054841,6.21e-06,927747.3267054087,0.026340203877978852,,-0.00160032,55.16629342
70.0,0.20960562,0.00052436,5.02e-06,930940.0517606831,0.02643032136307626,,0.19827731,55.19476268
71.0,0.20961116,0.00051006,6.71e-06,925800.1604712602,0.026284396047018585,,0.16219345,55.18361113
72.0,0.20957829,0.00051375,3.89e-06,932050.4259519982,0.02646147611334989,,0.33862542,55.17022926
73.0,0.20963746,0.00049634,4.76e-06,932274.0058979332,0.026468542528515274,,0.00776865,55.20289675
74.0,0.20961753,0.00048815,4.58e-06,919223.8629184887,0.02609775168629591,,0.11471488,55.18833414
75.0,0.20965657,0.00050822,6.1e-07,925902.2904848618,0.026288003625453183,,-0.09865849,55.16498147
76.0,0.20962811,0.00052834,-8.7e-07,927009.8396074828,0.026319157850865672,,0.05783858,55.18741577
77.0,0.20961938,0.0005185,-4.5e-07,935002.5793343014,0.026545931929866335,,0.10485856,55.21024366
78.0,0.2096237,0.00051932,-2.48e-06,931693.392655641,0.02645207807713545,,0.07873455,55.17127882
79.0,0.20962421,0.00052674,-2.58e-06,929642.5874131854,0.02639388204391713,,0.07412957,55.18623502
80.0,0.20963366,0.00048847,8e-07,927581.617222411,0.026335322633917503,,0.02113943,55.19148281
81.0,0.20962585,0.00046799,3.58e-06,927290.3847401257,0.02632684182021458,,0.06308808,55.17521466
82.0,0.20958487,0.00046172,5.4e-06,930612.7568124308,0.026420573733716764,,0.28532791,55.15920891
83.0,0.20961116,0.00048753,6.68e-06,934040.1563066095,0.026518275669191668,,0.13710734,55.1918764
84.0,0.2095898,0.00052104,8.36e-06,929261.5737086376,0.026382385941905392,,0.25004545,55.20394631
85.0,0.2096275,0.00052256,7.44e-06,928259.2746752187,0.02635444895499525,,0.04031425,55.19987927
86.0,0.20962513,0.00049146,5.32e-06,922090.8879081884,0.026179244275193993,,0.05207108,55.20027286
87.0,0.2096276,0.00045517,3.68e-06,926631.0892324923,0.026308109405123667,,0.03802003,55.19148281
88.0,0.20962934,0.00045422,-5e-08,926811.0069423338,0.02631330863412741,,0.02788595,55.18767816
89.0,0.20963767,0.00048048,-1.48e-06,917285.1869102486,0.026043066054798586,,-0.0175565,55.2341211
90.0,0.20962904,0.00050449,5.2e-07,928490.1037243382,0.026361104529173434,,0.02943113,55.22336313
91.0,0.20961373,0.00050965,4.18e-06,927320.7109780243,0.02632764683434924,,0.11198768,55.17036046
92.0,0.20963417,0.00048839,4.54e-06,928738.0284965592,0.026368090044793267,,0.00102391,55.1867598
93.0,0.20961794,0.00050945,1.94e-06,926580.2778456426,0.026306722556556198,,0.08905534,55.186891
94.0,0.20964188,0.0005049,-5.9e-07,927306.2796346917,0.026327685516899558,,-0.04080107,55.1495005
95.0,0.20961743,0.00049577,-2.8e-07,922095.8472588084,0.026179401908024248,,0.09139664,55.17324674
96.0,0.20961989,0.00047651,1.84e-06,931904.4282053667,0.02645781781626576,,0.07891998,55.1693109
97.0,0.20962185,0.0004582,1.7e-07,929606.8450967323,0.026392593838474372,,0.06810473,55.13743058
98.0,0.20962616,0.00043579,-1.23e-06,929332.9194085579,0.026384838304444706,,0.04461402,55.14031686
99.0,0.20962688,0.00045185,3.3e-07,922846.828446494,0.02620071475330848,,0.04041816,55.16917971
100.0,0.20964301,0.00049232,1.53e-06,920552.1612834162,0.026135865726900125,,-0.04659331,55.16616223
101.0,0.20959411,0.00048048,2.4e-07,924602.4790790441,0.0262502098051045,,0.21784139,55.17167241
102.0,0.20964167,0.00048405,2.64e-06,930736.8053142376,0.026424961319884088,,-0.0398324,55.16485028
103.0,0.20962565,0.00048102,4.03e-06,920992.3951318779,0.0261480592860785,,0.04698273,55.1618328
104.0,0.20963284,0.00048536,2.08e-06,934682.5823581668,0.026536884760656385,,0.00833733,55.17377152
105.0,0.20960233,0.00051174,3.78e-06,926265.8052042613,0.026297560229462995,,0.17368048,55.15986488
106.0,0.20960284,0.00050207,3.04e-06,940110.8839662351,0.026690629066501107,,0.17345019,55.15632262
107.0,0.20963202,0.00050937,1.84e-06,936792.6973143355,0.02659685445066281,,0.01286284,55.15881532
108.0,0.20962575,0.00052145,2.6e-07,931679.0713511134,0.02645165218513051,,0.04696798,55.18531666
109.0,0.20963582,0.0004718,1.01e-06,923687.9017226703,0.026224753164605572,,-0.007869,55.19738657
