Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20951644,0.00060338,5.81e-06,8375052.838130273,0.02691627317464686,,-0.8064517,-0.67874027
1.0,0.20953051,0.00064893,6.86e-06,8334083.612180818,0.02678490000444151,,-1.48920245,-0.70831326
2.0,0.20952958,0.00065796,6.74e-06,8332164.403127674,0.02677874709109048,,-1.44375879,-0.67269424
3.0,0.20953431,0.00065114,3.79e-06,8333197.8252164805,0.02678216971979579,,-1.67449363,-0.6947754
4.0,0.20949128,0.00064794,7.1e-07,8222977.718502158,0.026427412681675613,,0.41973198,-0.70042713
5.0,0.20952681,0.000607,-8.5e-07,8364258.6438562265,0.026881861202498705,,-1.31349333,-0.68833506
6.0,0.2094881,0.00057098,-1.24e-06,8286362.273912651,0.02663090114157368,,0.57743242,-0.67400859
7.0,0.20942711,0.00056622,-1.96e-06,8353575.179443175,0.02684609202344563,,3.56546861,-0.73078873
8.0,0.20944528,0.00059172,-1.2e-07,8264496.078868986,0.02656009383022714,,2.6480427,-0.67045983
9.0,0.20952958,0.00059525,2.14e-06,8309922.591728332,0.026707177158744783,,-1.43990014,-0.70358158
10.0,0.2094651,0.0005746,3.9e-06,8259200.495009005,0.026543213773846434,,1.68796052,-0.68005462
11.0,0.20950617,0.00059201,7.18e-06,8284372.845001575,0.0266246450944485,,-0.29950468,-0.7066046
12.0,0.20953307,0.00058634,9.85e-06,8222925.688255483,0.026427452919931083,,-1.59296838,-0.6566591
13.0,0.20953061,0.00057127,7.89e-06,8193835.884997174,0.026333925166972954,,-1.46905693,-0.73670333
14.0,0.20953297,0.00057353,4.35e-06,8301272.627689763,0.026679318989684623,,-1.60315739,-0.66993409
15.0,0.20952219,0.00062043,1.52e-06,8305769.195707512,0.026693812356405403,,-1.07951701,-0.68242046
16.0,0.20953718,0.00062511,1.2e-07,8335473.6727276165,0.026789520438975742,,-1.81532871,-0.72382265
17.0,0.20945032,0.0006302,-1.25e-06,8285836.424383614,0.026628873074864123,,2.41079745,-0.69569545
