Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20939899,0.00056495,6.6e-06,919.975982388583,0.026140236379847713,,5.44209207,-1.31839763
1.0,0.20944775,0.00056438,8.75e-06,918.7113028812627,0.02610489722672222,,2.81129516,-1.309075
2.0,0.20943913,0.00056144,8.98e-06,931.6455865019743,0.026472294031649874,,3.32136068,-1.32535678
3.0,0.20944621,0.00058559,9.93e-06,936.9489479406652,0.026623130286673777,,2.95160251,-1.32154894
4.0,0.20945381,0.00059636,6.72e-06,930.3700550773854,0.026436384806894652,,2.51696281,-1.31432718
5.0,0.20942322,0.00057682,8.66e-06,927.4801080056055,0.026353772428972733,,4.17074713,-1.31642806
6.0,0.20943821,0.00057074,1.093e-05,928.1985532467958,0.0263743245330833,,3.35929222,-1.33087157
7.0,0.20945556,0.00053362,1.024e-05,926.0235405208025,0.02631266183430822,,2.4105334,-1.32837678
8.0,0.20945073,0.00052554,1.053e-05,934.3902738039183,0.026550307572151217,,2.69634567,-1.33559854
9.0,0.20942424,0.00055063,8.13e-06,922.1831463682357,0.026203213942512217,,4.09148148,-1.3373055
10.0,0.2094725,0.0005565,7.03e-06,932.8911272462066,0.02650815211650244,,1.50292233,-1.31183239
11.0,0.20943759,0.00056972,7.14e-06,920.625904657888,0.026159212032077078,,3.36510224,-1.34163856
12.0,0.20947927,0.00056462,3.63e-06,920.824030510162,0.026165440184496454,,1.11805343,-1.29371235
13.0,0.20948102,0.00058114,7.8e-07,929.2428306929862,0.026404785743091828,,1.03329009,-1.33113418
14.0,0.20945905,0.0005818,2.2e-07,929.3907641599226,0.026408711351633498,,2.22933954,-1.29581322
15.0,0.20947024,0.00055369,4.7e-07,931.1365742847659,0.026458384098521446,,1.62327502,-1.30316629
16.0,0.20946131,0.00057776,-4e-07,933.4863776142272,0.02652511918607803,,2.11568647,-1.32982113
17.0,0.20946469,0.00060211,2.18e-06,932.8838255277905,0.026508060770421647,,1.92922318,-1.28005666
18.0,0.20948851,0.00055597,4.42e-06,923.9537991162855,0.026254455955041098,,0.62182172,-1.31787241
19.0,0.209492,0.0005346,4.49e-06,921.4593471271244,0.026183560978679316,,0.43174588,-1.32220546
20.0,0.20945638,0.00052974,2.9e-06,929.4331044924231,0.026409683700137198,,2.37471591,-1.32693243
21.0,0.20946387,0.00053656,7.07e-06,932.1095614130928,0.026485773240801744,,1.97243708,-1.31669067
22.0,0.2094804,0.00053297,7.45e-06,925.9233464732306,0.026310193366487374,,1.06299449,-1.33533593
23.0,0.20949395,0.00051355,7.69e-06,938.7281186783292,0.02667416406591917,,0.33258129,-1.30960021
