Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20948307,0.00049715,3.37e-06,910.7372335859103,0.025878402210135522,,0.76426762,-157.83415242
1.0,0.20942815,0.00049079,7.67e-06,915.8455674358694,0.026022740395580505,,3.26136766,-157.81813324
2.0,0.20948225,0.00048189,8.41e-06,912.0985680155936,0.0259169376953021,,0.80253411,-157.81537584
3.0,0.20948317,0.00047806,5.58e-06,912.9649334114123,0.025941609721778062,,0.76148895,-157.8224663
4.0,0.20945586,0.00048715,1.97e-06,912.9022610605302,0.025939566589275532,,1.99696187,-157.8170828
5.0,0.20939765,0.00053341,2.19e-06,909.9069555507721,0.02585382430593507,,4.61486632,-157.82220369
6.0,0.20949395,0.00057388,7.6e-07,918.7551867466418,0.026106632245463224,,0.27544557,-157.81353757
7.0,0.20947989,0.00059807,2.79e-06,916.3284659730604,0.026037521064914776,,0.91350759,-157.79948796
8.0,0.20948943,0.00060713,4.78e-06,910.2643366647053,0.025865319433875503,,0.47670579,-157.77992354
9.0,0.20946818,0.00059387,6.91e-06,906.2199552952749,0.025750048216277646,,1.42907669,-157.7841253
10.0,0.20951654,0.00060986,3.72e-06,909.949978117941,0.02585676493847472,,-0.74593608,-157.76731828
11.0,0.20945443,0.0006079,5.18e-06,917.9980502313565,0.02608461171647134,,2.0735165,-157.8445255
12.0,0.20942486,0.00059591,6.82e-06,907.8635678248269,0.025796198655138776,,3.38076547,-157.81826454
13.0,0.20948317,0.00054679,4.94e-06,912.0935505825973,0.025917048554317087,,0.76076799,-157.80552798
14.0,0.20946295,0.00053549,1.5e-06,910.267737739047,0.02586494003414326,,1.67165576,-157.82312282
15.0,0.20950216,0.00050417,6.1e-07,908.7388695974663,0.02582193642430885,,-0.09750175,-157.72884598
16.0,0.20947732,0.00052048,3.31e-06,912.0206699725856,0.025914860737713135,,1.02521942,-88.98018535
17.0,0.20945463,0.00056886,7.49e-06,909.5678786716899,0.02584492471934397,,2.0452079,-1.16713464
18.0,0.20946705,0.00059607,5.96e-06,906.1270112269874,0.025747416284778224,,1.47964514,-1.09701795
19.0,0.20946285,0.00056519,2.83e-06,910.8739392081325,0.025882219531561133,,1.67740691,-1.05657611
20.0,0.20943913,0.00054447,1.24e-06,910.8251444664944,0.025880499071365807,,2.74773991,-0.99998379
21.0,0.20948132,0.00057768,-2.1e-07,913.0692788090824,0.025944930405574277,,0.84521513,-0.97792461
22.0,0.20946346,0.00058991,-3.1e-07,915.8029240411292,0.026022409721466803,,1.65853509,-0.96558197
23.0,0.20946367,0.00058881,1.8e-07,915.9401970254083,0.026026300828812448,,1.64946251,-0.95560281
24.0,0.20940063,0.00056258,1.74e-06,910.5101717968216,0.02587109018239314,,4.48363864,-0.92238273
25.0,0.20943738,0.0005523,4.56e-06,910.5714016047884,0.025873225627478784,,2.82571904,-0.93538189
26.0,0.20945145,0.00055777,6.81e-06,921.2472986412615,0.026176730415048782,,2.21676307,-0.94890628
27.0,0.20945925,0.00057519,6.23e-06,909.7060274029328,0.0258489506635519,,1.83724787,-0.89073831
28.0,0.20948913,0.00054431,3.91e-06,918.3498766475839,0.026094911938981485,,0.49495647,-0.89848528
29.0,0.20944046,0.00052591,5.84e-06,913.5482010094095,0.025957753352845964,,2.69552324,-0.87760784
30.0,0.20942815,0.00055181,5.6e-06,915.4830837874927,0.026012646353195754,,3.26010253,-0.88246611
31.0,0.2094419,0.00050788,4.83e-06,910.0928431000407,0.025859560671754857,,2.62050614,-0.85436691
32.0,0.2094997,0.00049907,4.5e-06,911.1724415398378,0.025890968179137653,,0.01351867,-0.87471914
33.0,0.20945617,0.00053904,1.5e-06,921.9429440861397,0.026196607764460846,,-0.65205461,-0.85725561
34.0,0.20945124,0.00056691,-1.29e-06,915.3780581844267,0.02601013370055911,,0.66603753,-0.86027562
