Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20959896,0.00064344,2.16e-06,917.4416099688777,0.026061949558010097,,-5.59606055,-1.03395624
1.0,0.20952718,0.00062938,-3.9e-07,917.3808156716237,0.026059296173660023,,-1.53678383,-1.01874872
2.0,0.20955193,0.00063105,-2.53e-06,921.7594101087565,0.02618404477096579,,-2.95006791,-1.02373049
3.0,0.20953273,0.00060491,-3.55e-06,923.8759327766212,0.02624386314948827,,-1.86339743,-1.03933131
4.0,0.20955788,0.00059307,-1.25e-06,923.1846945700902,0.026224481570182992,,-3.29352198,-1.02386159
5.0,0.20955686,0.00062958,-7.7e-07,925.4224233085338,0.02628812587017272,,-3.24294201,-1.04745946
6.0,0.20955696,0.0006388,-1.95e-06,922.6578274556585,0.02620964204710475,,-3.23909989,-1.05021255
7.0,0.2095815,0.00061953,-1.06e-06,925.1458087358362,0.026280569963560315,,-4.64742276,-1.01494684
8.0,0.20959957,0.00059644,-1.4e-07,929.6106855803343,0.02640756067809759,,-5.70557979,-1.02346829
9.0,0.20952657,0.00056545,-9e-07,923.3141561180728,0.026227665479253433,,-1.51165403,-1.03316964
10.0,0.20950634,0.00055989,-1.49e-06,922.7372242996003,0.026211007573244405,,-0.36036786,-1.0580785
11.0,0.20955018,0.00057467,5.1e-07,919.829160456181,0.026128978110220195,,-2.84489466,-1.0583407
12.0,0.209528,0.00060745,1.76e-06,918.2604757653098,0.026084194125407266,,-1.58474184,-1.03303854
13.0,0.20955213,0.00062271,3.38e-06,923.0613511055336,0.02622089620765774,,-2.96590422,-1.03369404
14.0,0.20952954,0.00059922,3.27e-06,924.0257152024151,0.026247930991414016,,-1.68240543,-1.04549297
15.0,0.20952954,0.00057523,5.24e-06,921.6649367225924,0.026180767398636104,,-1.67810041,-1.02451709
16.0,0.20952164,0.00056676,6.49e-06,921.198686175223,0.026167372731771634,,-1.22835502,-1.04182219
17.0,0.20952236,0.00058285,7.58e-06,920.4797223970731,0.026146982984555395,,-1.2681734,-1.06725545
18.0,0.20950808,0.00058758,5e-06,922.3385176236403,0.0261996581292596,,-0.45943208,-1.03146535
19.0,0.20952995,0.00057674,2.96e-06,917.0414208165007,0.02604948442534865,,-1.69289973,-1.08220077
20.0,0.2095316,0.00060228,1.33e-06,925.1896798567946,0.026281067017158596,,-1.80163212,-1.0406423
21.0,0.2095204,0.00059366,-1.18e-06,919.4443042138444,0.026117740389582637,,-1.15620266,-1.02792567
22.0,0.20950459,0.00057392,-1.8e-06,923.1685957269682,0.02622328249758794,,-0.26122755,-1.04431308
23.0,0.2094818,0.00059291,5.9e-07,925.1903467068535,0.0262804189083437,,1.03782798,-1.03710262
24.0,0.20952359,0.00061261,1.05e-06,922.9492841034826,0.02621735463131091,,-1.34167585,-1.0398557
25.0,0.20949196,0.0006001,1.14e-06,914.6937826373162,0.025982401088226175,,0.45308262,-1.04863935
26.0,0.20949052,0.00058345,2.56e-06,916.9655868574671,0.02604684195932044,,0.53543564,-1.03264524
27.0,0.20951106,0.00058667,2.1e-06,917.7835371211603,0.026070361819119744,,-0.62558906,-1.04627957
28.0,0.20946609,0.00058814,2e-08,917.4523491477579,0.02606041049038012,,1.91726382,-1.03461173
29.0,0.20948303,0.00058087,1.01e-06,919.7853537529197,0.026126862965972785,,0.96192734,-1.06751765
30.0,0.20953386,0.00056732,3.73e-06,923.269893563503,0.02622642127568872,,-1.9264324,-1.01953532
31.0,0.20948036,0.00055258,2.64e-06,918.4738464222203,0.026089465994599288,,1.11164625,-1.04614847
32.0,0.2095354,0.00055568,3.23e-06,924.540194189059,0.026262503110190426,,-2.01684911,-1.02045301
33.0,0.20954854,0.00057245,5.68e-06,916.5589205023068,0.026035957891161934,,-2.7419516,-1.02504149
34.0,0.20951394,0.00060304,6.9e-06,918.2691173708823,0.02608414706487669,,-0.78862418,-1.04352648
35.0,0.20955491,0.00061102,7.65e-06,922.3251027825557,0.026199905500118848,,-3.12114424,-1.01311145
36.0,0.20953704,0.00061488,6.54e-06,915.7078162264072,0.026011731186285005,,-2.09031495,-1.03736482
37.0,0.20959639,0.00059613,2.5e-06,925.2542725968611,0.02628371475957881,,-5.49724777,-1.04601737
38.0,0.20957719,0.00062278,2.15e-06,923.9186036174074,0.026245600313282956,,-4.39560922,-1.06777985
39.0,0.20955491,0.00062565,4.28e-06,925.0325864988247,0.026276919584756364,,-3.13031874,-1.01337365
40.0,0.20956959,0.00062032,3.73e-06,926.2434087543154,0.02631150379376361,,-3.97279427,-1.04981925
41.0,0.20959844,0.00060208,1.95e-06,929.4647229983887,0.026403375143288128,,-5.63995235,-1.06987744
42.0,0.20958345,0.00058556,2.44e-06,925.2060888061623,0.026282147865991985,,-4.75897591,-1.04155999
43.0,0.20958479,0.00056927,8e-08,921.6470017396972,0.026181063015067417,,-4.81651481,-1.03395624
44.0,0.20959198,0.00056359,1.9e-07,924.2514056547487,0.026255122561253737,,-5.23968454,-1.0412978
45.0,0.20954258,0.00055492,2.16e-06,923.3348091725547,0.026228375367581255,,-2.42327931,-1.00760528
46.0,0.20959208,0.00055965,3.49e-06,922.2800249205387,0.026199049770162765,,-5.2343324,-1.04575517
47.0,0.20956035,0.00060844,4.84e-06,919.1677928696507,0.026110334808285136,,-3.41881189,-1.04496858
48.0,0.20955326,0.00061659,4.25e-06,919.3426331488309,0.02611524221572917,,-3.01795896,-1.04523077
49.0,0.20954751,0.00062795,2.93e-06,915.259666155115,0.025999240670064296,,-2.68015744,-1.0757769
50.0,0.20956661,0.00063109,1.24e-06,920.4141728495416,0.026145952120168715,,-3.77884711,-1.06017609
51.0,0.20959002,0.00060733,4e-08,921.3876263215437,0.02617386872682537,,-5.11264984,-1.03670932
52.0,0.20956476,0.00062855,-1.98e-06,920.8409286606227,0.02615810451586443,,-3.67569009,-1.03474283
53.0,0.20958273,0.00061901,2e-07,920.8875432875379,0.02615959649464653,,-4.6959806,-1.023075
54.0,0.20955152,0.0006173,3.3e-07,927.2069878180221,0.026338694072333843,,-2.94401797,-1.02333719
55.0,0.20954371,0.00059771,-1.46e-06,928.82062576955,0.026384408619536094,,-2.50235822,-1.03067875
56.0,0.20946198,0.00058488,-1.48e-06,925.5983795273866,0.02629176543035138,,2.16852652,-1.03448063
57.0,0.20953108,0.00056843,-1.39e-06,925.6847196958241,0.02629508061149825,,-1.77330154,-1.05283453
58.0,0.20951958,0.00055953,-1.12e-06,929.2322791105111,0.02639567113793313,,-1.1214628,-1.0215018
59.0,0.20954094,0.00059628,-1.62e-06,917.548298535828,0.026064165856724785,,-2.31519467,-1.07852999
60.0,0.20954679,0.00064158,2.23e-06,911.6203961274394,0.02589590287760152,,-2.62911685,-1.05401443
61.0,0.20948765,0.0006444,1.7e-06,910.9435805962587,0.025875928454028998,,0.69331334,-1.06909084
62.0,0.20952174,0.0006595,-4.7e-07,920.9024183826293,0.026159344467360828,,-1.23380595,-1.05519432
63.0,0.20950213,0.00067881,-1.77e-06,920.7301014561649,0.026154270423066877,,-0.12070911,-1.05335893
64.0,0.20951578,0.00065572,-2.04e-06,918.8914788910569,0.026102162687716597,,-0.89383779,-1.05244123
65.0,0.209547,0.00062489,-9.2e-07,917.4093573779602,0.026060363143209378,,-2.65742663,-1.03172755
66.0,0.20951938,0.00063919,-2.26e-06,918.0362892939041,0.0260778759492361,,-1.09634148,-1.06135598
67.0,0.20951691,0.00062529,-3.81e-06,919.1722686290934,0.026110103617887324,,-0.95809376,-1.06922194
68.0,0.2094971,0.00059875,-5.58e-06,918.3743351688678,0.0260871394131586,,0.16435203,-1.03212085
69.0,0.20950747,0.00056903,-6.67e-06,919.4669477031696,0.026118250628929206,,-0.58764567,-0.98885809
70.0,0.20954423,0.00057594,-4.67e-06,923.20869411079,0.02622500182908741,,-2.38664559,-1.02569698
71.0,0.20951014,0.00056609,-3.53e-06,913.6435101266237,0.025952798668962686,,0.34495966,-1.0215018
72.0,0.20952954,0.00057658,-2.34e-06,919.5750916938695,0.026121550121808293,,-0.83942722,-1.00812968
73.0,0.20952965,0.00061786,-2.17e-06,923.5740585417944,0.026235257081861356,,-0.68030959,-1.03185865
74.0,0.2095049,0.00064285,-4.08e-06,918.7838323531008,0.026098965933148102,,0.83720867,-1.07394151
75.0,0.20953848,0.00064277,-5.95e-06,923.823592679499,0.02624260164574329,,-1.19014344,-1.03920021
76.0,0.2095393,0.00060995,-5.69e-06,924.6105160124987,0.026264870777838942,,-1.08907122,-1.03618492
77.0,0.20951414,0.00058516,-1.52e-06,917.8477142968179,0.026072289088362413,,0.46206732,-1.01979751
78.0,0.20954382,0.00056919,-3e-08,919.2833930223975,0.026113386908406686,,-1.2647444,-1.03500503
79.0,0.20953694,0.00056915,1.75e-06,924.6128177084988,0.02626465150960694,,-0.7643813,-1.01481574
80.0,0.20954628,0.00057006,2.6e-06,920.8371745213743,0.02615750889550641,,-1.22813472,-1.06030719
81.0,0.20950644,0.00060328,2.25e-06,917.259830519204,0.02605546785236104,,1.12290427,-1.01271815
82.0,0.20955275,0.00060065,7.9e-07,916.7341223788014,0.02604115862666424,,-1.57430522,-1.0039345
83.0,0.20953981,0.00061404,-1.39e-06,913.130260752078,0.025938695045534175,,-0.73542693,-1.00288571
84.0,0.20951917,0.00064988,-2.12e-06,920.8170707355338,0.026156891191622785,,0.47599398,-0.98086103
85.0,0.20951712,0.00064182,-6.8e-07,922.1460965371567,0.026194567439997794,,0.56534549,-1.01599564
86.0,0.20950942,0.00068405,-1.19e-06,915.3066043472809,0.026000308787923393,,0.9643716,-1.0409045
87.0,0.20949586,0.00069617,-2.8e-07,920.8227487472242,0.026156839552591616,,1.68822176,-1.03946241
88.0,0.20954002,0.00067181,1.37e-06,927.7109792597736,0.026352989971247954,,-0.90852611,-1.01704443
89.0,0.2095048,0.00064972,9.7e-07,922.6111854358262,0.026207607645278762,,1.14205331,-1.03828251
90.0,0.20945109,0.00063562,-1.46e-06,924.9882895481448,0.026274431986490803,,4.15363624,-1.02858117
91.0,0.20948693,0.00063669,-3e-06,920.7295620419812,0.026153963679719443,,1.92182091,-1.02137071
92.0,0.20952657,0.00063764,-2.53e-06,919.9789648852513,0.026133154780498685,,-0.40679861,-1.0405112
93.0,0.20948847,0.00064984,-2.4e-07,920.2703598307168,0.02614092382338065,,1.76976101,-1.04745946
94.0,0.20947728,0.00063661,3.5e-07,916.1875860325644,0.02602475670913409,,2.32598071,-1.0412978
95.0,0.20954474,0.00062835,2.5e-06,913.1372338481615,0.02593892317799112,,-1.56389671,-1.03316964
96.0,0.2095278,0.0006202,1.12e-06,916.6497098583317,0.026038482829615496,,-0.5566627,-1.03408734
97.0,0.20951928,0.00062485,-3.6e-07,921.098202486723,0.026164776507309973,,-0.05627777,-1.0224195
98.0,0.2095548,0.0006297,2.58e-06,922.8841401591602,0.026215931679944522,,-2.07534506,-1.01966642
99.0,0.20950706,0.00061599,4.56e-06,917.2153290114978,0.026054203107894,,0.70303314,-0.99318436
100.0,0.20947676,0.00060848,6.83e-06,919.622998258399,0.026122135009046643,,2.39934586,-0.99187337
101.0,0.20949484,0.00057805,7.27e-06,925.4338762915012,0.026287340230371433,,1.31081218,-1.02045301
102.0,0.20951383,0.00058651,6.18e-06,924.162990278159,0.026251533769040623,,0.18868513,-1.05322783
103.0,0.20951578,0.00059581,4.94e-06,924.9809214315497,0.02627484254568355,,0.07224579,-1.0576852
104.0,0.20951763,0.00058794,3.5e-06,924.333842378392,0.02625649168370825,,-0.03509506,-1.0409045
105.0,0.20946444,0.00058007,3.3e-06,913.3571416865426,0.02594398041349989,,2.95977516,-1.03107205
106.0,0.20951804,0.00060399,5.85e-06,927.8031375300741,0.026355045026263322,,-0.13689026,-1.06030719
107.0,0.20956045,0.00059585,4.79e-06,920.9187760980966,0.02616004180032827,,-2.53943795,-1.02543478
108.0,0.20951948,0.00058448,5.79e-06,913.2583223422776,0.025941853767359514,,-0.14924551,-1.02097741
109.0,0.20952379,0.00060042,8.93e-06,918.2124965502112,0.02608262189551663,,-0.39043838,-1.01088276
110.0,0.20955768,0.00062735,5.22e-06,919.2747661585258,0.026113383298990298,,-2.30147169,-1.01953532
111.0,0.20951568,0.00061416,2.26e-06,912.3657933009906,0.025916598271289275,,0.13050664,-1.00327901
112.0,0.20954536,0.00062378,1.22e-06,923.6922525467389,0.02623877287161377,,-1.56022834,-1.04981925
113.0,0.20951106,0.00064285,-0.0,921.9911977094671,0.026190077881917673,,0.42603461,-1.01665113
114.0,0.20953837,0.00065509,2e-08,922.4015487955819,0.026202125764488153,,-1.13573568,-1.05716081
115.0,0.2095278,0.00064535,2.17e-06,926.8115835011964,0.0263271919790753,,-0.51275474,-0.99895273
116.0,0.20951229,0.00062636,3.75e-06,926.2463074931117,0.026310847886628512,,0.3833001,-1.02032191
117.0,0.20953776,0.00061512,4.04e-06,926.1371599665111,0.026308046321313453,,-1.07804507,-0.99397096
118.0,0.20955932,0.00061067,2.25e-06,929.1084940640567,0.026392757234438756,,-2.29473003,-1.04182219
119.0,0.20950706,0.00059247,-8e-08,924.8082978728071,0.026269910425180634,,0.73965372,-1.05231013
120.0,0.20951815,0.00056851,1.95e-06,916.9389938340634,0.026046417537660547,,0.09261512,-1.02949886
121.0,0.20954238,0.00054797,3.43e-06,923.0427983706965,0.02622003466460659,,-1.28707745,-1.02740127
122.0,0.2095241,0.00055286,9.9e-07,915.7875477546155,0.02601376255459334,,-0.24536571,-1.00157472
123.0,0.20956949,0.00057332,1.17e-06,914.5833337243673,0.025980198357359922,,-2.77983729,-1.0218951
124.0,0.20953724,0.00055802,1.71e-06,916.8145213493982,0.026043106507431357,,-0.91089232,-1.07013964
125.0,0.20956651,0.00054293,2.64e-06,914.2820005879845,0.02597148939262438,,-2.54157541,-1.02412379
