Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20940109,0.00058877,4.84e-06,964.2978420253888,0.0274082344656178,,5.8802644,-0.71289411
1.0,0.2094284,0.00059799,5.14e-06,957.9642048613042,0.027228606360789963,,4.22881497,-0.68143029
2.0,0.20941331,0.00059509,3.26e-06,949.6266340769729,0.026991448698652158,,5.07558522,-0.70306167
3.0,0.20935067,0.00057169,1.85e-06,952.4742462320867,0.02707149858160415,,8.76762123,-0.7332145
4.0,0.20940704,0.00057602,2.48e-06,957.4479182791716,0.02721363022681881,,5.48703351,-0.73426329
5.0,0.20941372,0.00059978,4.67e-06,951.5358549204551,0.027045706201030254,,5.06169678,-0.72679064
6.0,0.20940797,0.00058679,4.5e-06,963.0529943473848,0.027372947530452836,,5.46429639,-0.74199815
7.0,0.20942922,0.00057014,5.95e-06,963.1679923344419,0.027376430939622574,,4.2029987,-0.73465659
8.0,0.20937141,0.00059072,7.32e-06,957.5138714628723,0.02721496581187433,,7.5901063,-0.68339678
9.0,0.20941485,0.00061361,5.62e-06,954.5271190132881,0.02713076363097871,,5.01115602,-0.7152539
10.0,0.20932099,0.00062386,4.56e-06,963.8512462460195,0.02739454779632517,,10.63477251,-0.68824745
11.0,0.20943733,0.00062402,3.65e-06,956.2653391937963,0.02718054385388847,,3.69471429,-0.73098581
12.0,0.20938825,0.00063153,3.61e-06,953.5297373133985,0.02710214407496504,,6.56896402,-0.73937617
13.0,0.20938825,0.00064599,3.14e-06,953.0627806002278,0.027088922094869933,,6.56575929,-0.72403755
14.0,0.20923741,0.00061007,4.64e-06,954.7992249235676,0.027136093274142035,,15.45089185,-0.69611341
15.0,0.20941731,0.00062334,6.09e-06,952.3933699582825,0.027070167336485977,,4.8552839,-0.73019922
16.0,0.20947625,0.00062489,6.38e-06,959.2446016145465,0.027265705229225914,,1.4046967,-0.70332387
17.0,0.20946886,0.00062886,5.75e-06,963.3036295051338,0.02738100221281263,,1.84975393,-0.64721338
18.0,0.20944113,0.00062998,6.74e-06,966.487533648103,0.02747110393371237,,3.50783932,-0.71014103
19.0,0.20935478,0.0006295,7.65e-06,959.6972716727208,0.02727690079621872,,8.59122853,-0.73006812
20.0,0.20941249,0.0006115,5.89e-06,953.3634096127888,0.02709764391086317,,5.1438296,-0.74829092
21.0,0.20949186,0.00057936,4.06e-06,954.4142571792266,0.027128534682867085,,0.47911204,-0.73845847
22.0,0.20945582,0.00057674,2.15e-06,952.9280780256411,0.027085832472376878,,2.59598805,-0.72810163
23.0,0.20924224,0.00058285,1.05e-06,959.7438450984691,0.027276681964639587,,15.24563903,-0.75432148
24.0,0.2094285,0.00056867,4.6e-07,958.3470608567256,0.027239498151179917,,4.22444023,-0.72154667
25.0,0.20941177,0.0005589,-3.7e-07,960.7734868920908,0.027308225068466373,,5.22637203,-0.74435794
26.0,0.20948703,0.0005933,-2.25e-06,965.0771939571222,0.027431719847956105,,0.7716619,-0.71368071
27.0,0.20928054,0.00061305,-3.6e-07,963.4503036802569,0.02738266325991772,,13.03168662,-0.71302521
28.0,0.20941731,0.00061984,1.49e-06,964.9179796171321,0.02742623927231791,,4.91914865,-0.69545791
29.0,0.20943251,0.00063888,9.5e-07,960.8110162990247,0.027309778531260237,,3.99814101,-0.73636088
30.0,0.20942594,0.00061365,2.48e-06,956.0436815529544,0.027174081978022544,,4.36558816,-0.72626624
31.0,0.2093021,0.00057964,3.65e-06,952.0568261310491,0.0270589631116181,,11.61280898,-0.71787589
32.0,0.20949412,0.00057121,3.9e-06,956.6124810295884,0.027191028256216675,,0.34696159,-0.7333456
33.0,0.20946917,0.00057602,4.85e-06,947.6528385644996,0.026936015548628633,,1.80169341,-0.72325096
34.0,0.20937901,0.00058063,5.01e-06,952.7219609595534,0.02707888725903155,,7.10598422,-0.7337389
35.0,0.20941084,0.00058881,3.81e-06,949.7545883639289,0.026995023654406935,,5.22053348,-0.72023567
36.0,0.20946177,0.00057511,2.79e-06,952.5922658903257,0.027076350908107588,,2.24529997,-0.70909223
