Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20964669,0.00061188,6.83e-06,919.3973879597902,0.02610722305503578,0.10952619715854897,-7.89666666,-0.89506608
1.0,0.20960231,0.0006244,9.07e-06,924.5359403637698,0.02625254661134215,0.10863598677503858,-5.53786702,-0.86500174
2.0,0.20964504,0.00063085,8.82e-06,923.5855606633272,0.026226143345123618,0.10906787942030323,-7.84372792,-0.89611636
3.0,0.20958875,0.00062407,6.87e-06,920.8326721025588,0.026147254120987815,0.1069523282557709,-4.78450565,-0.87721128
4.0,0.20961063,0.00056997,4.51e-06,915.7314720241277,0.026002585771779305,0.10574763316820553,-5.93133546,-0.89480351
5.0,0.20957899,0.00057059,3.69e-06,921.3448900427114,0.026161584114078963,0.10745756056388307,-4.26065595,-0.85187321
6.0,0.20963302,0.00055175,4.57e-06,916.2800569684022,0.02601840366541478,0.10632098464298012,-7.13661903,-0.83913854
7.0,0.20958474,0.00057897,5.46e-06,916.2067571133739,0.02601575134709998,0.10690430143473605,-4.54551476,-0.91948514
8.0,0.20959399,0.00058223,2.36e-06,924.494534170182,0.02625127260712226,0.1045211638285295,-5.08714847,-0.86237604
9.0,0.20960909,0.00058169,6.2e-07,914.9098320166007,0.025979339869273057,0.10569673660701297,-5.84347671,-0.87392914
10.0,0.20957149,0.00057545,-6.7e-07,912.5035530442696,0.025910531934091027,0.1057812769485349,-3.81911306,-0.91974771
11.0,0.20960878,0.00057478,4.9e-07,918.34911757327,0.02607697966280211,0.10533479824966407,-5.84886541,-0.87773642
12.0,0.20961279,0.00058852,4.47e-06,916.5580063932508,0.026026135111070846,0.10432382090770767,-6.05249486,-0.86618331
13.0,0.2096018,0.00052859,6.82e-06,923.1326227449775,0.026212471221720948,0.10564542645955574,-5.50164843,-0.91292088
14.0,0.20960847,0.00048031,7.39e-06,919.5287885560068,0.02611008399478157,0.10600954128330206,-5.83969619,-0.89033981
15.0,0.20964155,0.00049505,5.26e-06,917.9102918067753,0.026064638479510297,0.10666680485731056,-7.60765931,-0.85502406
16.0,0.20961135,0.00049664,2.48e-06,919.1916019977972,0.02610068445355107,0.10771183022031441,-5.99241863,-0.92145442
17.0,0.20962008,0.00051038,-6.8e-07,921.1900267238301,0.026157641912726536,0.10719303891993229,-6.47653507,-0.89782307
18.0,0.20954961,0.00052047,-2.36e-06,929.2744996259673,0.02638633374862916,0.10402094040069718,-2.69880388,-0.89178395
19.0,0.20966405,0.00055464,-2.2e-06,918.3256873664977,0.02607703085196987,0.10234408671897878,-8.82132642,-0.88508839
20.0,0.20966549,0.00055573,1.78e-06,915.187923043696,0.025987877035837697,0.10566980752594823,-8.86826134,-0.85975033
21.0,0.20958063,0.00055355,4.08e-06,920.7932098758795,0.026145886494299424,0.10454731987864642,-4.34671383,-0.87038444
22.0,0.20964412,0.00053667,9.7e-07,918.6658107271346,0.026086320170803923,0.104775077734587,-7.75216527,-0.89270294
