Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20949839,0.00061289,1.8e-06,8363804.214775368,0.026872023213579718,,2.62453282,53.73435236
1.0,0.20947447,0.00065361,1.73e-06,8379288.700202667,0.0269215671738259,,3.80273343,52.17692205
2.0,0.20932366,0.00074111,4.74e-06,7927606.579299826,0.02546862453260183,,10.59365071,51.51772271
3.0,0.20884997,0.00089775,9.92e-06,7707197.001747327,0.024754944674573735,,31.63005231,52.81442679
4.0,0.20824723,0.00113913,1.694e-05,7670533.627045251,0.02463018189747168,,58.42392457,52.91897861
5.0,0.2073674,0.00145426,2.684e-05,7528002.151381669,0.02416231782326405,,95.80283043,52.75195705
6.0,0.20619129,0.00175397,3.376e-05,7438932.277309229,0.023862634212747334,,145.22954044,52.71915391
7.0,0.20520346,0.00210241,3.491e-05,7428676.563098888,0.023818367567622043,,187.22045449,52.62531864
8.0,0.20434212,0.00247469,3.559e-05,7403438.607225067,0.02372765958896249,,223.08892172,52.58088411
9.0,0.20360345,0.00281039,3.839e-05,7469784.775273831,0.02393176243888777,,256.55389993,52.40536772
10.0,0.20342225,0.00309646,4.084e-05,7418941.543179252,0.023767275984737414,,262.46264554,52.26958103
11.0,0.20277157,0.00330927,4.145e-05,7477541.393219761,0.02394723449581484,,292.16521069,52.10125258
12.0,0.20268913,0.00350658,4.254e-05,7553717.404008427,0.024190624546420268,,298.67689712,51.94873759
13.0,0.20255752,0.00370045,4.461e-05,7533711.741224104,0.024125327402508143,,303.50838827,51.79008018
14.0,0.20260371,0.0038876,5.152e-05,7479890.063829271,0.0239539313790186,,299.38760332,51.69310835
15.0,0.20252518,0.00401493,5.808e-05,7601523.809930019,0.024342650330916298,,307.63970491,51.55706028
16.0,0.20265012,0.00414024,6.238e-05,7396698.719806442,0.023688564537250805,,294.11917384,51.45812811
17.0,0.20259437,0.00429129,6.234e-05,7389508.730899329,0.02366522143081676,,296.17168174,51.35436041
18.0,0.20254047,0.00442012,6.456e-05,7418607.382666553,0.023758019051167156,,299.6061546,51.16956505
19.0,0.20231236,0.00455793,6.752e-05,7407579.817394959,0.02372010384064141,,308.72823923,51.05442734
20.0,0.20237118,0.00469437,6.928e-05,7328299.946541358,0.023467298325227075,,302.98935344,50.93170963
21.0,0.20213218,0.00477969,7.065e-05,7331839.312590572,0.02347581133208551,,313.04736838,50.77017705
22.0,0.20211955,0.00484942,7.149e-05,7349783.621607391,0.023533271720390585,,314.34024332,50.66562521
23.0,0.20202079,0.00494203,6.967e-05,7386972.7570948955,0.023651361620243297,,320.05638725,50.47717053
24.0,0.20203516,0.00506462,6.929e-05,7477420.797333487,0.023941467999031907,,323.37257257,50.36686835
25.0,0.20199225,0.00515553,6.857e-05,7393946.1722309515,0.02367389693116947,,321.55822704,50.23748546
26.0,0.20199081,0.00520005,7.106e-05,7361243.7482261695,0.023569242940982657,,320.19673601,50.06562838
27.0,0.202476,0.00526809,7.57e-05,7429281.926593055,0.023793383286045425,,302.77463418,49.98512347
28.0,0.20203332,0.0053152,7.709e-05,7486099.154996908,0.023969747304525776,,323.83300823,49.8490754
29.0,0.20243216,0.00538408,7.753e-05,7532193.543823067,0.024122678350291332,,308.84133946,49.72648837
30.0,0.20242919,0.00541055,7.834e-05,7411194.7628421625,0.02373518279273468,,304.00563198,49.63513621
31.0,0.20237652,0.00541266,7.837e-05,7371350.791850383,0.02360691618436213,,304.56842625,49.50810573
32.0,0.20244643,0.0054607,7.872e-05,7399068.815996217,0.023696689909537442,,302.78744248,49.36055696
33.0,0.20249961,0.00552388,7.994e-05,7388413.683020882,0.02366338077978718,,300.12875738,49.25208444
34.0,0.20249068,0.00555104,8.259e-05,7470411.975787155,0.02392591135983316,,303.83774569,49.13211121
35.0,0.2025031,0.00556496,8.573e-05,7427479.386255318,0.02378854724374858,,301.56891259,49.00965487
36.0,0.20251347,0.00559876,8.748e-05,7339372.959000705,0.02350654856097157,,297.56141992,48.87765819
37.0,0.20255628,0.00566125,8.831e-05,7403672.381003359,0.02371317705272671,,298.37519239,48.77271429
38.0,0.20257938,0.00570116,8.769e-05,7446535.826332248,0.023850873726982576,,299.12978801,48.60882929
39.0,0.20259838,0.00571035,8.466e-05,7400161.129328929,0.023702656266374664,,296.47169696,48.49356089
40.0,0.20258431,0.00574111,8.575e-05,7427901.696613632,0.023791390350461426,,298.17563723,48.42089737
41.0,0.20263872,0.00577769,8.353e-05,7498064.489970116,0.024016954521190355,,298.68246845,48.26367755
42.0,0.20265576,0.0058004,8.117e-05,7406071.815046272,0.023722610554466755,,294.30403594,48.09351945
43.0,0.20271079,0.00582137,7.938e-05,7384983.820778866,0.023655844258442797,,291.1639754,48.02464593
44.0,0.20271243,0.00577486,7.606e-05,7425288.399991911,0.023784908686143445,,292.6831517,47.90166684
45.0,0.20276736,0.00574463,7.387e-05,7443972.531440407,0.023845418339492455,,291.10132213,47.77829568
46.0,0.20282711,0.00576118,7.652e-05,7563912.737124362,0.024230393565078303,,293.22882758,47.69387007
47.0,0.20292536,0.00576567,7.777e-05,7488350.212506027,0.023989581392593516,,286.12581809,47.52946232
48.0,0.20298111,0.00577316,7.801e-05,7388771.052771969,0.023671289179410814,,279.98367399,47.41406324
49.0,0.20308418,0.00577369,7.602e-05,7445134.045819886,0.02385320419521503,,277.7632901,47.31826762
50.0,0.20312175,0.0057477,7.269e-05,7476348.283538538,0.02395368102316374,,277.33237347,47.21031785
51.0,0.20322801,0.00570015,7.107e-05,7527091.316919628,0.02411752511647598,,274.66989734,47.10315223
52.0,0.20331096,0.00565939,7.016e-05,7516328.782300098,0.024084011824509265,,270.73245903,46.99990729
53.0,0.20341989,0.00561665,6.987e-05,7536762.774166425,0.02415077617269153,,266.79920238,46.84896059
54.0,0.20344391,0.00559718,6.961e-05,7441708.683323954,0.02384644319751303,,262.41693956,46.78060983
55.0,0.20348446,0.00555177,6.912e-05,7454993.816565145,0.023889419142326434,,261.16437683,46.68520628
56.0,0.20352892,0.00551599,6.956e-05,7558818.789488536,0.0242225935880379,,262.88854187,46.57987031
57.0,0.20362491,0.00548915,7.14e-05,7541304.122613112,0.0241675921546635,,258.15791658,46.48616574
58.0,0.20377028,0.00550077,7.31e-05,7490094.605188344,0.02400532671485853,,250.20359114,46.37089734
59.0,0.20374913,0.00547438,7.022e-05,7487880.702261993,0.02399794578654899,,251.03162722,46.26608413
60.0,0.20375396,0.00546953,6.827e-05,7520988.512540923,0.024104136973315378,,251.93506488,46.16310058
61.0,0.20364811,0.00545176,6.927e-05,7484944.784257966,0.023987212929418515,,255.2391836,46.09736362
62.0,0.20388064,0.00541926,6.805e-05,7560331.4640693385,0.024231721536756148,,247.79356764,45.99059006
63.0,0.20377048,0.00544645,6.58e-05,7455852.145998315,0.023895573178766127,,249.05089907,45.85663303
64.0,0.20375663,0.00541395,6.815e-05,7594548.813436202,0.024339781651206947,,254.28216552,45.81638057
65.0,0.20388619,0.00537761,7.013e-05,7480025.449036992,0.02397425684998728,,244.92363387,45.69000355
66.0,0.20390333,0.00536251,7.123e-05,7569387.586782855,0.02426083184348577,,247.10926497,45.59146345
67.0,0.20391812,0.00532989,7.31e-05,7522429.09396428,0.02411039370685625,,244.94105149,45.5459834
68.0,0.20393228,0.00537008,7.11e-05,7479537.029174138,0.02397323781537309,,242.94167281,45.40588395
69.0,0.20394922,0.00535284,6.83e-05,7482770.250426049,0.02398382035760544,,242.32399748,45.3066904
70.0,0.20392561,0.00533394,6.826e-05,7510780.34069097,0.024073250070442236,,244.24180969,45.2081503
71.0,0.20396709,0.00532499,6.721e-05,7546835.860476545,0.024189338602291815,,243.62942132,45.07118741
72.0,0.20396154,0.00529524,6.603e-05,7471111.944448684,0.023946499925850455,,241.42050387,45.03916841
73.0,0.20397766,0.00529108,6.447e-05,7524639.903731577,0.024118290556438403,,242.45872644,44.91841104
74.0,0.20401,0.0052708,6.318e-05,7541086.501621028,0.024171388269483028,,241.59747785,44.85385029
75.0,0.20402376,0.00524425,6.321e-05,7540594.201153439,0.024169915756099426,,240.98930136,44.73531465
76.0,0.20410763,0.00522737,6.217e-05,7552687.761249291,0.024209723877877655,,237.76126456,44.6515425
77.0,0.20408967,0.00520584,6.466e-05,7506173.992004178,0.024060298501926758,,237.06553393,44.57247518
78.0,0.2041101,0.00516561,6.623e-05,7522192.7394124735,0.024111771668259917,,236.69321378,44.42610262
79.0,0.20414449,0.0051903,6.567e-05,7520741.995445695,0.024107632407157433,,235.1721441,44.37879291
80.0,0.20413956,0.0052355,6.55e-05,7477990.612873673,0.023970651276146428,,234.04680935,44.28992386
81.0,0.20411328,0.00525072,6.703e-05,7511256.819829912,0.024076964909685437,,236.21471988,44.17204167
82.0,0.20413012,0.00524275,6.925e-05,7531932.304251329,0.0241433927772,,236.14062072,44.09637229
83.0,0.20415568,0.00521498,7.067e-05,7614306.111780755,0.024407669272697576,,237.61129989,43.99391149
84.0,0.20419028,0.00518641,6.96e-05,7514842.412064412,0.02408922181415645,,233.02278637,43.93026557
85.0,0.20418566,0.0051631,6.526e-05,7416837.132125693,0.02377501956101003,,230.17957257,43.82675926
86.0,0.20420568,0.00516544,6.746e-05,7467357.98052144,0.023937185763249852,,230.8937227,43.71109879
87.0,0.20424068,0.00514245,6.988e-05,7560058.74385443,0.024234687848981907,,232.24793373,43.67790359
