Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.2094187,0.00060864,3.12e-06,8350812.663008888,0.026841270537808236,-0.10757912329535184,3.2040953,34.51119203
1.0,0.2094032,0.00060841,7.59e-06,8323522.607480765,0.02675325970103878,0.06283720357234807,3.94890828,34.15396853
2.0,0.20932181,0.00063226,1.237e-05,8043533.380931038,0.02585224595469825,0.2440791608665241,7.64829315,33.80223686
3.0,0.20890923,0.0006728,1.718e-05,7865700.36990416,0.025275462312331326,0.22311053575996495,26.45412427,34.09159825
4.0,0.20829959,0.00071338,2.192e-05,7857697.858099758,0.025241994091672923,0.06522797412400728,54.36764956,34.4513061
5.0,0.20771838,0.00076187,2.483e-05,7872058.521684895,0.025280734145353218,-0.0033150359103955793,81.07713325,34.44659891
6.0,0.20726978,0.00083181,2.723e-05,7837792.934333187,0.025165066853349835,-0.027427748075009865,101.1237306,34.37795237
7.0,0.20674655,0.00091947,3.104e-05,7908669.235990453,0.02538597792055289,-0.045568974391470014,125.98990319,34.27177906
8.0,0.20647181,0.00102436,3.506e-05,7837223.33641416,0.025153289151333115,-0.05324866789579124,137.29216465,34.19646401
9.0,0.20623503,0.00110575,4.129e-05,7764879.695581568,0.02491815825582803,-0.059786276698100986,146.63349978,34.09382109
10.0,0.20593391,0.00120636,4.825e-05,7744084.852605823,0.024847688731637448,-0.06417771080409226,159.67928182,34.01876754
11.0,0.20564787,0.00133345,5.192e-05,7659284.889502693,0.02457221438038569,-0.057142530116528596,170.53932805,33.87179858
12.0,0.20533854,0.00143972,5.634e-05,7654928.893708663,0.02455448014902969,-0.05082653054388041,184.05016302,33.75045766
13.0,0.20511069,0.00154902,6.085e-05,7603388.486110979,0.024386456454252393,-0.042968877502058946,192.75416475,33.61931008
14.0,0.20472325,0.00166915,6.759e-05,7615874.33530316,0.024421735390975644,-0.0299466282984443,209.98023108,33.46436504
15.0,0.20440335,0.00176963,7.299e-05,7483616.2766419,0.023993750088469844,-0.020790175382418015,220.03011521,33.32301856
