Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20943902,0.00062584,5.1e-06,8393984.946255205,0.026979491676059064,,1.10586349,53.99700271
1.0,0.20941572,0.0006484,7.62e-06,8288823.283382418,0.02664119037465113,,2.22283901,53.50117853
2.0,0.20939807,0.00071181,1.052e-05,8252858.79411562,0.02652548295055185,,3.06624668,51.44688207
3.0,0.2093524,0.00100464,1.365e-05,8203773.290036884,0.026367865024961724,,5.24169818,52.99070976
4.0,0.20902418,0.00163215,1.769e-05,7759043.895600154,0.024935918544639824,,19.85519866,53.24685944
5.0,0.20847633,0.00259347,2.487e-05,7446684.273357753,0.023927757510658596,,42.87501002,53.92757163
6.0,0.20735783,0.00358584,3.17e-05,7364241.389460148,0.023651792317335562,,90.30410746,53.98170434
7.0,0.20616883,0.00437587,4.125e-05,7442583.183196032,0.023890672348554912,,142.45151613,53.84977222
8.0,0.2051811,0.00501546,4.878e-05,7471749.238130135,0.023973528650650014,,185.48095893,53.69992662
9.0,0.20437902,0.00553831,5.406e-05,7478847.772677325,0.023987499995863228,,220.03309863,53.53700549
10.0,0.20383815,0.00586913,6e-05,7471956.819448459,0.023959328167616638,,242.91607332,53.39657428
11.0,0.20338369,0.00602566,6.164e-05,7425713.939436297,0.023805699632732904,,260.64178453,53.27601787
12.0,0.20327172,0.00609737,6.099e-05,7541074.396322556,0.024174291663256492,,269.49698114,53.1538924
13.0,0.20313984,0.00611213,6.479e-05,7532915.096859038,0.02414641484401502,,274.85367055,53.02457539
14.0,0.20305722,0.00606226,6.492e-05,7471235.934610638,0.02394752123735313,,276.10947893,52.89290478
15.0,0.20304295,0.00601964,6.691e-05,7545969.823262708,0.02418673402161056,,279.4812696,52.83223431
16.0,0.20312372,0.00594789,7.109e-05,7576019.5026943805,0.024283828988204446,,277.11401974,52.67232056
17.0,0.20319023,0.00585047,7.113e-05,7530081.232892412,0.02413717771045975,,272.58414124,52.54731847
18.0,0.20331113,0.00571877,6.739e-05,7547821.782720815,0.02419531871392422,,268.03379426,52.45225935
19.0,0.2034893,0.00560892,6.812e-05,7527354.648235217,0.024131688319088664,,259.6714029,52.34713207
20.0,0.20359296,0.00547356,6.771e-05,7530585.036216504,0.024143023019084393,,255.33381029,52.2138924
21.0,0.20376148,0.00535946,6.731e-05,7578760.10561954,0.024299344624781193,,249.68628162,52.15217589
22.0,0.20384821,0.00529377,6.57e-05,7533214.214059986,0.02415427713768975,,244.45919693,52.06666191
23.0,0.20396921,0.00518978,6.232e-05,7547952.060403613,0.024202865950621072,,239.72508001,51.95669669
24.0,0.20411177,0.00508237,5.958e-05,7607232.31982121,0.024394550008630233,,235.41515647,51.86111455
25.0,0.20426992,0.00498121,5.849e-05,7632770.667413639,0.024478234758426774,,229.30728217,51.78213834
26.0,0.20440294,0.00484684,5.936e-05,7617666.428250702,0.024431133414483795,,223.05807574,51.68577167
27.0,0.20450393,0.0047292,6.134e-05,7548142.688598738,0.024209099980468808,,216.65929362,51.61620984
28.0,0.20463448,0.0046367,6.197e-05,7626381.080623471,0.024461452657635233,,213.20523916,51.53448776
29.0,0.20474306,0.00460289,5.802e-05,7572147.899418126,0.024288864619696718,,206.98094837,51.44256677
30.0,0.20488449,0.00454594,5.618e-05,7697929.686637908,0.024694038656076642,,204.1805816,51.35862186
31.0,0.20497645,0.00444577,5.682e-05,7685537.3893930055,0.024655193053683862,,199.79811866,51.27519996
32.0,0.20511131,0.00435886,5.6e-05,7648068.684892541,0.0245365061959366,,192.90653173,51.21112986
33.0,0.20523365,0.00426515,5.382e-05,7633604.873467102,0.02449145823698367,,187.18041446,51.12561588
34.0,0.20530272,0.00418875,5.563e-05,7661065.566916541,0.024580212249562413,,184.81365735,51.05801538
35.0,0.20540915,0.00413833,5.22e-05,7684194.9052132135,0.024655716213649453,,180.67334787,50.99747567
36.0,0.20551958,0.00408319,5.182e-05,7779181.668235984,0.024961785567635043,,177.96844688,50.92726006
37.0,0.20554863,0.00401813,5.305e-05,7641876.614575629,0.02452137890039752,,173.5498228,50.85220651
38.0,0.20559984,0.00398451,5.052e-05,7691878.813809492,0.024682440198122907,,172.41993855,50.76643102
39.0,0.20564777,0.00395259,4.595e-05,7608416.413064651,0.024415224038498228,,168.45166078,50.70523753
40.0,0.20570463,0.00391414,4.366e-05,7700681.553124641,0.024711969427819634,,167.97508578,50.63162229
41.0,0.20572033,0.00386128,4.323e-05,7689487.86826917,0.024676117253663917,,167.03525431,50.60207158
42.0,0.20576036,0.00385317,3.991e-05,7690544.308906304,0.024680058479746976,,165.28700646,50.51198117
43.0,0.20582697,0.00383239,3.988e-05,7670907.703058126,0.024617837240965938,,161.92349457,50.45392581
