Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20944908,0.0005744,5.06e-06,8895334.205422051,0.028590518415514916,0.12877237546717799,2.6528504,-277.01096867
1.0,0.20948428,0.00061589,7.11e-06,8866992.966478502,0.02850001097237949,0.128174811575732,0.81637448,-277.03934259
2.0,0.20945842,0.00058082,8.73e-06,8927868.369797597,0.0286951640090496,0.13018322304958638,2.17426289,-277.02783611
3.0,0.20947114,0.00057798,1.064e-05,8896470.303236775,0.02859438127034195,0.13010251591881897,1.50356343,-277.04914924
4.0,0.20946232,0.00054319,1.008e-05,8928295.177418837,0.02869645053354065,0.13006973944705535,1.97044173,-277.01580662
5.0,0.20950163,0.00052705,6.62e-06,8954037.655801944,0.02877977916215556,0.1292577210811368,-0.08525892,-277.02155985
6.0,0.20945041,0.00052378,3.33e-06,8895186.957269298,0.028589948042161913,0.12981408943783357,2.58329759,-277.01436831
7.0,0.20947196,0.00052965,4.91e-06,8901914.13415595,0.028611863547210684,0.1308236587491024,1.46167718,-277.02051381
8.0,0.2094579,0.00056594,5.67e-06,8962633.328732304,0.028806913683347847,0.13166694574966928,2.20966477,-276.99318593
9.0,0.2094696,0.00052886,5.58e-06,9008311.41482205,0.028953787054516726,0.13010035350489618,1.60368099,-277.02482874
10.0,0.20947279,0.00047663,6.36e-06,8953564.993863532,0.028777697538021178,0.13270894965197988,1.42709529,-277.02430572
11.0,0.20947781,0.00057751,5.04e-06,8909446.08308606,0.028636297190588803,0.13289029153933696,1.1576718,-277.03711975
12.0,0.20945811,0.00054441,2.9e-06,8882525.073055336,0.02854943236961821,0.13427751028061852,2.17923689,-277.0806613
13.0,0.20945041,0.00052756,1.99e-06,8878777.543811262,0.028537245641141212,0.13121913455177606,2.57853554,-277.05307191
14.0,0.20951856,0.00054748,4.61e-06,8935386.521241965,0.028720177948099227,0.13355623093947724,-0.9714179,-277.05437946
15.0,0.20948479,0.0007059,5.67e-06,8992389.021054868,0.028903365499798148,0.13166057075311258,0.80090108,-277.02665931
