Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20954663,0.00057704,4.47e-06,8323231.693373224,0.02673911505338268,,1.42020431,52.12263184
1.0,0.20950282,0.00061973,5.58e-06,8284709.624481562,0.02661487360514174,,3.53840356,52.32374592
2.0,0.2094278,0.00069224,1.143e-05,8205152.336083602,0.02635839204706103,,7.10671671,51.0046061
3.0,0.20853967,0.00086163,1.825e-05,7766194.336705374,0.024937444707788785,,46.99898205,51.3141227
4.0,0.20728835,0.0011103,2.59e-05,7763386.319697828,0.02491307809399224,,103.41451284,51.61527045
5.0,0.20684301,0.00141182,3.086e-05,7869231.5086324485,0.02524768847155049,,125.10219822,51.54125845
6.0,0.20612759,0.00176619,3.404e-05,7885454.251487317,0.025291296523163906,,157.91265876,51.6908516
7.0,0.20580424,0.00205501,4.202e-05,7801228.861904128,0.02501758815502984,,170.74759032,51.65554553
8.0,0.20551829,0.00225186,4.921e-05,7807096.461060815,0.025033076905090674,,183.70786341,51.53537411
9.0,0.20505182,0.00243235,5.393e-05,7762110.560617219,0.02488316679874015,,203.42299379,51.45456242
10.0,0.20471464,0.00263447,6.067e-05,7731847.255912485,0.02478218636591482,,217.5593623,51.3625051
11.0,0.20431759,0.00285756,6.319e-05,7707162.129013376,0.024698454112472724,,234.35922321,51.23409559
12.0,0.20382895,0.00311994,6.764e-05,7632557.250922343,0.024453673162644754,,253.36688535,51.12647744
13.0,0.20357889,0.00336645,7.259e-05,7528949.093869715,0.02411908368455173,,260.65177729,50.98917603
14.0,0.20315226,0.00360093,7.342e-05,7475714.593058786,0.02394370555955741,,276.94330047,50.8565821
15.0,0.20246306,0.00382753,7.284e-05,7334920.812538629,0.02348469064392077,,300.3904132,50.70032002
16.0,0.20198876,0.00409766,7.211e-05,7402126.447602288,0.02369453082674529,,322.99792523,50.58930203
17.0,0.20145468,0.00437042,7.147e-05,7365845.79507664,0.023572300621777856,,343.60811718,50.43944735
18.0,0.20130058,0.00464933,7.299e-05,7302612.108233702,0.02336867341012109,,347.00385264,50.30162289
19.0,0.20067725,0.00491416,7.442e-05,7258632.485659368,0.023220702450182908,,370.34783051,50.15111439
20.0,0.20062876,0.00518973,7.508e-05,7145679.167880013,0.02285943631117024,,366.53943811,49.94869289
21.0,0.20010485,0.00543469,7.557e-05,7121710.214030955,0.02277682534092978,,386.2232361,49.7853696
22.0,0.19970364,0.00566427,7.812e-05,7170524.518569637,0.022928417303696366,,404.96145541,49.64113774
23.0,0.19919294,0.00593836,7.859e-05,7160151.237965311,0.022889469132298175,,424.78304163,49.47794521
24.0,0.19869973,0.00617969,7.842e-05,7058565.018285549,0.022559142138214697,,438.13788482,49.31122208
25.0,0.19840494,0.00640988,7.81e-05,6960983.295351244,0.02224418753885834,,443.48756721,49.10278546
26.0,0.19810364,0.00662118,8.055e-05,6954053.034604251,0.022218776503045087,,454.67430375,48.89264893
27.0,0.19779219,0.00688185,8.292e-05,6886851.163648765,0.022000814902425062,,462.16972824,48.72370282
28.0,0.19768169,0.0071435,8.564e-05,6941261.492607713,0.02217385973434549,,470.07634301,48.55776427
29.0,0.19754649,0.00736243,8.771e-05,6841244.56769878,0.021853193050505558,,468.42678337,48.37378038
30.0,0.19741425,0.00757695,8.789e-05,6944249.917267431,0.022181102590341385,,480.56478923,48.19685771
31.0,0.19738426,0.00771104,8.93e-05,6845623.194093437,0.021866007485775014,,474.87980057,48.0307884
32.0,0.19763534,0.00783778,8.831e-05,7025689.009087977,0.022444677507439406,,477.63081794,47.83294361
33.0,0.19806898,0.00786929,8.662e-05,6988889.6095556095,0.022332659416287422,,458.35608949,47.67903527
34.0,0.19821089,0.00790361,8.557e-05,6971178.168650043,0.022277935728574696,,451.7132205,47.5380725
35.0,0.19862766,0.00794511,8.52e-05,7006131.131230767,0.022394952176452217,,437.77259656,47.37239547
36.0,0.19889358,0.00791462,8.768e-05,7107735.373364152,0.022722966577990507,,433.6100354,47.22397919
