Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20951591,0.00065896,7.21e-06,8327476.268635909,0.026758022004339622,,0.64408942,51.64433191
1.0,0.20951214,0.00065937,8.16e-06,8229796.51536153,0.02644408844135252,,0.81778689,50.44561364
2.0,0.20946406,0.00070755,1.259e-05,8202232.344450626,0.02635493326551219,,3.12410431,50.73266203
3.0,0.20864685,0.00082019,1.668e-05,7742966.283598757,0.0248692440837897,,39.91950328,50.29390863
4.0,0.20719703,0.00099883,2.469e-05,7734610.714846261,0.02482441587856405,,105.04018351,51.35885423
5.0,0.20610849,0.00123969,3.154e-05,7788609.469848517,0.024984224443123457,,154.7428445,51.2506057
6.0,0.20564016,0.00149075,3.61e-05,7727896.271362801,0.024784023759237123,,174.36560928,51.200081
7.0,0.20542099,0.00174494,3.939e-05,7693409.819827869,0.02467121803895947,,183.27837368,51.26592019
8.0,0.2050469,0.00201169,4.68e-05,7656314.97329038,0.024548032878379845,,198.82963957,51.16107488
9.0,0.20488587,0.00219437,5.001e-05,7669014.097057017,0.024587100150971278,,206.23791185,51.0499467
10.0,0.20449064,0.00247512,5.162e-05,7504650.023196524,0.024055848597483442,,218.7950758,50.92127887
11.0,0.20394972,0.00273903,5.519e-05,7514192.4516311325,0.02408018548274187,,242.28295714,50.83750733
12.0,0.20322776,0.00303023,5.661e-05,7417755.696620948,0.023762755696306957,,269.66133039,50.6769016
13.0,0.20270311,0.00328723,5.896e-05,7463587.04199889,0.02390350108570629,,293.55464507,50.56001413
14.0,0.20234803,0.00352092,6.351e-05,7357136.701981561,0.023558605107116232,,304.16699136,50.39391089
15.0,0.20204296,0.00376593,6.87e-05,7297388.634098202,0.023363980073468654,,314.28973635,50.25058304
16.0,0.2015485,0.00400172,7.248e-05,7184557.730606176,0.02299711177984251,,329.48260239,50.09639106
17.0,0.20117583,0.00423928,7.482e-05,7152010.285515511,0.022888855722144438,,343.00618139,49.97125733
18.0,0.20059812,0.00444954,7.472e-05,7178438.863923719,0.022966730771993227,,367.57960581,49.7863055
19.0,0.20030189,0.00468179,7.48e-05,7147378.055319925,0.022864227905934675,,377.8678357,49.63394602
20.0,0.19998066,0.00495233,7.632e-05,7147606.042556261,0.02286157835154962,,390.74347049,49.45409902
21.0,0.19991804,0.00516279,7.493e-05,7155458.465749013,0.02288646201727003,,393.68818286,49.29257703
22.0,0.19973486,0.0053344,7.735e-05,7027486.769026558,0.02247526605088779,,393.84923116,49.0963684
23.0,0.19958542,0.00550443,8.088e-05,7036881.636530214,0.02250381989051702,,400.25493781,48.98445487
24.0,0.19951131,0.00572277,8.147e-05,7039908.951211825,0.02251311397614489,,403.34879928,48.81233055
25.0,0.1993875,0.00591026,8.239e-05,7079945.025226924,0.022640051188384844,,410.54178226,48.62266657
26.0,0.19933748,0.00606396,8.003e-05,6963151.9007189,0.022266376561402332,,405.71923972,48.41533203
27.0,0.1992956,0.00619138,8.008e-05,7087530.668325878,0.022663902140437342,,414.62736172,48.30734529
28.0,0.19925931,0.00632297,8.203e-05,7033098.114848153,0.022489685561989502,,412.87134877,48.11702684
29.0,0.19932,0.00641684,8.237e-05,7075343.183911689,0.022625762265379955,,412.96151689,47.94974556
