Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20951502,0.00064996,7.85e-06,8329218.1417684825,0.028199679876967733,0.15610528127484144,-0.73889822,-277.28908146
1.0,0.20953199,0.000619,8.61e-06,8351026.357858901,0.02827364599534717,0.15770307241691833,-1.5780944,-277.31916301
2.0,0.20953199,0.00059806,5.87e-06,8410926.493862426,0.0284764412493571,0.15534792194693406,-1.58941343,-277.30896144
3.0,0.20954785,0.00058804,4.87e-06,8420224.09892333,0.028508134920706182,0.15393136613785324,-2.37982737,-277.33014932
4.0,0.20952285,0.00060851,8.01e-06,8388605.996049425,0.028400729983057253,0.1524978590709659,-1.1319358,-277.33930457
5.0,0.20951878,0.00060617,1.115e-05,8435156.645546895,0.02855820383133877,0.15183918311735595,-0.93565495,-277.29915224
6.0,0.20954206,0.00058933,1.062e-05,8291479.751839523,0.028072054885763906,0.1515753247353671,-2.05966761,-277.34335904
7.0,0.20952122,0.00055941,8.78e-06,8355117.621239856,0.02828716754296725,0.15200362658784466,-1.04715542,-277.31903222
8.0,0.20951329,0.00055582,7.45e-06,8373621.954061394,0.028349721097502008,0.1490020424543384,-0.65737349,-277.31602407
9.0,0.20949256,0.00056317,6.09e-06,8338821.222408518,0.028231658650937755,0.15209849066495792,0.36652398,-277.33904299
10.0,0.20952396,0.00058369,3.39e-06,8320405.221207186,0.028169864200460283,0.14978692285216516,-1.17768073,-277.35944613
11.0,0.20948615,0.00059171,3.06e-06,8347662.853061151,0.02826164855607921,0.14897168121201343,0.68259024,-277.34466693
12.0,0.20949805,0.00063074,5.17e-06,8341710.098955767,0.02824173346967255,0.14722641709034856,0.09625912,-277.29810593
13.0,0.20951116,0.00065393,6.07e-06,8349263.004818611,0.028267538359516644,0.14678007266453172,-0.55021113,-277.30778434
14.0,0.20954002,0.00068101,4.48e-06,8374999.870777119,0.02835519249635383,0.14533453162822024,-1.97987531,-277.3009833
15.0,0.20956137,0.00064971,6.77e-06,8366767.607495231,0.028327481448412913,0.14688803288120839,-3.03289347,-277.2911741
16.0,0.20953941,0.00062067,7.63e-06,8360601.286354552,0.02830619254503365,0.1450749746459366,-1.94633633,-277.31877064
17.0,0.20954002,0.00058194,7.01e-06,8352554.488182507,0.028278856089472275,0.14383167712388156,-1.97454516,-277.30412224
18.0,0.20951268,0.00056489,8.44e-06,8340106.64028286,0.028236249579649878,0.1432482278326755,-0.62470216,-277.32975695
19.0,0.20952346,0.00059201,8.23e-06,8357962.404861562,0.02829693755871907,0.14517370143470087,-1.15790494,-277.34244351
20.0,0.20949022,0.00058682,5.6e-06,8378835.459306722,0.0283671765423852,0.14449493520455287,0.4839617,-277.33681957
21.0,0.20947131,0.00055833,6.11e-06,8394608.23087519,0.028420214868059995,0.14316071962961138,1.42206372,-277.30229119
22.0,0.20719841,0.00054353,5.8e-06,8390782.24062398,0.028374807985695506,0.1437721329634466,113.42811342,-277.35931534
23.0,0.2046468,0.00055043,3.97e-06,8341848.448219496,0.028172348342453694,0.1435843910368986,236.33208508,-277.3181167
24.0,0.20267353,0.00060153,2.35e-06,8349730.9384483425,0.0281698402760633,0.14284238468162663,331.16470355,-277.31641644
25.0,0.20251171,0.00057391,1.66e-06,8365725.015999615,0.028221296058087045,0.14308056750527598,339.53093231,-277.32805669
26.0,0.2025169,0.00056894,5.28e-06,8432650.381154474,0.028447051390643862,0.1437270762457771,341.99644832,-277.28842752
27.0,0.20249748,0.00059196,8.17e-06,8412175.350059051,0.028377695288140353,0.14181197787552532,342.09865826,-277.3083075
28.0,0.20250053,0.00059589,6.11e-06,8376314.722982413,0.028256824330176195,0.14060978872614527,340.49514654,-277.33067247
29.0,0.20249494,0.00060479,6e-06,8379182.03260304,0.02826644218026039,0.1395932703151918,340.87951117,-277.28934304
30.0,0.20248132,0.00059581,6.07e-06,8485853.549451932,0.028626051913455883,0.14124273424243103,345.8786159,-277.35722271
31.0,0.20246913,0.00057374,3.49e-06,8432634.387438403,0.028446325151930248,0.13943502517470624,344.29646941,-277.29692883
32.0,0.20251608,0.00060274,1.35e-06,8393305.74245732,0.028314498888847687,0.13978928242900335,340.44199346,-277.30438382
33.0,0.20249942,0.00062731,-1.6e-07,8397150.19179235,0.028327323460217553,0.14126129067093826,341.39847208,-277.32151722
34.0,0.20248905,0.00064959,-5.7e-07,8427328.22727416,0.028429047300653237,0.14051402361860954,343.12518535,-277.33747352
35.0,0.20249982,0.0006401,2.34e-06,8452579.01913066,0.02851430172538164,0.1386825674410539,343.63222169,-277.31746275
36.0,0.20250399,0.00060776,6.9e-07,8415883.244098254,0.02839050954187544,0.1411159968564855,341.93936113,-277.35447613
37.0,0.20357234,0.00057746,1.89e-06,8378381.354123189,0.02827990679543032,0.1382719401384145,289.17178702,-277.31720117
38.0,0.20919841,0.00057095,5.96e-06,8388988.750475444,0.02839737668434028,0.13945452828018373,14.93146481,-277.32936458
39.0,0.20944895,0.00059773,8.7e-06,8416907.390334392,0.028495456413347674,0.13738020277806706,2.53718911,-277.28921225
40.0,0.20948382,0.00061787,1.104e-05,8418431.025483055,0.028501119659814077,0.13862842451593255,0.80459584,-277.28895068
41.0,0.20945241,0.00060504,1.19e-05,8339341.975885267,0.028232863171302365,0.13850297578754955,2.34364137,-277.34649798
42.0,0.2094583,0.00064265,1.302e-05,8407034.784054039,0.028462208938809627,0.13793576351971235,2.07003175,-277.29392067
43.0,0.20947467,0.00062945,1.008e-05,8464398.617487887,0.02865667004197634,0.1385667867538284,1.26623987,-277.2935283
44.0,0.20945576,0.00062535,6.66e-06,8465234.961177027,0.02865929111377618,0.13721424637970775,2.21138094,-277.32413301
45.0,0.20945465,0.00065318,5.44e-06,8364032.659594246,0.0283167592806789,0.13679673480930257,2.24016935,-277.32583327
46.0,0.2094583,0.00063287,2.67e-06,8429942.9464705,0.02853994973800775,0.1381423269437532,2.07568575,-277.33708115
