Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20957483,0.0006649,-3.7e-07,8303273.162088688,0.026674329638178555,,0.15570075,53.06219675
1.0,0.20954755,0.00069513,3.4e-06,8184362.371237298,0.026291980636653847,,1.46048065,51.59204031
2.0,0.20915295,0.00083739,6.82e-06,8276780.21824052,0.026583939881559115,,20.57914806,50.54306854
3.0,0.2077486,0.00123758,1.052e-05,7815743.733469102,0.025086311142599002,,83.35606282,51.62501263
4.0,0.2066736,0.00197041,1.706e-05,7503115.929752049,0.024071369298833533,,126.72537543,52.35276374
5.0,0.20493959,0.00284103,3.145e-05,7281820.239078301,0.023342319251901857,,195.61405979,52.6624701
6.0,0.20345015,0.00373348,4.371e-05,7298413.887383071,0.023379179839714295,,258.11235997,52.62792744
7.0,0.20240508,0.00445164,4.835e-05,7257672.48298861,0.02323743517320733,,299.71257753,52.42655941
8.0,0.20177394,0.00506421,5.34e-05,7206268.925601885,0.023066470793891455,,323.30269253,52.28407093
9.0,0.2013827,0.00555407,5.748e-05,7342533.422174502,0.023498854117915944,,345.62209843,52.12261015
10.0,0.20139094,0.00596868,6.132e-05,7288569.566080888,0.02332724736074526,,342.75823686,51.96389708
11.0,0.20139186,0.00620668,6.628e-05,7383484.120234912,0.023631564366461445,,347.19145424,51.81368884
12.0,0.20142677,0.00637229,6.939e-05,7378425.602919048,0.023616194172335656,,345.50851814,51.64555504
13.0,0.20156967,0.00645992,7.317e-05,7432091.3891322445,0.023789962148131203,,342.04046835,51.51130969
14.0,0.20195613,0.00643267,7.194e-05,7451591.875474478,0.02385730520664547,,326.6921891,51.37143808
15.0,0.20235184,0.00638345,7.062e-05,7429460.387171887,0.023791399587138527,,309.1039176,51.24478165
16.0,0.20278868,0.00628983,7.367e-05,7471437.537619655,0.023931114581789523,,292.36247003,51.12728426
17.0,0.2030068,0.00621715,7.392e-05,7461185.622476092,0.023900862668865694,,282.7278836,50.98165553
18.0,0.20315193,0.00612972,7.403e-05,7457269.271937917,0.02388993284854925,,276.4320761,50.90236442
19.0,0.20329799,0.00605643,7.636e-05,7492403.740946688,0.02400411876079946,,271.51482957,50.77884823
20.0,0.20337452,0.00599614,7.848e-05,7538989.176440311,0.02415415377724454,,269.92086041,50.66252844
21.0,0.20351203,0.00595422,7.851e-05,7448873.929502063,0.023867064523984818,,260.86809179,50.5469937
22.0,0.20360037,0.00591299,7.786e-05,7517396.924799722,0.024087651026674626,,259.48774212,50.4734597
23.0,0.20368475,0.00586589,7.943e-05,7496723.479785309,0.024022329913188614,,255.17168964,50.37728978
24.0,0.20372597,0.00578942,8.096e-05,7494035.055589685,0.02401401245811086,,253.31874535,50.27392348
25.0,0.20378683,0.00575936,8.168e-05,7374133.120396899,0.0236304672488487,,246.70843173,50.13274343
26.0,0.20382968,0.00572888,8.076e-05,7525179.2905477015,0.024114978680979206,,249.92413117,50.03251738
27.0,0.20389523,0.00569825,7.834e-05,7519862.9380349545,0.024098739510330015,,246.93834769,49.92679589
28.0,0.20391803,0.00568056,7.569e-05,7542816.033811589,0.024172588940940987,,246.71191814,49.84619635
29.0,0.20391294,0.00567478,7.507e-05,7497490.012203208,0.024027263377359467,,245.44682982,49.73367101
30.0,0.20396352,0.00560177,7.311e-05,7512774.037757849,0.02407673161808911,,243.77917079,49.6414264
31.0,0.20401614,0.00556368,7.194e-05,7503776.159424008,0.024048484603549,,241.23494292,49.52235889
32.0,0.20409797,0.0054963,7.048e-05,7523021.624574764,0.024111053719969883,,238.34073721,49.43639476
33.0,0.20417095,0.00544211,7.105e-05,7448207.468725912,0.02387204422557127,,232.86757581,49.35186992
34.0,0.20416118,0.00538964,7.029e-05,7513440.516238544,0.024080874086493703,,235.32483906,49.23437253
35.0,0.20418204,0.00530739,6.792e-05,7561196.782465293,0.024234028220876846,,235.9185507,49.13859515
36.0,0.204334,0.00525027,6.798e-05,7567499.482225752,0.024256016889988484,,229.54837262,49.01534065
37.0,0.20434855,0.00520586,7.03e-05,7523042.610915295,0.024113547214573948,,227.57296937,48.93722713
38.0,0.20439832,0.00517119,7.008e-05,7534093.296251632,0.024149513037731725,,225.76441125,48.86644084
39.0,0.20451537,0.00517922,6.822e-05,7453816.330296908,0.023893717989401455,,218.37351759,48.75064441
40.0,0.20455537,0.00517812,6.79e-05,7490460.220765379,0.024011689155528183,,217.73421023,48.66677378
41.0,0.20456606,0.00508918,6.678e-05,7605753.144731236,0.024381199469382313,,220.61889443,48.56811785
42.0,0.20468941,0.00505134,6.193e-05,7575157.462140543,0.024284679220318194,,214.38674523,48.49772409
43.0,0.20471588,0.00501495,6.011e-05,7590449.576454631,0.024333977874082847,,213.66972915,48.45886359
44.0,0.20474885,0.00503838,5.855e-05,7518053.389892776,0.02410238992392505,,210.21387437,48.32762765
45.0,0.20476717,0.0050271,5.527e-05,7496657.503891076,0.02403405564237087,,208.8298547,48.22844834
46.0,0.20478081,0.00500848,5.217e-05,7524057.508629851,0.024122078319995646,,209.00584893,48.14222253
47.0,0.20481816,0.00498587,5.276e-05,7541870.001216901,0.024179588149977782,,207.8874596,48.09093191
